Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2
37,blue,OG,7.753,13:31,2017-09-04,2017-08-25,2,Apple,6262,11:08:06,0.1618572,7.157,,11:06:33,0.1402832,,,2b37,,,,,,,,,
38,blue,Ferris,10.935,13:56,2017-09-04,2017-08-25,2,Apple,6262,11:09:27,1.854639,9.796,,11:08:19,1.814069,,,2b38,,,,,,,,,
39,blue,OG,9.741,13:56,2017-09-04,2017-08-25,2,Apple,6262,11:11:09,0.1684614,8.781,,11:10:19,0.1573756,,,2b39,2017-09-25,31,B3,fly,,16:08,,,
40,blue,Ferris,8.265,13:32,2017-09-04,2017-08-25,2,Apple,6262,11:12:28,0.1465091,7.405,,11:12:00,0.0933665,,,2b40,,,,,,,,,
41,blue,OG,4.791,13:29,2017-09-04,2017-08-25,2,Apple,6262,11:13:50,1.063376,3.671,,11:13:23,1.039968,,,2b41,,,,,,,,,
42,blue,OG,6.462,13:25,2017-09-04,2017-08-25,2,Apple,6262,11:15:31,1.409138,8.879,,11:15:21,1.333105,,,2b42,,,,,,,,,
43,blue,OG,6.817,13:42,2017-09-04,2017-08-25,2,Apple,6262,11:17:08,0.1930951,6.279,,11:17:22,0.9213194,,,2b43,,,,,,,,,
44,blue,OG,7.525,13:27,2017-09-04,2017-08-25,2,Apple,6262,11:18:48,0.2052575,6.808,,11:19:14,9.03E-02,,,2b44,,,,,,,,,
45,blue,Blank,,13:05,2017-09-04,2017-08-25,2,Apple,6262,11:20:10,2.04E-02,,,11:20:43,0.0159322,,,2b45,,,,,,,,,
46,blue,Ferris,11.206,13:57,2017-09-04,2017-08-25,2,Apple,6262,11:21:10,0.1600273,10.207,,11:22:05,0.1979153,,,2b46,,,,,,,,,
47,blue,Ferris,9.633,13:50,2017-09-04,2017-08-25,2,Apple,6262,11:22:33,0.2947912,8.889,,11:23:47,0.2292337,,,2b47,,,,,,,,,
48,blue,OG,5.221,13:27,2017-09-04,2017-08-25,2,Apple,6262,11:24:04,0.8659102,4.789,,11:25:34,0.8110539,,,2b48,,,,,,,,,
49,blue,OG,7.668,13:26,2017-09-04,2017-08-25,2,Apple,6262,11:25:45,1.820698,5.573,,11:27:24,1.592162,,,2b49,,,,,,,,,
50,blue,Blank,,13:05,2017-09-04,2017-08-25,2,Apple,6262,11:27:25,1.80E-02,,11:18,11:29:25,1.48E-02,,,2b50,,,,,,,,,
1,red,Ferris,9.945,13:10,2017-09-04,2017-08-25,2,Apple,7000,,,9.054,11:40,10:13:48,0.1751713,,,2r1,,,,,,,,,
2,red,OG,6.588,13:10,2017-09-04,2017-08-25,2,Apple,7000,10:13:15,0.1084468,5.917,,10:16:22,0.1126481,,,2r2,,,,,,,,,
3,red,Ferris,9.354,13:11,2017-09-04,2017-08-25,2,Apple,7000,10:14:47,1.128008,8.482,,10:18:10,1.05896,,,2r3,,,,,,,,,
4,red,OG,14.863,13:06,2017-09-04,2017-08-25,2,Apple,7000,10:16:43,0.7774939,,,,,,smashed; removed,2r4,,,,,,,,,
5,red,Ferris,6.768,13:11,2017-09-04,2017-08-25,2,Apple,7000,10:18:41,0.1644776,6.225,,10:19:38,0.1588602,,,2r5,,,,,,,,,
6,red,OG,5.899,13:08,2017-09-04,2017-08-25,2,Apple,7000,10:20:19,0.117531,5.41,,10:21:23,8.57E-02,,,2r6,,,,,,,,,
7,red,OG,5.338,13:09,2017-09-04,2017-08-25,2,Apple,7000,10:22:07,9.51E-02,4.822,,10:22:55,7.68E-02,,,2r7,,,,,,,,,
8,red,Ferris,7.228,13:12,2017-09-04,2017-08-25,2,Apple,7000,10:23:42,0.1353478,6.721,,10:24:36,0.1167377,,,2r8,,,,,,,,,
9,red,Ferris,6.611,13:13,2017-09-04,2017-08-25,2,Apple,7000,10:25:39,6.93E-02,5.833,,10:25:57,0.1655769,,,2r9,,,,,,,,,
