Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,
1,blue,OG,6.938,13:38,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,,,6.187,10:51,10:13:48,0.1432514,6262,,0,,2b1,,,,,,,,,,,,,,,,,,
2,blue,Ferris,11.175,13:39,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:13:15,0.29411,9.967,,10:16:22,0.170235,6262,,1,,2b2,,,,,,,,,,,,,,,,,,
3,blue,Ferris,6.719,13:39,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:14:47,0.1052925,6.118,,10:18:10,0.1076286,6262,,1,RT,2b3,2017-10-29,64,A1,fly,8,1,3:34,2107-11-05,20:33,changed water 2017-11-03 11:56,4,11,2017-11-05,20:34,,,changed water 2017-11-28,
4,blue,Ferris,10.719,13:40,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:16:43,1.344538,9.539,,10:19:38,1.38739,6262,,1,,2b4,,,,,,,,,,,,,,,,,,
5,blue,OG,3.848,13:41,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:18:41,0.1492267,3.479,,10:21:23,0.1182286,6262,,1,RT,2b5,2017-10-20,56,A2,fly,15,2,13:03,2017-10-25,9:58,,,,,,,,,
6,blue,OG,7.576,13:37,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:20:19,1.420216,6.824,,10:22:55,1.468912,6262,,1,,2b6,,,,,,,,,,,,,,,,,,
7,blue,OG,6.413,13:35,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:22:07,0.1365561,5.738,,10:24:36,0.1601623,6262,,1,,2b7,,,,,,,,,,,,,,,,,,
8,blue,OG,9.365,13:57,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:23:42,1.308291,8.401,,10:25:57,1.432883,6262,,1,RT,2b8,2017-09-26,32,A3,fly,30,2,16:08,2017-10-05,12:45,,,,,,,,,
9,blue,Ferris,7.978,13:41,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:25:39,0.1591373,7.323,,10:27:35,8.09E-02,6262,,1,,2b9,,,,,,,,,,,,,,,,,,
10,blue,OG,4.895,13:36,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:27:14,0.1027624,4.349,,10:28:53,6.42E-02,6262,,1,,2b10,,,,,,,,,,,,,,,,,,
