Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3
28,blue,Ferris,9.733,13:51,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:55:05,0.228367,8.815,,10:54:19,8.57E-02,,,,2b28,,,,,,,,,,,,,,,,,
29,blue,OG,7.448,13:30,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:56:34,0.1397819,6.863,,10:55:49,8.37E-02,,,,2b29,,,,,,,,,,,,,,,,,
30,blue,Ferris,6.115,13:42,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,10:58:05,0.1773156,5.476,,10:57:20,9.40E-02,,,RT,2b30,2017-10-10,47,A10,fly,2,1,15:52,2017-10-18,20:00,,4,9,2017-10-18,20:05,,,
31,blue,Milford,8.273,13:54,,2017-08-21,2017-09-04,2017-08-25,2,Haw,6262,10:59:41,0.1525609,7.52,,10:58:57,0.0875574,,,,2b31,,,,,,,,,,,,,,,,,
32,blue,Ferris,6.513,13:52,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:01:17,0.5566694,2.443,,,,,"looks unhealthy, large weight decrease; smashed and removed",,2b32,,,,,,,,,,,,,,,,,
33,blue,OG,8.103,13:54,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:02:43,0.2076913,7.651,,11:00:29,0.2100458,,,,2b33,,,,,,,,,,,,,,,,,
34,blue,Ferris,10.293,13:53,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:04:01,0.1874205,9.5,,11:02:02,0.1083471,,,,2b34,,,,,,,,,,,,,,,,,
35,blue,Ferris,9.654,13:55,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:05:17,0.186035,8.784,,11:03:27,7.83E-02,,,RT,2b35,2017-10-06,43,B1,fly,28,1,16:00,2017-10-14,20:10,disturbed to check death 2017-10-20 20:19,4,5,2017-10-14,20:10,,,
36,blue,OG,4.747,13:30,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:06:44,0.1834659,4.352,,11:04:48,0.2617916,,,RT,2b36,2017-10-05,42,B2,fly,2,1,14:30,2017-10-08,11:51,"Almost dead, but left in; dead",,,,,,,
37,blue,OG,7.753,13:31,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:08:06,0.1618572,7.157,,11:06:33,0.1402832,,,,2b37,,,,,,,,,,,,,,,,,
38,blue,Ferris,10.935,13:56,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:09:27,1.854639,9.796,,11:08:19,1.814069,,,,2b38,,,,,,,,,,,,,,,,,
39,blue,OG,9.741,13:56,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:11:09,0.1684614,8.781,,11:10:19,0.1573756,,,RT,2b39,2017-10-14,33,B3,fly,23,2,11:22,2017-10-22,20:36,,4,16,2017-10-22,20:37,,,
40,blue,Ferris,8.265,13:32,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:12:28,0.1465091,7.405,,11:12:00,0.0933665,,,,2b40,,,,,,,,,,,,,,,,,
41,blue,OG,4.791,13:29,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:13:50,1.063376,3.671,,11:13:23,1.039968,,,,2b41,,,,,,,,,,,,,,,,,
42,blue,OG,6.462,13:25,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:15:31,1.409138,8.879,,11:15:21,1.333105,,,,2b42,,,,,,,,,,,,,,,,,
43,blue,OG,6.817,13:42,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:17:08,0.1930951,6.279,,11:17:22,0.9213194,,,,2b43,,,,,,,,,,,,,,,,,
44,blue,OG,7.525,13:27,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:18:48,0.2052575,6.808,,11:19:14,9.03E-02,,,,2b44,,,,,,,,,,,,,,,,,
45,blue,Blank,,13:05,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:20:10,2.04E-02,,,11:20:43,0.0159322,,,,2b45,,,,,,,,,,,,,,,,,
46,blue,Ferris,11.206,13:57,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:21:10,0.1600273,10.207,,11:22:05,0.1979153,,,,2b46,,,,,,,,,,,,,,,,,
47,blue,Ferris,9.633,13:50,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:22:33,0.2947912,8.889,,11:23:47,0.2292337,,,,2b47,,,,,,,,,,,,,,,,,
48,blue,OG,5.221,13:27,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:24:04,0.8659102,4.789,,11:25:34,0.8110539,,,,2b48,,,,,,,,,,,,,,,,,
49,blue,OG,7.668,13:26,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:25:45,1.820698,5.573,,11:27:24,1.592162,,,,2b49,,,,,,,,,,,,,,,,,
50,blue,Blank,,13:05,,2017-08-21,2017-09-04,2017-08-25,2,Apple,6262,11:27:25,1.80E-02,,11:18,11:29:25,1.48E-02,,,,2b50,,,,,,,,,,,,,,,,,
1,red,Ferris,9.945,13:10,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,,,9.054,11:40,10:13:48,0.1751713,,,,2r1,,,,,,,,,,,,,,,,,
2,red,OG,6.588,13:10,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:13:15,0.1084468,5.917,,10:16:22,0.1126481,,,RT,2r2,2017-10-15,34,B6,fly,29,1,10:14,2017-10-19,19:03,,,,,,,,
3,red,Ferris,9.354,13:11,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:14:47,1.128008,8.482,,10:18:10,1.05896,,,,2r3,,,,,,,,,,,,,,,,,
4,red,OG,14.863,13:06,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:16:43,0.7774939,,,,,,smashed; removed,,2r4,,,,,,,,,,,,,,,,,
5,red,Ferris,6.768,13:11,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:18:41,0.1644776,6.225,,10:19:38,0.1588602,,,,2r5,,,,,,,,,,,,,,,,,
6,red,OG,5.899,13:08,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:20:19,0.117531,5.41,,10:21:23,8.57E-02,,,,2r6,,,,,,,,,,,,,,,,,
7,red,OG,5.338,13:09,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:22:07,9.51E-02,4.822,,10:22:55,7.68E-02,,,,2r7,,,,,,,,,,,,,,,,,
8,red,Ferris,7.228,13:12,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:23:42,0.1353478,6.721,,10:24:36,0.1167377,,,,2r8,,,,,,,,,,,,,,,,,
9,red,Ferris,6.611,13:13,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:25:39,6.93E-02,5.833,,10:25:57,0.1655769,,,,2r9,,,,,,,,,,,,,,,,,
10,red,OG,7.416,13:13,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:27:14,1.227601,5.142,,10:27:35,0.2679829,,,,2r10,,,,,,,,,,,,,,,,,
11,red,Ferris,10.783,13:13,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:28:45,0.1395353,9.778,,10:28:53,9.32E-02,,,,2r11,,,,,,,,,,,,,,,,,
12,red,OG,8.69,13:07,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:30:30,0.6957083,7.808,,10:30:09,0.6850266,,,,2r12,,,,,,,,,,,,,,,,,
13,red,Ferris,6.265,13:14,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:32:10,2.85E-02,5.615,,10:31:42,1.54E-02,,,,2r13,,,,,,,,,,,,,,,,,
14,red,Ferris,9.264,13:15,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:33:40,0.7573033,8.325,,10:32:53,0.7453037,,,,2r14,,,,,,,,,,,,,,,,,
15,red,OG,6.767,13:05,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:35:22,0.1351661,6.099,,10:34:13,7.33E-02,,,,2r15,,,,,,,,,,,,,,,,,
16,red,Ferris,10.024,13:08,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:37:13,0.620687,3.543,,10:35:27,0.0121153,,"looks unhealthy, large weight decrease",,2r16,,,,,,,,,,,,,,,,,
17,red,OG,9.136,13:07,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:39:06,6.68E-02,8.394,,10:36:50,5.52E-02,,,,2r17,,,,,,,,,,,,,,,,,
18,red,OG,4.34,13:37,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:40:45,5.75E-02,3.993,,10:38:09,6.43E-02,,,,2r18,,,,,,,,,,,,,,,,,
19,red,Ferris,7.72,13:16,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:42:26,0.1183399,6.988,,10:39:32,6.61E-02,,,,2r19,,,,,,,,,,,,,,,,,
22,red,OG,8.615,13:18,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:43:58,0.0957594,7.992,,10:41:16,4.26E-02,,,,2r22,,,,,,,,,,,,,,,,,
23,red,OG,6.954,12:58,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:45:43,0.1284057,6.308,,10:42:34,0.1327587,,,RT,2r23,2017-10-21,57,C10,wasp,31,1,19:28,,,,,,,,,,
24,red,OG,8.167,12:57,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:47:22,0.1130436,7.408,,10:44:12,0.0634311,,,,2r24,,,,,,,,,,,,,,,,,
25,red,OG,9.759,13:21,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:48:50,0.1624387,8.974,,10:45:36,8.44E-02,,,,2r25,,,,,,,,,,,,,,,,,
26,red,Milford,12.097,13:17,,2017-08-21,2017-09-04,2017-08-25,2,Haw,7000,10:50:26,0.148969,10.479,,10:47:14,7.26E-02,,,,2r26,,,,,,,,,,,,,,,,,
27,red,OG,7.849,13:58,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:52:09,0.0835773,6.989,,10:49:15,6.30E-02,,,,2r27,,,,,,,,,,,,,,,,,
28,red,Ferris,7.747,13:18,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:53:43,8.07E-02,7.028,,10:51:07,0.0712966,,,,2r28,,,,,,,,,,,,,,,,,
29,red,OG,8.172,12:56,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:55:05,0.1302926,7.598,,10:52:44,8.53E-02,,,,2r29,,,,,,,,,,,,,,,,,
30,red,OG,5.043,13:04,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:56:34,0.4231303,3.879,,10:54:19,0.1401057,,,,2r30,,,,,,,,,,,,,,,,,
31,red,Ferris,12.058,13:19,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:58:05,0.7524838,4.636,,10:55:49,1.65E-02,,,,2r31,,,,,,,,,,,,,,,,,
32,red,OG,8.97,13:20,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,10:59:41,0.8244834,8.156,,10:57:20,0.7669558,,,,2r32,,,,,,,,,,,,,,,,,
33,red,Ferris,9.876,13:19,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:01:17,0.7690679,8.927,,10:58:57,0.7240927,,,RT,2r33,2017-09-26,32,B10,fly,23,2,16:08,2017-10-12,20:18,,3,9,2017-10-12,20:18,,,
34,red,OG,7.887,13:06,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:02:43,0.1225375,7.234,,11:00:29,0.1596853,,,,2r34,,,,,,,,,,,,,,,,,
35,red,Ferris,10.409,13:23,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:04:01,0.185331,9.479,,11:02:02,8.44E-02,,,,2r35,,,,,,,,,,,,,,,,,
36,red,Ferris,10.176,13:23,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:05:17,0.121804,8.926,,11:03:27,7.96E-02,,,,2r36,,,,,,,,,,,,,,,,,
37,red,OG,7.945,12:55,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:06:44,0.2059923,6.056,,11:04:48,0.2847212,,,,2r37,,,,,,,,,,,,,,,,,
38,red,OG,8.005,12:58,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:08:06,0.8512057,7.31,,11:06:33,0.8123094,,,RT,2r38,2017-09-26,32,B12,fly,27,2,16:08,2017-10-12,20:18,,3,10,2017-10-12,20:18,,,
39,red,Ferris,6.755,13:24,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:09:27,0.124314,6.226,,11:08:19,0.224742,,,,2r39,,,,,,,,,,,,,,,,,
40,red,OG,7.602,12:58,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:11:09,0.1557878,7.077,,11:10:19,0.1253869,,,,2r40,,,,,,,,,,,,,,,,,
41,red,Ferris,10.521,13:24,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:12:28,0.167069,9.638,,11:12:00,8.28E-02,,,RT,2r41,2017-10-16,51,C2,fly,2,2,19:37,2017-10-24,20:31,,4,29,2017-10-24,20:32,,,
45,red,Blank,,13:03,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:13:50,1.26E-02,,,11:13:23,1.05E-02,,,,2r45,,,,,,,,,,,,,,,,,
47,red,OG,8.376,12:56,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:15:31,0.2296043,,,,,,"smashed, removed",,2r47,,,,,,,,,,,,,,,,,
48,red,Ferris,7.7797,13:25,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:17:08,7.39E-02,7.117,,11:15:21,7.49E-02,,,,2r48,,,,,,,,,,,,,,,,,
50,red,Blank,,13:03,,2017-08-21,2017-09-04,2017-08-25,2,Apple,7000,11:18:48,1.06E-02,,11:56,11:17:22,9.47E-03,,,,2r50,,,,,,,,,,,,,,,,,
1,orange,Milford,8.233,17:37,,2017-08-21,2017-09-05,2017-08-26,3,Haw,7000,9:14:01,6.78E-02,7.608,14:31,7:49:59,3.42E-02,,,,3o1,,,,,,,,,,,,,,,,,
2,orange,Coll Hall,4.662,17:37,,2017-08-21,2017-09-05,2017-08-26,3,Haw,7000,9:15:39,4.15E-02,4.296,,7:51:36,3.45E-02,,,,3o2,,,,,,,,,,,,,,,,,
3,orange,Coll Hall,8.255,17:36,,2017-08-21,2017-09-05,2017-08-26,3,Haw,7000,9:16:56,0.5121543,7.549,,7:53:10,0.483076,,,,3o3,,,,,,,,,,,,,,,,,
4,orange,Grant,8.192,17:36,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:18:20,0.3606795,4.187,,7:54:52,0.2802091,,"looks unhealthy, large weight decrease",,3o4,,,,,,,,,,,,,,,,,
5,orange,Grant,5.664,17:36,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:19:52,9.74E-02,4.927,,7:56:39,5.15E-02,,,,3o5,,,,,,,,,,,,,,,,,
6,orange,Grant,10.106,17:35,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:21:10,1.31751,7.324,,7:58:23,0.787016,,"looks unhealthy, large weight decrease",RT,3o6,2017-09-26,31,A3,wasp,17,2,16:08,2017-10-06,14:46,frozen,,,,,,,
7,orange,Grant,5.501,17:35,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:22:45,9.36E-02,4.757,,8:00:42,5.40E-02,,,,3o7,,,,,,,,,,,,,,,,,
8,orange,Grant,7.125,17:35,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:24:05,0.1362285,6.408,,8:02:05,5.63E-02,,,,3o8,,,,,,,,,,,,,,,,,
9,orange,Grant,10.414,17:34,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:25:16,0.7386541,7.517,,8:03:15,0.363935,,"looks unhealthy, large weight decrease",,3o9,,,,,,,,,,,,,,,,,
10,orange,Grant,7.27,17:34,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:26:48,0.5919609,6.77,,8:04:34,0.5568005,,,,3o10,,,,,,,,,,,,,,,,,
11,orange,Grant,9.005,17:34,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:28:26,0.0823172,8.335,,8:05:53,5.14E-02,,,,3o11,,,,,,,,,,,,,,,,,
12,orange,Grant,7.24,17:33,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:30:13,5.56E-02,6.644,,8:07:09,3.64E-02,,,,3o12,,,,,,,,,,,,,,,,,
13,orange,Grant,8.865,17:33,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:31:37,6.70E-02,8.093,,8:08:23,9.18E-02,,,,3o13,,,,,,,,,,,,,,,,,
14,orange,Grant,7.353,17:33,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:32:52,6.44E-02,6.764,,8:09:39,8.25E-02,,,RT,3o14,2017-10-14,33,A9,fly,11,2,11:21,2017-10-22,20:36,,3,3,2017-10-22,20:37,,,
15,orange,Grant,7.337,17:33,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:34:10,5.52E-02,6.71,,8:10:56,3.98E-02,,,,3o15,,,,,,,,,,,,,,,,,
16,orange,Grant,7.123,17:32,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:35:31,0.6377392,6.308,,8:12:21,0.5492268,,,,3o16,,,,,,,,,,,,,,,,,
17,orange,Grant,9.748,17:32,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:37:04,0.1237543,9.081,,8:13:38,0.1010693,,,,3o17,,,,,,,,,,,,,,,,,
18,orange,Grant,7.339,17:31,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:38:22,0.585816,6.812,,8:14:39,0.5810983,,,,3o18,,,,,,,,,,,,,,,,,
19,orange,Grant,6.921,17:31,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:39:47,0.0782489,6.187,,8:15:56,8.22E-02,,,,3o19,,,,,,,,,,,,,,,,,
20,orange,Grant,6.639,17:31,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:41:28,0.1186885,,,,,,"smashed, removed",,3o20,,,,,,,,,,,,,,,,,
21,orange,Grant,7.676,17:30,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:42:51,6.66E-02,7.22,,8:17:16,5.84E-02,,,,3o21,,,,,,,,,,,,,,,,,
22,orange,Grant,8.801,17:30,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:44:11,0.7846344,8.079,,8:20:09,0.7263911,,,,3o22,,,,,,,,,,,,,,,,,
23,orange,Grant,7.129,17:30,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:45:30,6.01E-02,6.561,,8:22:05,4.46E-02,,,,3o23,,,,,,,,,,,,,,,,,
24,orange,Grant,9.224,17:29,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:46:55,7.48E-02,8.382,,8:23:24,4.88E-02,,,,3o24,,,,,,,,,,,,,,,,,
25,orange,Grant,6.509,17:29,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:48:09,7.45E-02,5.998,,8:24:32,6.82E-02,,,,3o25,,,,,,,,,,,,,,,,,
26,orange,Grant,7.187,17:28,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:49:41,0.4412236,4.454,,8:25:52,0.3236653,,"looks unhealthy, large weight decrease",,3o26,,,,,,,,,,,,,,,,,
27,orange,Grant,8.317,17:28,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:50:58,0.5781513,7.677,,8:27:45,0.588869,,,,3o27,,,,,,,,,,,,,,,,,
28,orange,Grant,6.223,17:28,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:52:21,7.87E-02,5.622,,8:28:56,5.52E-02,,,,3o28,,,,,,,,,,,,,,,,,
29,orange,Grant,8.311,17:27,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:54:01,0.7416357,7.602,,8:30:04,0.6912003,,"extra pupae in syringe, removed",,3o29,,,,,,,,,,,,,,,,,
30,orange,Grant,7.496,17:27,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:55:47,6.22E-02,6.936,,8:31:12,4.77E-02,,,,3o30,,,,,,,,,,,,,,,,,
31,orange,Grant,9.142,17:27,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:57:18,7.17E-02,8.115,,8:32:30,6.58E-02,,,,3o31,,,,,,,,,,,,,,,,,
32,orange,Grant,7.273,17:26,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,9:58:42,0.1178349,6.665,,8:33:55,5.63E-02,,,RT,3o32,2017-10-23,58,B6,fly,5,2,10:28,,,,,,,,,,
33,orange,Grant,11.64,17:26,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,10:00:03,0.0940177,10.766,,8:35:00,8.41E-02,,,,3o33,,,,,,,,,,,,,,,,,
34,orange,Grant,8.93,17:26,,2017-08-21,2017-09-05,2017-08-26,3,Apple,7000,10:01:30,8.59E-02,8.193,,8:36:07,4.44E-02,,,,3o34,,,,,,,,,,,,,,,,,
