Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15 ,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death
7,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-C10,,,C10,,,,,,,,,,,,,,,,
8,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-G2,,,G2,,,,,,,,,,,,,,,,
9,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-D11,,,D11,,,,,,,,,,,,,,,,
10,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-B11,,,B11,,,,,,,,,,,,,,,,
11,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-B6,,,B6,,,,,,,,,,,,,,,,
12,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-E7,,,E7,,,,,,,,,,,,,,,,
13,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-B12,,,B12,,,,,,,,,,,,,,,,
14,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-A9,,,A9,,,,,,,,,,,,,,,,
15,green,OG,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-F8,,,F8,,,,,,,,,,,,,,,,
16,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-C7,,,C7,,,,,,,,,,,,,,,,
17,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-G7,,,G7,,,,,,,,,,,,,,,,
18,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-E1,,,E1,,,,,,,,,,,,,,,,
19,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-A10,,,A10,,,,,,,,,,,,,,,,
20,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-G3,,,G3,,,,,,,,,,,,,,,,
21,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-H4,,,H4,,,,,,,,,,,,,,,,
22,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-H11,,,H11,,,,,,,,,,,,,,,,
23,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-B2,,,B2,,,,,,,,,,,,,,,,
24,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-H6,,,H6,,,,,,,,,,,,,,,,
25,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-C11,,,C11,,,,,,,,,,,,,,,,
26,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-H5,,,H5,,,,,,,,,,,,,,,,
27,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-C1,,,C1,,,,,,,,,,,,,,,,
28,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-G12,,,G12,,,,,,,,,,,,,,,,
29,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-G8,,,G8,,,,,,,,,,,,,,,,
30,green,Ferris,,,,2018-08-16,,2018-08-21,6,Apple,,,,,,,,,2018-09-05,,,,,RT,A6RT-C2,,,C2,,,,,,,,,,,,,,,,
