uniqueID,eclosion_date,trik_cohort,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,cohort day,host,cohort date
2b35,6/17/2010,3,43,B1,fly,28,1,16:00,10/14/2017,20:10,disturbed to check death 2017-10-20 20:19,4,5,10/14/2017,20:10,,,,,,
10o3,6/17/2010,3,34,C8,fly,16,2,16:01,9/17/2010,9:35,,,,,,,,,,,
10o20,6/17/2010,3,34,E1,fly,1,1,16:00,10/14/2017,20:10,,4,31,10/14/2017,20:10,,,,,,
11o51,6/17/2010,3,35,C6,fly,25,2,16:00,10/17/2010,14:56,cotton dried up died; frozen,,,,,,,,,,
11o52,6/17/2010,3,35,C7,fly,24,1,16:01,11/17/2010,15:16,frozen,,,,,,,,,,
12w21,6/17/2010,3,36,A10,fly,9,2,16:02,10/14/2017,20:10,,4,16,10/14/2017,20:10,10/21/2017,22:56,,,,
13r8,6/17/2010,3,33,A5,fly,13,1,16:02,10/14/2017,20:10,,4,30,10/14/2017,20:10,,,,,,
13r13,6/17/2010,3,33,A9,fly,16,1,16:03,10/14/2017,20:10,,4,11,10/14/2017,20:10,,,,,,
13r17,6/17/2010,3,33,A12,fly,17,2,16:02,10/14/2017,20:10,changed water 2017-10-21 22:58,4,32,10/14/2017,20:10,,,,,,
13o28,6/17/2010,3,31,B6,fly,7,1,16:02,10/14/2017,20:10,,4,6,10/14/2017,20:10,,,,,,
13o60,6/17/2010,3,31,D3,fly,30,1,16:01,10/14/2017,20:10,,4,1,10/14/2017,20:10,,,,,,
14b13,6/17/2010,3,30,B3,fly,30,2,16:02,11/17/2010,15:15,frozen,,,,,,,,,,
3w26,7/17/2010,4,42,B3,fly,26,1,17:24,10/15/2017,20:08,,4,2,10/15/2017,20:11,,,,,,
12b3,7/17/2010,4,33,A4,fly,3,2,17:25,10/15/2017,20:08,disturbed 2017-10-19,4,27,10/15/2017,20:11,,,,,,
13o29,7/17/2010,4,32,B7,fly,4,1,17:25,10/15/2017,20:08,,4,17,10/15/2017,20:11,,,,,,
13o45,7/17/2010,4,32,C5,fly,13,2,17:26,10/15/2017,20:08,,4,25,10/15/2017,20:11,10/20/2017,20:21,,,,
14r44,7/17/2010,4,31,D1,fly,10,1,17:26,10/15/2017,20:08,disturbed 2017-10-18,4,3,10/15/2017,20:11,,,,,,
13r1,8/17/2010,5,33,A1,fly,20,1,11:47,9/17/2010,9:35,escaped,,,,,,,,,,
12b6,9/17/2010,6,35,A8,wasp,17,1,10:18,10/17/2017,20:08,,4,19,10/17/2017,20:08,,,,,,
14r35,9/17/2010,6,33,C6,fly,16,2,10:18,10/17/2017,20:08,,4,12,10/17/2017,20:08,,,,,,
16w3,9/17/2010,6,31,A7,fly,23,1,10:18,10/17/2017,20:08,,4,15,10/17/2017,20:08,,,,,,
2b30,10/17/2010,7,47,A10,fly,2,1,15:52,10/18/2017,20:00,,4,9,10/18/2017,20:05,,,,,,
16o8,10/17/2010,7,32,G4,fly,11,1,15:53,10/18/2017,20:00,,4,4,10/18/2017,20:05,,,,,,
16o32,10/17/2010,7,32,E2,fly,6,1,15:53,10/18/2017,20:00,,4,26,10/18/2017,20:05,,,,,,
16w2,10/17/2010,7,32,C7,fly,25,2,15:52,10/18/2017,17:04,this one dead?,,,,,,,,,,
16w8,10/17/2010,7,32,F1,fly,21,2,15:53,10/18/2017,20:00,,4,1,10/18/2017,20:05,,,,,,
18w16,10/17/2010,7,30,F9,fly,19,1,15:54,10/13/2017,13:39,frozen,,,,,,,,,,
4w55,11/17/2010,8,45,D1,fly,21,1,16:15,10/19/2017,20:10,,4,22,10/19/2017,20:10,,,,,,
16w22,11/17/2010,8,33,C10,fly,20,1,16:15,10/19/2017,20:10,,4,16,10/19/2017,20:10,,,,,,
18b5,11/17/2010,8,31,F5,fly,24,1,16:16,10/19/2017,20:10,,4,7,10/19/2017,20:10,,,,,,
18w1,11/17/2010,8,31,D9,fly,30,2,16:14,10/19/2017,20:10,,4,14,10/19/2017,20:10,,,,,,
3o41,12/17/2010,9,47,B11,fly,28,2,20:21,10/20/2017,20:16,,4,28,10/20/2017,20:24,,,,,,
3w38,12/17/2010,9,47,B10,fly,32,2,20:21,10/20/2017,20:16,,3,23,10/20/2017,20:24,,,,,,
5w2,12/17/2010,9,45,A2,fly,29,2,20:21,10/20/2017,20:16,,3,12,10/20/2017,20:24,,,,,,
13o11,12/17/2010,9,37,A7,fly,1,2,20:21,10/20/2017,20:16,,4,24,10/20/2017,20:24,,,,,,
18w20,12/17/2010,9,32,F7,fly,19,2,20:21,10/16/2017,17:46,frozen,,,,,,,,,,
19o28,12/17/2010,9,31,G1,fly,31,2,20:21,10/20/2017,20:16,disturbed 2017-10-22 to check deaths;20:40,4,25,10/20/2017,20:24,,,,,,
4o70,10/13/2017,10,47,E4,fly,25,1,14:03,10/16/2017,17:48,dead; frozen,,,,,,,,,,
20r4,10/13/2017,10,31,F12,fly,2,2,17:33,10/14/2017,10:55,not completely eclosed when put in trikinetics,,,,,,,,,,
20b16,10/13/2017,10,31,E7,fly,7,2,14:03,10/21/2017,22:50,,4,18,10/21/2017,22:51,,,,,,
2b39,10/14/2017,11,33,B3,fly,23,2,11:22,10/22/2017,20:36,,4,16,10/22/2017,20:37,,,,,,
3o14,10/14/2017,11,33,A9,fly,11,2,11:21,10/22/2017,20:36,,3,3,10/22/2017,20:37,,,,,,
19o17,10/14/2017,11,33,E12,fly,,,,10/14/2017,11:21,not put into trikinetics because it died,,,,,,,,,,
2r2,10/15/2017,12,34,B6,fly,29,1,10:14,10/19/2017,19:03,,,,,,,,,,,
2r41,10/16/2017,13,51,C2,fly,2,2,19:37,,,,,,,,,,,,,
4w46,10/16/2017,13,50,C7,fly,4,2,19:38,10/18/2017,17:09,,,,,,,,,,,
5b31,10/16/2017,13,,D8,fly,8,1,19:37,,,,,,,,,,,,,
h4o4,10/16/2017,13,6,B11,wasp,1,1,19:37,,,,,,,,,,,,,
h2b25,10/17/2017,14,9,G9,wasp,14,1,14:16,,,,,,,,,,,,,
h2b28,10/17/2017,14,9,H1,wasp,18,2,14:16,,,,,,,,,,,,,
h4w8,10/17/2017,14,7,B4,wasp,14,2,14:17,,,disturbed to check death 2017-10-20,,,,,,,,,,
3w9,10/18/2017,15,53,A5,fly,25,1,18:18,,,,,,,,,,,,,
12w55,10/18/2017,15,44,C9,fly,25,2,18:18,,,,,,,,,,,,,
14b32,10/18/2017,15,42,C2,fly,9,1,18:19,,,,,,,,,,,,,
h2r15,10/19/2017,16,11,C10,wasp,10,2,19:38,,,,,,,,,,,,,
h4o10,10/19/2017,16,9,E3,wasp,6,2,19:38,,,,,,,,,,,,,
h7o61,10/19/2017,16,6,C10,wasp,5,2,19:38,,,,,,,,,,,,,
2b23,10/20/2017,17,57,A8,fly,16,2,13:04,,,,,,10/16/2017,20:17,,,,,,
2b26,10/20/2017,17,57,A9,fly,19,2,13:04,,,2017-10-21 checked tube 18:29 ; ,,,,,,,,,,
3o49,10/20/2017,17,55,C3,fly,13,2,13:03,,,,,,,,,,,,,
11o24,10/20/2017,17,47,B11,fly,12,2,13:02,,,,,,,,,,,,,
14r25,10/20/2017,17,44,B9,fly,20,2,13:05,,,,,,,,,,,,,
16w25,10/20/2017,17,42,F7,fly,21,2,13:05,,,,,,,,,,,,,
h5o22,10/20/2017,17,9,G9,wasp,22,2,13:06,,,,,,,,,,,,,
h6w21,10/20/2017,17,8,E5,wasp,24,2,13:06,10/20/2017,17:30,,,,,,,,,,,
h6b8,10/20/2017,17,8,H11,wasp,27,2,13:07,,,2017-10-21 disturbed to check death 18:25,,,,,,,,,,
h7r54,10/20/2017,17,7,H9,wasp,2,1,13:08,,,,,,,,,,,,,
2r23,10/21/2017,18,57,C10,wasp,31,1,19:28,,,,,,,,,,,,,
3o51,10/21/2017,18,56,C5,fly,17,1,19:27,,,,,,,,,,,,,
5b25,10/21/2017,18,54,D4,fly,26,1,19:28,,,,,,,,,,,,,
13o55,10/21/2017,18,46,D2,fly,4,1,19:27,,,,,,,,,,,,,
14b3,10/21/2017,18,45,A3,fly,1,2,19:27,,,,,,,,,,,,,
h2r23,10/21/2017,18,13,C10,wasp,31,2,17:28,,,,,,,,,,,,,
h6b11,10/21/2017,18,9,C4,wasp,19,1,19:28,,,,,,,,,,,,,
4o12,10/22/2017,19,58,A8,fly,12,1,10:16,,,,,,,,,,,,,
5b8,10/22/2017,19,55,C9,fly,24,1,10:16,,,,,,,,,,,,,
10w53,10/22/2017,19,50,B11,fly,6,1,10:17,,,disturbed for water 2017-10-23;11:39,,,,,,,,,,
12w1,10/22/2017,19,50,A1,fly,28,1,10:17,,,,,,,,,,,,,
h2b12,10/22/2017,19,14,F9,wasp,10,1,10:16,,,,,,,,,,,,,
h4o12,10/22/2017,19,27,A8,fly,12,1,10:16,,,,,,,,,,,,,
