Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host
22,blue,Ferris,13.176,,2017-08-07,2017-08-28,5,Apple
23,blue,Grant,7.643,,2017-08-07,2017-08-28,5,Apple
24,blue,Ferris,9.489,,2017-08-07,2017-08-28,5,Apple
25,blue,Ferris,6.847,,2017-08-07,2017-08-28,5,Apple
26,blue,Grant,9.98,,2017-08-07,2017-08-28,5,Apple
27,blue,Ferris,8.612,,2017-08-07,2017-08-28,5,Apple
28,blue,Ferris,9.104,,2017-08-07,2017-08-28,5,Apple
29,blue,Grant,6.96,,2017-08-07,2017-08-28,5,Apple
30,blue,Ferris,9.863,,2017-08-07,2017-08-28,5,Apple
31,blue,Ferris,6.26,,2017-08-07,2017-08-28,5,Apple
32,blue,Grant,5.889,,2017-08-07,2017-08-28,5,Apple
33,blue,Ferris,9.825,,2017-08-07,2017-08-28,5,Apple
34,blue,Grant,6.398,,2017-08-07,2017-08-28,5,Apple
35,blue,Ferris,9.712,,2017-08-07,2017-08-28,5,Apple
36,blue,Grant,6.839,,2017-08-07,2017-08-28,5,Apple
37,blue,Ferris,7.819,,2017-08-07,2017-08-28,5,Apple
38,blue,Ferris,10.496,,2017-08-07,2017-08-28,5,Apple
39,blue,Grant,8.701,,2017-08-07,2017-08-28,5,Apple
40,blue,Ferris,9.094,,2017-08-07,2017-08-28,5,Apple
41,blue,Grant,8.921,,2017-08-07,2017-08-28,5,Apple
42,blue,Ferris,9.931,,2017-08-07,2017-08-28,5,Apple
43,blue,Ferris,8.648,,2017-08-07,2017-08-28,5,Apple
44,blue,Grant,5.831,,2017-08-07,2017-08-28,5,Apple
45,blue,Ferris,10.669,,2017-08-07,2017-08-28,5,Apple
46,blue,Grant,6.037,,2017-08-07,2017-08-28,5,Apple
47,blue,Ferris,10.565,,2017-08-07,2017-08-28,5,Apple
48,blue,Ferris,5.843,,2017-08-07,2017-08-28,5,Apple
49,blue,Grant,8.346,,2017-08-07,2017-08-28,5,Apple
50,blue,Ferris,13.039,,2017-08-07,2017-08-28,5,Apple
51,blue,Ferris,7.154,,2017-08-07,2017-08-28,5,Apple
52,blue,Grant,9.974,,2017-08-07,2017-08-28,5,Apple
53,blue,Milford,7.891,,2017-08-07,2017-08-28,5,Haw
54,blue,Ferris,10.037,,2017-08-07,2017-08-28,5,Apple
55,blue,Milford,10.513,,2017-08-07,2017-08-28,5,Haw
56,blue,Ferris,4.566,,2017-08-07,2017-08-28,5,Apple
57,blue,Grant,6.305,,2017-08-07,2017-08-28,5,Apple
58,blue,Ferris,9.655,,2017-08-07,2017-08-28,5,Apple
59,blue,Grant,5.701,,2017-08-07,2017-08-28,5,Apple
60,blue,Ferris,6.856,,2017-08-07,2017-08-28,5,Apple
61,blue,Ferris,6.457,,2017-08-07,2017-08-28,5,Apple
62,blue,Ferris,9.676,,2017-08-07,2017-08-28,5,Apple
63,blue,Grant,5.746,,2017-08-07,2017-08-28,5,Apple
64,blue,Ferris,6.818,,2017-08-07,2017-08-28,5,Apple
65,blue,Milford,12.887,,2017-08-07,2017-08-28,5,Haw
66,blue,Grant,5.062,,2017-08-07,2017-08-28,5,Apple
67,blue,Ferris,11.138,,2017-08-07,2017-08-28,5,Apple
68,blue,Grant,9.854,,2017-08-07,2017-08-28,5,Apple
69,blue,Milford,8.468,,2017-08-07,2017-08-28,5,Haw
70,blue,Ferris,6.771,,2017-08-07,2017-08-28,5,Apple
71,blue,Grant,6.058,,2017-08-07,2017-08-28,5,Apple
72,blue,Ferris,6.278,,2017-08-07,2017-08-28,5,Apple
73,blue,Grant,7.02,,2017-08-07,2017-08-28,5,Apple
74,blue,Grant,3.893,,2017-08-07,2017-08-28,5,Apple
75,blue,Ferris,6.558,,2017-08-07,2017-08-28,5,Apple
