Ind_ID,tape,Site_name,mass,purge_time,day10,cohort_date,cohort_day,Host
1,blue,OG,6.938,13:38,2017-09-04,2017-08-25,2,Apple
2,blue,Ferris,11.175,13:39,2017-09-04,2017-08-25,2,Apple
3,blue,Ferris,6.719,13:39,2017-09-04,2017-08-25,2,Apple
4,blue,Ferris,10.719,13:40,2017-09-04,2017-08-25,2,Apple
5,blue,OG,3.848,13:41,2017-09-04,2017-08-25,2,Apple
6,blue,OG,7.576,13:37,2017-09-04,2017-08-25,2,Apple
7,blue,OG,6.413,13:35,2017-09-04,2017-08-25,2,Apple
8,blue,OG,9.365,13:57,2017-09-04,2017-08-25,2,Apple
9,blue,Ferris,7.978,13:41,2017-09-04,2017-08-25,2,Apple
10,blue,OG,4.895,13:36,2017-09-04,2017-08-25,2,Apple
11,blue,Ferris,6.482,13:47,2017-09-04,2017-08-25,2,Apple
12,blue,OG,9.505,13:34,2017-09-04,2017-08-25,2,Apple
13,blue,Ferris,9.778,13:48,2017-09-04,2017-08-25,2,Apple
14,blue,OG,8.299,13:33,2017-09-04,2017-08-25,2,Apple
15,blue,OG,6.244,13:35,2017-09-04,2017-08-25,2,Apple
16,blue,Ferris,7.365,13:48,2017-09-04,2017-08-25,2,Apple
17,blue,OG,7.056,13:34,2017-09-04,2017-08-25,2,Apple
18,blue,OG,6.499,13:31,2017-09-04,2017-08-25,2,Apple
19,blue,Ferris,6.197,13:49,2017-09-04,2017-08-25,2,Apple
20,blue,OG,5.876,13:33,2017-09-04,2017-08-25,2,Apple
21,blue,Ferris,11.818,13:50,2017-09-04,2017-08-25,2,Apple
23,blue,OG,6.482,13:36,2017-09-04,2017-08-25,2,Apple
24,blue,OG,9.277,13:37,2017-09-04,2017-08-25,2,Apple
25,blue,Ferris,8.906,13:51,2017-09-04,2017-08-25,2,Apple
26,blue,OG,6.121,13:47,2017-09-04,2017-08-25,2,Apple
27,blue,OG,9.073,13:46,2017-09-04,2017-08-25,2,Apple
28,blue,Ferris,9.733,13:51,2017-09-04,2017-08-25,2,Apple
29,blue,OG,7.448,13:30,2017-09-04,2017-08-25,2,Apple
30,blue,Ferris,6.115,13:42,2017-09-04,2017-08-25,2,Apple
31,blue,Milford,8.273,13:54,2017-09-04,2017-08-25,2,Haw
32,blue,Ferris,6.513,13:52,2017-09-04,2017-08-25,2,Apple
33,blue,OG,8.103,13:54,2017-09-04,2017-08-25,2,Apple
34,blue,Ferris,10.293,13:53,2017-09-04,2017-08-25,2,Apple
35,blue,Ferris,9.654,13:55,2017-09-04,2017-08-25,2,Apple
36,blue,OG,4.747,13:30,2017-09-04,2017-08-25,2,Apple
37,blue,OG,7.753,13:31,2017-09-04,2017-08-25,2,Apple
38,blue,Ferris,10.935,13:56,2017-09-04,2017-08-25,2,Apple
39,blue,OG,9.741,13:56,2017-09-04,2017-08-25,2,Apple
40,blue,Ferris,8.265,13:32,2017-09-04,2017-08-25,2,Apple
41,blue,OG,4.791,13:29,2017-09-04,2017-08-25,2,Apple
42,blue,OG,6.462,13:25,2017-09-04,2017-08-25,2,Apple
43,blue,OG,6.817,13:42,2017-09-04,2017-08-25,2,Apple
44,blue,OG,7.525,13:27,2017-09-04,2017-08-25,2,Apple
45,blue,Blank,,13:05,2017-09-04,2017-08-25,2,Apple
46,blue,Ferris,11.206,13:57,2017-09-04,2017-08-25,2,Apple
