Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
1,orange,Ferris,7.602,14:12,2017-10-06,2017-09-26,5,Haw,6262
2,orange,Ferris,12.347,,2017-10-06,2017-09-26,5,Haw,6262
3,orange,Ferris,8.476,,2017-10-06,2017-09-26,5,Haw,6262
4,orange,Ferris,9.895,,2017-10-06,2017-09-26,5,Haw,6262
5,orange,Ferris,10.842,,2017-10-06,2017-09-26,5,Haw,6262
6,orange,Ferris,8.918,,2017-10-06,2017-09-26,5,Haw,6262
7,orange,Ferris,8.861,,2017-10-06,2017-09-26,5,Haw,6262
8,orange,Ferris,10.849,,2017-10-06,2017-09-26,5,Haw,6262
9,orange,Ferris,6.024,,2017-10-06,2017-09-26,5,Haw,6262
10,orange,Ferris,4.421,,2017-10-06,2017-09-26,5,Haw,6262
11,orange,Ferris,4.582,,2017-10-06,2017-09-26,5,Haw,6262
12,orange,Ferris,7.039,,2017-10-06,2017-09-26,5,Haw,6262
13,orange,Ferris,10.707,,2017-10-06,2017-09-26,5,Haw,6262
14,orange,Ferris,7.164,,2017-10-06,2017-09-26,5,Haw,6262
15,orange,Ferris,8.845,,2017-10-06,2017-09-26,5,Haw,6262
16,orange,Ferris,7.648,,2017-10-06,2017-09-26,5,Haw,6262
17,orange,Ferris,12.237,,2017-10-06,2017-09-26,5,Haw,6262
18,orange,Ferris,10.029,,2017-10-06,2017-09-26,5,Haw,6262
19,orange,Ferris,3.458,,2017-10-06,2017-09-26,5,Haw,6262
20,orange,Ferris,4.62,,2017-10-06,2017-09-26,5,Haw,6262
21,orange,Ferris,8.459,,2017-10-06,2017-09-26,5,Haw,6262
22,orange,Ferris,4.982,,2017-10-06,2017-09-26,5,Haw,6262
23,orange,Blank,,,2017-10-06,2017-09-26,5,Haw,6262
24,orange,Blank,,14:20,2017-10-06,2017-09-26,5,Haw,6262
1,red,Ferris,10.991,14:20,2017-10-06,2017-09-26,5,Haw,7000
2,red,Ferris,7.976,,2017-10-06,2017-09-26,5,Haw,7000
3,red,Ferris,8.436,,2017-10-06,2017-09-26,5,Haw,7000
4,red,Ferris,4.994,,2017-10-06,2017-09-26,5,Haw,7000
5,red,Ferris,7.565,,2017-10-06,2017-09-26,5,Haw,7000
6,red,Ferris,6.341,,2017-10-06,2017-09-26,5,Haw,7000
7,red,Ferris,5.593,,2017-10-06,2017-09-26,5,Haw,7000
8,red,Ferris,10.273,,2017-10-06,2017-09-26,5,Haw,7000
9,red,Ferris,8.123,,2017-10-06,2017-09-26,5,Haw,7000
10,red,Ferris,6.887,,2017-10-06,2017-09-26,5,Haw,7000
11,red,Ferris,7.094,,2017-10-06,2017-09-26,5,Haw,7000
12,red,Ferris,7.814,,2017-10-06,2017-09-26,5,Haw,7000
13,red,Ferris,5.853,,2017-10-06,2017-09-26,5,Haw,7000
14,red,Ferris,7.971,,2017-10-06,2017-09-26,5,Haw,7000
15,red,Ferris,9.04,,2017-10-06,2017-09-26,5,Haw,7000
16,red,Ferris,6.694,,2017-10-06,2017-09-26,5,Haw,7000
17,red,Ferris,11.155,,2017-10-06,2017-09-26,5,Haw,7000
18,red,Ferris,10.516,,2017-10-06,2017-09-26,5,Haw,7000
19,red,Ferris,7.962,,2017-10-06,2017-09-26,5,Haw,7000
20,red,Ferris,11.752,,2017-10-06,2017-09-26,5,Haw,7000
21,red,Ferris,8.946,,2017-10-06,2017-09-26,5,Haw,7000
22,red,Ferris,4.368,,2017-10-06,2017-09-26,5,Haw,7000
23,red,Blank,,,2017-10-06,2017-09-26,5,Haw,7000
24,red,Blank,,14:29,2017-10-06,2017-09-26,5,Haw,7000
