Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li_Cor,rando_assign,uniqueID
66,orange,Ferris,11.72,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o66
67,orange,Grant,5.442,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4o67
68,orange,Ferris,9.328,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o68
69,orange,Ferris,4.12,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o69
70,orange,Grant,5.651,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4o70
71,orange,Grant,8.96,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o71
72,orange,Grant,6.383,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o72
73,orange,Ferris,7.45,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4o73
74,orange,Ferris,7.601,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4o74
75,orange,Ferris,9.174,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o75
76,orange,Ferris,11.574,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4o76
77,orange,blank,NA,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4o77
78,orange,blank,NA,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4o78
1,white,Ferris,5.593,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w1
2,white,Grant,6.118,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w2
3,white,Grant,9.318,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w3
4,white,Grant,8.011,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w4
5,white,Ferris,8.884,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w5
6,white,Ferris,5.603,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w6
7,white,Ferris,8.063,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w7
8,white,Grant,5.802,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w8
9,white,Ferris,9.143,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w9
10,white,Grant,11.636,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w10
11,white,Ferris,6.391,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w11
12,white,Grant,8.459,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w12
13,white,Ferris,6.926,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w13
14,white,Grant,9.607,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w14
15,white,Grant,9.457,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w15
16,white,Ferris,5.552,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w16
17,white,Grant,4.518,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w17
18,white,Grant,9.372,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w18
19,white,Ferris,8.133,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w19
20,white,Ferris,7.325,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w20
21,white,Ferris,9.429,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w21
22,white,Grant,6.182,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w22
23,white,Ferris,6.282,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w23
24,white,Ferris,7.134,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w24
25,white,Grant,5.528,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w25
26,white,Grant,8.105,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w26
27,white,Grant,5.537,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w27
28,white,Ferris,9.959,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w28
29,white,Grant,5.158,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w29
30,white,Grant,6.602,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w30
31,white,Grant,5.513,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w31
32,white,Ferris,9.485,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w32
33,white,Grant,4.881,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w33
34,white,Grant,5.494,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w34
35,white,Ferris,11.969,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w35
36,white,Grant,7.553,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w36
37,white,Grant,6.565,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w37
38,white,Milford,11.624,,2017-09-06,2017-08-27,4,Haw,7000,RT eclosion,4w38
39,white,Grant,8.246,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w39
40,white,Ferris,9.771,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w40
41,white,Ferris,9.137,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w41
42,white,Grant,3.612,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w42
43,white,Ferris,6.876,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w43
44,white,Grant,8.837,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w44
45,white,Grant,9.453,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w45
46,white,Grant,6.458,,2017-09-06,2017-08-27,4,Apple,7000,RT eclosion,4w46
47,white,Ferris,8.931,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w47
48,white,Grant,8.267,,2017-09-06,2017-08-27,4,Apple,7000,genetic control,4w48
49,white,Grant,7.886,,2017-09-06,2017-08-27,4,Apple,7000,Simulated Overwintering,4w49
50,white,Milford,11.759,,2017-09-06,2017-08-27,4,Haw,7000,Simulated Overwintering,4w50
51,white,Grant,11.131,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w51
52,white,Ferris,6.326,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w52
53,white,Grant,4.484,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w53
54,white,Ferris,5.327,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w54
55,white,Grant,10.858,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w55
56,white,Ferris,7.307,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w56
57,white,Grant,6.917,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w57
58,white,Grant,4.992,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w58
59,white,Grant,4.727,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w59
60,white,Ferris,7.82,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w60
61,white,Grant,6.867,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w61
62,white,Ferris,8.896,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w62
63,white,Grant,5.974,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w63
64,white,Grant,6.55,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w64
65,white,Grant,10.582,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w65
66,white,Ferris,7.29,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w66
67,white,Grant,6.035,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w67
68,white,Ferris,6.56,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w68
69,white,Ferris,8.47,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w69
70,white,Ferris,10.624,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w70
71,white,Ferris,8.171,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w71
72,white,Grant,6.366,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w72
73,white,Ferris,11.6,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w73
74,white,Ferris,7.682,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w74
75,white,Ferris,6.971,,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w75
76,white,Grant,6.545,,2017-09-06,2017-08-27,4,Apple,6262,RT eclosion,4w76
77,white,blank,NA,,2017-09-06,2017-08-27,4,Apple,6262,genetic control,4w77
78,white,blank,NA,16:12,2017-09-06,2017-08-27,4,Apple,6262,Simulated Overwintering,4w78
