Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li-cor,
9,white,Ferris,9.143,,2017-09-06,2017-08-27,4,Apple,7000,
10,white,Grant,11.636,,2017-09-06,2017-08-27,4,Apple,7000,
11,white,Ferris,6.391,,2017-09-06,2017-08-27,4,Apple,7000,
12,white,Grant,8.459,,2017-09-06,2017-08-27,4,Apple,7000,
13,white,Ferris,6.926,,2017-09-06,2017-08-27,4,Apple,7000,
14,white,Grant,9.607,,2017-09-06,2017-08-27,4,Apple,7000,
15,white,Grant,9.457,,2017-09-06,2017-08-27,4,Apple,7000,
16,white,Ferris,5.552,,2017-09-06,2017-08-27,4,Apple,7000,
17,white,Grant,4.518,,2017-09-06,2017-08-27,4,Apple,7000,
18,white,Grant,9.372,,2017-09-06,2017-08-27,4,Apple,7000,
19,white,Ferris,8.133,,2017-09-06,2017-08-27,4,Apple,7000,
20,white,Ferris,7.325,,2017-09-06,2017-08-27,4,Apple,7000,
21,white,Ferris,9.429,,2017-09-06,2017-08-27,4,Apple,7000,
22,white,Grant,6.182,,2017-09-06,2017-08-27,4,Apple,7000,
23,white,Ferris,6.282,,2017-09-06,2017-08-27,4,Apple,7000,
24,white,Ferris,7.134,,2017-09-06,2017-08-27,4,Apple,7000,
25,white,Grant,5.528,,2017-09-06,2017-08-27,4,Apple,7000,
26,white,Grant,8.105,,2017-09-06,2017-08-27,4,Apple,7000,
27,white,Grant,5.537,,2017-09-06,2017-08-27,4,Apple,7000,
28,white,Ferris,9.959,,2017-09-06,2017-08-27,4,Apple,7000,
29,white,Grant,5.158,,2017-09-06,2017-08-27,4,Apple,7000,
30,white,Grant,6.602,,2017-09-06,2017-08-27,4,Apple,7000,
31,white,Grant,5.513,,2017-09-06,2017-08-27,4,Apple,7000,
32,white,Ferris,9.485,,2017-09-06,2017-08-27,4,Apple,7000,
33,white,Grant,4.881,,2017-09-06,2017-08-27,4,Apple,7000,
34,white,Grant,5.494,,2017-09-06,2017-08-27,4,Apple,7000,
35,white,Ferris,11.969,,2017-09-06,2017-08-27,4,Apple,7000,
36,white,Grant,7.553,,2017-09-06,2017-08-27,4,Apple,7000,
37,white,Grant,6.565,,2017-09-06,2017-08-27,4,Apple,7000,
38,white,Milford,11.624,,2017-09-06,2017-08-27,4,Haw,7000,
39,white,Grant,8.246,,2017-09-06,2017-08-27,4,Apple,7000,
40,white,Ferris,9.771,,2017-09-06,2017-08-27,4,Apple,7000,
41,white,Ferris,9.137,,2017-09-06,2017-08-27,4,Apple,7000,
42,white,Grant,3.612,,2017-09-06,2017-08-27,4,Apple,7000,
43,white,Ferris,6.876,,2017-09-06,2017-08-27,4,Apple,7000,
