Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID,wellID
25,blue,Ferris,5.76,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b25,G9
26,blue,Ferris,5.465,,NA,10/3/17,9/23/17,2,Haw,7000,genetic control,2b26,
27,blue,Ferris,8.697,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b27,D12
28,blue,Ferris,7.491,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b28,H1
29,blue,Ferris,9.171,,NA,10/3/17,9/23/17,2,Haw,7000,Simulated Overwintering,2b29,B4
30,blue,Ferris,7.989,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b30,H8
31,blue,Ferris,7.976,,NA,10/3/17,9/23/17,2,Haw,7000,Simulated Overwintering,2b31,E11
32,blue,Ferris,9.337,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b32,B6
33,blue,Ferris,8.911,,NA,10/3/17,9/23/17,2,Haw,7000,Simulated Overwintering,2b33,F10
34,blue,blank,NA,,NA,10/3/17,9/23/17,2,Haw,7000,RT eclosion,2b34,C3
35,blue,blank,NA,15:14,NA,10/3/17,9/23/17,2,Haw,7000,genetic control,2b35,
