Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
1,red,Grant,5.197,17:28,2017-09-16,2017-09-06,14,Apple
2,red,Grant,4.998,,2017-09-16,2017-09-06,14,Apple
3,red,Ferris,8.288,,2017-09-16,2017-09-06,14,Apple
4,red,Ferris,8.865,,2017-09-16,2017-09-06,14,Apple
5,red,Grant,9.288,,2017-09-16,2017-09-06,14,Apple
6,red,Ferris,9.434,,2017-09-16,2017-09-06,14,Apple
7,red,Ferris,9.138,,2017-09-16,2017-09-06,14,Apple
8,red,Grant,8.116,,2017-09-16,2017-09-06,14,Apple
9,red,Grant,5.756,,2017-09-16,2017-09-06,14,Apple
10,red,Grant,12.981,,2017-09-16,2017-09-06,14,Apple
11,red,Grant,9.348,,2017-09-16,2017-09-06,14,Apple
12,red,Grant,8.252,,2017-09-16,2017-09-06,14,Apple
13,red,Ferris,5.333,,2017-09-16,2017-09-06,14,Apple
14,red,Ferris,5.46,,2017-09-16,2017-09-06,14,Apple
15,red,Grant,4.42,,2017-09-16,2017-09-06,14,Apple
16,red,Ferris,5.674,,2017-09-16,2017-09-06,14,Apple
17,red,Ferris,7.381,,2017-09-16,2017-09-06,14,Apple
18,red,Grant,7.312,,2017-09-16,2017-09-06,14,Apple
19,red,Grant,6.678,,2017-09-16,2017-09-06,14,Apple
20,red,Ferris,6.378,,2017-09-16,2017-09-06,14,Apple
21,red,Grant,10.034,,2017-09-16,2017-09-06,14,Apple
22,red,Ferris,3.617,,2017-09-16,2017-09-06,14,Apple
23,red,Grant,5.255,,2017-09-16,2017-09-06,14,Apple
24,red,Grant,5.748,,2017-09-16,2017-09-06,14,Apple
25,red,Milford,7.048,,2017-09-16,2017-09-06,14,Haw
26,red,Ferris,7.492,,2017-09-16,2017-09-06,14,Apple
27,red,Blank,,,2017-09-16,2017-09-06,14,Apple
28,red,Ferris,6.853,,2017-09-16,2017-09-06,14,Apple
29,red,Grant,9.864,,2017-09-16,2017-09-06,14,Apple
30,red,Ferris,7.109,,2017-09-16,2017-09-06,14,Apple
31,red,Grant,8.032,,2017-09-16,2017-09-06,14,Apple
32,red,Ferris,3.228,,2017-09-16,2017-09-06,14,Apple
33,red,Grant,6.474,,2017-09-16,2017-09-06,14,Apple
34,red,Grant,8.051,,2017-09-16,2017-09-06,14,Apple
35,red,Grant,6.585,,2017-09-16,2017-09-06,14,Apple
36,red,Ferris,5.425,,2017-09-16,2017-09-06,14,Apple
37,red,Grant,9.81,,2017-09-16,2017-09-06,14,Apple
38,red,Ferris,6.149,,2017-09-16,2017-09-06,14,Apple
39,red,Grant,4.939,,2017-09-16,2017-09-06,14,Apple
40,red,Grant,5.329,,2017-09-16,2017-09-06,14,Apple
41,red,Grant,3.67,,2017-09-16,2017-09-06,14,Apple
42,red,Ferris,9.522,,2017-09-16,2017-09-06,14,Apple
43,red,Grant,5.914,,2017-09-16,2017-09-06,14,Apple
44,red,Grant,5.805,,2017-09-16,2017-09-06,14,Apple
45,red,Grant,7.597,,2017-09-16,2017-09-06,14,Apple
46,red,Grant,5.884,,2017-09-16,2017-09-06,14,Apple
47,red,Grant,9.124,,2017-09-16,2017-09-06,14,Apple
48,red,Ferris,5.425,,2017-09-16,2017-09-06,14,Apple
49,red,Grant,8.795,,2017-09-16,2017-09-06,14,Apple
50,red,Grant,9.358,,2017-09-16,2017-09-06,14,Apple
51,red,Grant,6.812,,2017-09-16,2017-09-06,14,Apple
52,red,Grant,5.909,,2017-09-16,2017-09-06,14,Apple
53,red,Grant,3.63,,2017-09-16,2017-09-06,14,Apple
54,red,Grant,4.134,,2017-09-16,2017-09-06,14,Apple
55,red,Grant,4.501,,2017-09-16,2017-09-06,14,Apple
56,red,Ferris,7.292,,2017-09-16,2017-09-06,14,Apple
57,red,Grant,9.801,,2017-09-16,2017-09-06,14,Apple
58,red,Grant,4.781,,2017-09-16,2017-09-06,14,Apple
59,red,Grant,3.757,,2017-09-16,2017-09-06,14,Apple
60,red,Ferris,8.65,,2017-09-16,2017-09-06,14,Apple
61,red,Grant,6.013,,2017-09-16,2017-09-06,14,Apple
62,red,Grant,7.222,,2017-09-16,2017-09-06,14,Apple
63,red,Ferris,6.628,,2017-09-16,2017-09-06,14,Apple
64,red,Grant,4.879,,2017-09-16,2017-09-06,14,Apple
66,red,Ferris,8.159,,2017-09-16,2017-09-06,14,Apple
69,red,Ferris,4.406,,2017-09-16,2017-09-06,14,Apple
70,red,Blank,,17:49,2017-09-16,2017-09-06,14,Apple
1,blue,Grant,6.54,17:08,2017-09-16,2017-09-06,14,Apple
2,blue,Milford,11.606,,2017-09-16,2017-09-06,14,Apple
3,blue,Grant,5.352,,2017-09-16,2017-09-06,14,Apple
4,blue,Milford,6.749,,2017-09-16,2017-09-06,14,Apple
5,blue,Grant,6.515,,2017-09-16,2017-09-06,14,Apple
6,blue,Grant,7.064,,2017-09-16,2017-09-06,14,Apple
7,blue,Ferris,8.654,,2017-09-16,2017-09-06,14,Apple
8,blue,Grant,5.598,,2017-09-16,2017-09-06,14,Apple
9,blue,Ferris,5.973,,2017-09-16,2017-09-06,14,Apple
10,blue,Ferris,10.335,,2017-09-16,2017-09-06,14,Apple
11,blue,Grant,5.684,,2017-09-16,2017-09-06,14,Apple
12,blue,Grant,7.356,,2017-09-16,2017-09-06,14,Apple
13,blue,Grant,4.105,,2017-09-16,2017-09-06,14,Apple
14,blue,Grant,7.918,,2017-09-16,2017-09-06,14,Apple
15,blue,Ferris,10.56,,2017-09-16,2017-09-06,14,Apple
16,blue,Grant,5.821,,2017-09-16,2017-09-06,14,Apple
17,blue,Grant,8.284,,2017-09-16,2017-09-06,14,Apple
18,blue,Grant,6.223,,2017-09-16,2017-09-06,14,Apple
19,blue,Ferris,9.565,,2017-09-16,2017-09-06,14,Apple
20,blue,Grant,6.118,,2017-09-16,2017-09-06,14,Apple
21,blue,Grant,7.039,,2017-09-16,2017-09-06,14,Apple
