Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
21,blue,Grant,5.98,,2017-09-14,2017-09-04,12,Apple
22,blue,Ferris,6.648,,2017-09-14,2017-09-04,12,Apple
23,blue,Grant,3.357,,2017-09-14,2017-09-04,12,Apple
24,blue,Grant,7.615,,2017-09-14,2017-09-04,12,Apple
25,blue,Grant,6.354,,2017-09-14,2017-09-04,12,Apple
26,blue,MSU,7.667,,2017-09-14,2017-09-04,12,Apple
27,blue,Grant,11.178,,2017-09-14,2017-09-04,12,Apple
28,blue,Ferris,7.68,,2017-09-14,2017-09-04,12,Apple
29,blue,Grant,6.319,,2017-09-14,2017-09-04,12,Apple
30,blue,Ferris,9.913,,2017-09-14,2017-09-04,12,Apple
31,blue,Grant,5.198,,2017-09-14,2017-09-04,12,Apple
32,blue,Grant,7.306,,2017-09-14,2017-09-04,12,Apple
33,blue,Milford,11.694,,2017-09-14,2017-09-04,12,Haw
34,blue,Grant,4.843,,2017-09-14,2017-09-04,12,Apple
35,blue,Grant,6.228,,2017-09-14,2017-09-04,12,Apple
36,blue,Ferris,5.507,,2017-09-14,2017-09-04,12,Apple
37,blue,Grant,7.466,,2017-09-14,2017-09-04,12,Apple
38,blue,Grant,5.143,,2017-09-14,2017-09-04,12,Apple
39,blue,MSU,10.494,,2017-09-14,2017-09-04,12,Apple
40,blue,Grant,5.483,,2017-09-14,2017-09-04,12,Apple
41,blue,Grant,13.129,,2017-09-14,2017-09-04,12,Apple
42,blue,Ferris,7.774,,2017-09-14,2017-09-04,12,Apple
43,blue,Grant,6.99,,2017-09-14,2017-09-04,12,Apple
44,blue,Grant,5.151,,2017-09-14,2017-09-04,12,Apple
45,blue,Milford,8.613,,2017-09-14,2017-09-04,12,Haw
46,blue,Grant,7.819,,2017-09-14,2017-09-04,12,Apple
47,blue,Grant,9.226,,2017-09-14,2017-09-04,12,Apple
48,blue,Ferris,7.463,,2017-09-14,2017-09-04,12,Apple
49,blue,Grant,6.717,,2017-09-14,2017-09-04,12,Apple
50,blue,Grant,8.653,,2017-09-14,2017-09-04,12,Apple
51,blue,Ferris,9.316,,2017-09-14,2017-09-04,12,Apple
52,blue,Grant,8.807,,2017-09-14,2017-09-04,12,Apple
53,blue,Ferris,10.302,,2017-09-14,2017-09-04,12,Apple
54,blue,Grant,7.449,,2017-09-14,2017-09-04,12,Apple
55,blue,Ferris,12.367,,2017-09-14,2017-09-04,12,Apple
56,blue,Grant,7.033,,2017-09-14,2017-09-04,12,Apple
57,blue,Ferris,5.569,,2017-09-14,2017-09-04,12,Apple
58,blue,Ferris,7.024,,2017-09-14,2017-09-04,12,Apple
59,blue,Grant,11,,2017-09-14,2017-09-04,12,Apple
60,blue,Grant,9.636,,2017-09-14,2017-09-04,12,Apple
61,blue,Milford,9.299,,2017-09-14,2017-09-04,12,Haw
62,blue,Grant,7.601,,2017-09-14,2017-09-04,12,Apple
63,blue,Grant,7.574,,2017-09-14,2017-09-04,12,Apple
64,blue,Ferris,7.524,,2017-09-14,2017-09-04,12,Apple
65,blue,Grant,6.879,,2017-09-14,2017-09-04,12,Apple
66,blue,Grant,7.238,,2017-09-14,2017-09-04,12,Apple
67,blue,Milford,11.852,,2017-09-14,2017-09-04,12,Haw
68,blue,Grant,8.935,,2017-09-14,2017-09-04,12,Apple
69,blue,Grant,7.163,,2017-09-14,2017-09-04,12,Apple
70,blue,Ferris,6.897,,2017-09-14,2017-09-04,12,Apple
71,blue,Grant,6.079,,2017-09-14,2017-09-04,12,Apple
72,blue,Grant,6.829,,2017-09-14,2017-09-04,12,Apple
73,blue,Ferris,8.975,,2017-09-14,2017-09-04,12,Apple
74,blue,Grant,7.815,,2017-09-14,2017-09-04,12,Apple
75,blue,Grant,8.799,,2017-09-14,2017-09-04,12,Apple
76,blue,Blank,,,2017-09-14,2017-09-04,12,Apple
77,blue,Blank,,17:03,2017-09-14,2017-09-04,12,Apple
