Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host
1,white,Ferris,8.567,12:02,,2017-10-09,2017-09-29,8,Haw
2,white,Ferris,8.461,,,2017-10-09,2017-09-29,8,Haw
3,white,Ferris,11.716,,,2017-10-09,2017-09-29,8,Haw
4,white,Ferris,4.696,,,2017-10-09,2017-09-29,8,Haw
5,white,Ferris,4.817,,,2017-10-09,2017-09-29,8,Haw
6,white,Ferris,11.222,,,2017-10-09,2017-09-29,8,Haw
7,white,Ferris,7.605,,,2017-10-09,2017-09-29,8,Haw
8,white,Ferris,12.482,,,2017-10-09,2017-09-29,8,Haw
9,white,Ferris,7.044,,,2017-10-09,2017-09-29,8,Haw
10,white,Ferris,5.666,,,2017-10-09,2017-09-29,8,Haw
11,white,Ferris,8.884,,,2017-10-09,2017-09-29,8,Haw
12,white,Ferris,4.999,,,2017-10-09,2017-09-29,8,Haw
13,white,Ferris,11.091,,,2017-10-09,2017-09-29,8,Haw
14,white,Ferris,9.387,,,2017-10-09,2017-09-29,8,Haw
15,white,Ferris,12.439,,,2017-10-09,2017-09-29,8,Haw
16,white,Ferris,7.688,,,2017-10-09,2017-09-29,8,Haw
17,white,Ferris,11.819,,,2017-10-09,2017-09-29,8,Haw
18,white,Ferris,8.002,,,2017-10-09,2017-09-29,8,Haw
19,white,Blank,,,,2017-10-09,2017-09-29,8,Haw
20,white,Blank,,12:08,,2017-10-09,2017-09-29,8,Haw
1,orange,Ferris,7.198,11:56,,2017-10-09,2017-09-29,8,Haw
2,orange,Ferris,6.896,,,2017-10-09,2017-09-29,8,Haw
3,orange,Ferris,9.278,,,2017-10-09,2017-09-29,8,Haw
4,orange,Ferris,5.007,,,2017-10-09,2017-09-29,8,Haw
5,orange,Ferris,8.681,,,2017-10-09,2017-09-29,8,Haw
6,orange,Ferris,10.082,,,2017-10-09,2017-09-29,8,Haw
7,orange,Ferris,10.522,,,2017-10-09,2017-09-29,8,Haw
8,orange,Ferris,8.111,,,2017-10-09,2017-09-29,8,Haw
9,orange,Ferris,10.841,,,2017-10-09,2017-09-29,8,Haw
10,orange,Ferris,9.662,,,2017-10-09,2017-09-29,8,Haw
11,orange,Ferris,10.042,,,2017-10-09,2017-09-29,8,Haw
12,orange,Ferris,8.635,,,2017-10-09,2017-09-29,8,Haw
13,orange,Ferris,7.177,,,2017-10-09,2017-09-29,8,Haw
14,orange,Ferris,10.661,,,2017-10-09,2017-09-29,8,Haw
15,orange,Ferris,10.758,,,2017-10-09,2017-09-29,8,Haw
16,orange,Ferris,8.515,,,2017-10-09,2017-09-29,8,Haw
17,orange,Ferris,8.361,,,2017-10-09,2017-09-29,8,Haw
18,orange,Blank,,,,2017-10-09,2017-09-29,8,Haw
19,orange,Blank,,12:02,,2017-10-09,2017-09-29,8,Haw
