Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,white,Ferris,8.567,12:02,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w1,
2,white,Ferris,8.461,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w2,C1
3,white,Ferris,11.716,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w3,
4,white,Ferris,4.696,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8w4,F2
5,white,Ferris,4.817,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w5,
6,white,Ferris,11.222,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8w6,D12
7,white,Ferris,7.605,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w7,G12
8,white,Ferris,12.482,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w8,
9,white,Ferris,7.044,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w9,F4
10,white,Ferris,5.666,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w10,H11
11,white,Ferris,8.884,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w11,A4
12,white,Ferris,4.999,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w12,A11
13,white,Ferris,11.091,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w13,E2
14,white,Ferris,9.387,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w14,G3
15,white,Ferris,12.439,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8w15,C4
16,white,Ferris,7.688,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w16,
17,white,Ferris,11.819,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8w17,
18,white,Ferris,8.002,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8w18,C5
1,orange,Ferris,7.198,11:56,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o1,
2,orange,Ferris,6.896,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o2,B10
3,orange,Ferris,9.278,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8o3,B8
4,orange,Ferris,5.007,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8o4,G4
5,orange,Ferris,8.681,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o5,E1
6,orange,Ferris,10.082,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8o6,B10
7,orange,Ferris,10.522,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o7,
8,orange,Ferris,8.111,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o8,
9,orange,Ferris,10.841,,NA,10/9/17,9/29/17,8,Haw,Simulated Overwintering,h8o9,C8
10,orange,Ferris,9.662,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o10,
11,orange,Ferris,10.042,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o11,
12,orange,Ferris,8.635,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o12,C10
13,orange,Ferris,7.177,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o13,A4
14,orange,Ferris,10.661,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o14,G8
15,orange,Ferris,10.758,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o15,
16,orange,Ferris,8.515,,NA,10/9/17,9/29/17,8,Haw,RT eclosion,h8o16,A7
17,orange,Ferris,8.361,,NA,10/9/17,9/29/17,8,Haw,genetic control,h8o17,
