"","Ind_ID","tape","Site_name","mass","purge_time","day10","cohort_date","cohort_day","Host","rando_assign"
"62",13,"red","Ferris",6.265,"13:14","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"63",14,"red","Ferris",9.264,"13:15","2017-09-04","2017-08-25",2,"Apple","genetic control"
"64",15,"red","OG",6.767,"13:05","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"65",16,"red","Ferris",10.024,"13:08","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"66",17,"red","OG",9.136,"13:07","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"67",18,"red","OG",4.34,"13:37","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"68",19,"red","Ferris",7.72,"13:16","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"69",22,"red","OG",8.615,"13:18","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"70",23,"red","OG",6.954,"12:58","2017-09-04","2017-08-25",2,"Apple","genetic control"
"71",24,"red","OG",8.167,"12:57","2017-09-04","2017-08-25",2,"Apple","genetic control"
"72",25,"red","OG",9.759,"13:21","2017-09-04","2017-08-25",2,"Apple","genetic control"
"73",26,"red","Milford",12.097,"13:17","2017-09-04","2017-08-25",2,"Haw","genetic control"
"74",27,"red","OG",7.849,"13:58","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
"75",28,"red","Ferris",7.747,"13:18","2017-09-04","2017-08-25",2,"Apple","genetic control"
"76",29,"red","OG",8.172,"12:56","2017-09-04","2017-08-25",2,"Apple","Simulated Overwintering"
"77",30,"red","OG",5.043,"13:04","2017-09-04","2017-08-25",2,"Apple","genetic control"
"78",31,"red","Ferris",12.058,"13:19","2017-09-04","2017-08-25",2,"Apple","genetic control"
"79",32,"red","OG",8.97,"13:20","2017-09-04","2017-08-25",2,"Apple","genetic control"
"80",33,"red","Ferris",9.876,"13:19","2017-09-04","2017-08-25",2,"Apple","RT eclosion"
