starttime_VCO2_6262_1,area_VCO2_6262_1
10:07:32,9.527098E-02
10:09:14,4.194194E-02
10:10:34,8.363096E-02
10:11:55,8.144309E-02
10:13:17,8.195409E-02
10:14:34,.0592699
10:15:52,.3942057
10:17:16,.279146
10:18:38,.3217047
10:20:02,7.634791E-02
10:21:37,.7663071
10:23:05,.0737986
10:24:31,6.181453E-02
10:25:44,7.777916E-02
10:26:54,5.738631E-02
10:28:08,.5622371
10:29:22,1.173105
10:30:45,.1047102
10:32:08,5.488179E-02
10:34:24,8.838578E-02
10:35:42,7.737389E-02
10:37:32,.2702661
10:38:53,.3958034
10:40:12,6.711274E-02
10:41:31,6.751294E-02
10:42:52,.7325521
10:44:11,6.137918E-02
10:45:30,.1050209
10:46:44,.1465307
10:47:57,.5376221
10:49:26,.0121097
10:50:19,9.730296E-03
10:07:32,.1811288
10:09:14,.1420307
10:10:34,.1813466
10:11:55,.1916566
10:13:17,.1501593
10:14:34,.1111422
10:15:52,.1186197
10:17:16,.1410967
10:18:38,.6093726
10:20:02,1.326942
10:21:37,.7196211
10:23:05,.5799341
10:24:31,.1456821
10:25:44,8.342984E-02
10:26:54,.1474685
10:28:08,.125872
10:29:22,.1959377
10:30:45,9.652126E-02
10:32:08,.3765869
10:34:24,.1195429
10:35:42,.632902
10:37:32,.1344806
10:38:53,.1892786
10:40:12,.6028256
10:41:31,.1151815
10:42:52,.104641
10:44:11,6.170995E-02
10:45:30,.0959175
10:46:44,.2113331
10:47:57,1.179905
10:49:26,2.334104E-02
10:50:19,.0194338
