starttime_VCO2_6262_1,area_VCO2_6262_1
09:25:26,1.757731E-02
09:27:01,.1073624
09:29:08,9.675106E-02
09:31:14,.1026168
09:33:57,.1420681
09:36:00,6.169449E-02
09:37:40,9.062614E-02
09:39:16,.1351351
09:40:53,.1855269
09:42:29,.1305456
09:43:54,7.010963E-02
09:45:27,.0664527
09:47:19,.1466298
09:49:40,3.292122E-02
09:51:22,.5808361
09:53:21,5.204467E-02
09:54:47,.4504891
09:56:23,.1227713
09:57:59,.1056791
09:59:28,7.009639E-02
10:01:23,6.548854E-02
10:03:07,5.419067E-02
10:04:29,2.087797E-02
10:06:14,6.991323E-02
10:07:41,7.395041E-03
10:09:46,4.218441E-03
10:11:03,1.57746E-03
10:12:21,-1.844496E-03
10:13:41,-1.414467E-03
10:15:09,6.992135E-04
10:15:32,9.60087E-03
10:17:10,8.702484E-03
09:25:26,.1536893
09:27:01,.2787961
09:29:08,.1860597
09:31:14,.7545438
09:33:57,.1777935
09:36:00,.1895384
09:37:40,.1131311
09:39:16,.1170902
09:40:53,.1901263
09:42:29,.373135
09:43:54,1.17356
09:45:27,9.771843E-02
09:47:19,.225715
09:49:40,.882462
09:51:22,.7672157
09:53:21,.1290249
09:54:47,1.40467
09:56:23,.1370349
09:57:59,2.748227E-02
09:59:28,.1736945
10:01:23,1.158241
10:03:07,1.284562
10:04:29,.4704416
10:06:14,.1020531
10:07:41,1.00356
10:09:46,.1274268
10:11:03,9.002735E-02
10:12:21,7.639149E-03
10:13:41,9.548571E-02
10:15:09,4.416362E-04
10:15:32,8.935253E-03
10:17:10,9.937742E-03
