,Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
61,14,blue,OG,5.126,,8/16/18,NA,9/10/18,26,Apple,a26b14_18,genetic control,
62,15,blue,OG,6.959,,8/29/18,NA,9/10/18,11,Apple,a11b15_18,RT eclosion,C1
63,16,blue,OG,8.768,,8/29/18,NA,9/10/18,11,Apple,a11b16_18,Simulated Overwintering,D1
64,17,blue,MSU,10.502,,8/29/18,NA,9/10/18,11,Apple,a11b17_18,Simulated Overwintering,G12
65,18,blue,OG,9.04,,8/29/18,NA,9/10/18,11,Apple,a11b18_18,Simulated Overwintering,G9
66,19,blue,OG,6.067,,8/29/18,NA,9/10/18,11,Apple,a11b19_18,Simulated Overwintering,F11
67,20,blue,MSU,9.347,,8/29/18,NA,9/10/18,11,Apple,a11b20_18,Simulated Overwintering,A3
68,21,blue,OG,4.314,,8/29/18,NA,9/10/18,11,Apple,a11b21_18,genetic control,
69,22,blue,OG,4.093,,8/29/18,NA,9/10/18,11,Apple,a11b22_18,Simulated Overwintering,H4
70,23,blue,OG,6.772,,8/29/18,NA,9/10/18,11,Apple,a11b23_18,RT eclosion,F4
71,24,blue,OG,4.396,,8/29/18,NA,9/10/18,11,Apple,a11b24_18,Simulated Overwintering,C6
72,25,blue,MSU,6.891,,8/29/18,NA,9/10/18,11,Apple,a11b25_18,RT eclosion,E12
73,26,blue,OG,4.559,,8/29/18,NA,9/10/18,11,Apple,a11b26_18,RT eclosion,H1
74,27,blue,OG,3.199,,8/29/18,NA,9/10/18,11,Apple,a11b27_18,genetic control,
75,28,blue,OG,6.335,,8/29/18,NA,9/10/18,11,Apple,a11b28_18,RT eclosion,C11
76,29,blue,OG,4.956,,8/29/18,NA,9/10/18,11,Apple,a11b29_18,genetic control,
77,30,blue,Ferris,6.29,,8/29/18,NA,9/10/18,11,Apple,a11b30_18,Simulated Overwintering,B12
78,31,blue,OG,5.094,,8/29/18,NA,9/10/18,11,Apple,a11b31_18,Simulated Overwintering,F3
79,32,blue,OG,7.091,,8/29/18,NA,9/10/18,11,Apple,a11b32_18,genetic control,
80,33,blue,MSU,6.31,,8/29/18,NA,9/10/18,11,Apple,a11b33_18,RT eclosion,G10
81,34,blue,OG,4.802,,8/29/18,NA,9/10/18,11,Apple,a11b34_18,genetic control,
82,35,blue,MSU,8.857,,8/29/18,NA,9/10/18,11,Apple,a11b35_18,RT eclosion,B7
83,36,blue,MSU,5.742,,8/29/18,NA,9/10/18,11,Apple,a11b36_18,Simulated Overwintering,E3
84,37,blue,MSU,5.6,,8/29/18,NA,9/10/18,11,Apple,a11b37_18,RT eclosion,B11
85,38,blue,MSU,5.482,,8/29/18,NA,9/10/18,11,Apple,a11b38_18,Simulated Overwintering,A6
86,39,blue,MSU,5.289,,8/29/18,NA,9/10/18,11,Apple,a11b39_18,genetic control,
87,40,blue,OG,6.351,,8/29/18,NA,9/10/18,11,Apple,a11b40_18,RT eclosion,C9
88,41,blue,OG,7.629,,8/29/18,NA,9/10/18,11,Apple,a11b41_18,genetic control,
89,42,blue,MSU,8.112,,8/29/18,NA,9/10/18,11,Apple,a11b42_18,RT eclosion,D9
90,43,blue,OG,7.486,,8/29/18,NA,9/10/18,11,Apple,a11b43_18,Simulated Overwintering,E6
91,44,blue,OG,7.186,,8/29/18,NA,9/10/18,11,Apple,a11b44_18,genetic control,
92,45,blue,OG,7.447,,8/29/18,NA,9/10/18,11,Apple,a11b45_18,genetic control,
93,46,blue,Blank,NA,,8/29/18,NA,9/10/18,11,Apple,,,
94,47,blue,Blank,NA,15:42,8/29/18,NA,9/10/18,11,Apple,,,
