Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,orange,MSU,11.408,16:27,9/16/18,10/2/18,9/22/18,2,Haw,a2o1_18,RT eclosion,C4
2,orange,MSU,7.507,,9/16/18,10/2/18,9/22/18,2,Haw,a2o2_18,RT eclosion,G12
3,orange,MSU,6.18,,9/16/18,10/2/18,9/22/18,2,Haw,a2o3_18,Simulated Overwintering,F7
4,orange,MSU,6.611,,9/16/18,10/2/18,9/22/18,2,Haw,a2o4_18,Simulated Overwintering,C4
5,orange,MSU,6.071,,9/16/18,10/2/18,9/22/18,2,Haw,a2o5_18,RT eclosion,F2
6,orange,MSU,6.766,,9/16/18,10/2/18,9/22/18,2,Haw,a2o6_18,RT eclosion,D6
7,orange,MSU,6.91,,9/16/18,10/2/18,9/22/18,2,Haw,a2o7_18,RT eclosion,F8
8,orange,MSU,6.976,,9/16/18,10/2/18,9/22/18,2,Haw,a2o8_18,genetic control,
9,orange,MSU,10.78,,9/16/18,10/2/18,9/22/18,2,Haw,a2o9_18,RT eclosion,H4
10,orange,MSU,7.329,,9/16/18,10/2/18,9/22/18,2,Haw,a2o10_18,Simulated Overwintering,F3
11,orange,MSU,7.157,,9/16/18,10/2/18,9/22/18,2,Haw,a2o11_18,Simulated Overwintering,C2
12,orange,MSU,6.374,,9/16/18,10/2/18,9/22/18,2,Haw,a2o12_18,RT eclosion,E11
13,orange,MSU,8.487,,9/16/18,10/2/18,9/22/18,2,Haw,a2o13_18,genetic control,
14,orange,MSU,5.816,,9/16/18,10/2/18,9/22/18,2,Haw,a2o14_18,RT eclosion,E4
15,orange,MSU,11.185,,9/16/18,10/2/18,9/22/18,2,Haw,a2o15_18,Simulated Overwintering,F9
16,orange,MSU,7.839,,9/16/18,10/2/18,9/22/18,2,Haw,a2o16_18,RT eclosion,A5
17,orange,MSU,7.949,,9/16/18,10/2/18,9/22/18,2,Haw,a2o17_18,Simulated Overwintering,H3
18,orange,MSU,6.971,,9/16/18,10/2/18,9/22/18,2,Haw,a2o18_18,genetic control,
19,orange,MSU,6.584,,9/16/18,10/2/18,9/22/18,2,Haw,a2o19_18,genetic control,
20,orange,MSU,6.311,,9/16/18,10/2/18,9/22/18,2,Haw,a2o20_18,genetic control,
21,orange,MSU,9.65,,9/16/18,10/2/18,9/22/18,2,Haw,a2o21_18,Simulated Overwintering,C3
22,orange,MSU,7.034,,9/16/18,10/2/18,9/22/18,2,Haw,a2o22_18,RT eclosion,D11
23,orange,MSU,8.275,,9/16/18,10/2/18,9/22/18,2,Haw,a2o23_18,Simulated Overwintering,E7
24,orange,MSU,5.168,,9/16/18,10/2/18,9/22/18,2,Haw,a2o24_18,Simulated Overwintering,H1
25,orange,MSU,6.106,,9/16/18,10/2/18,9/22/18,2,Haw,a2o25_18,Simulated Overwintering,B6
26,orange,MSU,10.843,,9/16/18,10/2/18,9/22/18,2,Haw,a2o26_18,RT eclosion,H12
27,orange,MSU,10.575,,9/16/18,10/2/18,9/22/18,2,Haw,a2o27_18,RT eclosion,A7
28,orange,MSU,6.998,,9/16/18,10/2/18,9/22/18,2,Haw,a2o28_18,Simulated Overwintering,F12
29,orange,MSU,8.174,,9/16/18,10/2/18,9/22/18,2,Haw,a2o29_18,genetic control,
30,orange,MSU,9.369,,9/16/18,10/2/18,9/22/18,2,Haw,a2o30_18,RT eclosion,H1
31,orange,MSU,7.464,,9/16/18,10/2/18,9/22/18,2,Haw,a2o31_18,RT eclosion,C5
32,orange,MSU,5.759,,9/16/18,10/2/18,9/22/18,2,Haw,a2o32_18,RT eclosion,C8
33,orange,MSU,6.877,,9/16/18,10/2/18,9/22/18,2,Haw,a2o33_18,RT eclosion,G11
34,orange,MSU,7.727,,9/16/18,10/2/18,9/22/18,2,Haw,a2o34_18,genetic control,
35,orange,MSU,5.772,,9/16/18,10/2/18,9/22/18,2,Haw,a2o35_18,Simulated Overwintering,C12
36,orange,MSU,6.847,,9/16/18,10/2/18,9/22/18,2,Haw,a2o36_18,Simulated Overwintering,D12
37,orange,MSU,6.491,,9/16/18,10/2/18,9/22/18,2,Haw,a2o37_18,Simulated Overwintering,H6
38,orange,MSU,6.462,,9/16/18,10/2/18,9/22/18,2,Haw,a2o38_18,genetic control,
39,orange,MSU,10.78,,9/16/18,10/2/18,9/22/18,2,Haw,a2o39_18,genetic control,
40,orange,MSU,7.085,,9/16/18,10/2/18,9/22/18,2,Haw,a2o40_18,RT eclosion,E9
41,orange,MSU,6.315,,9/16/18,10/2/18,9/22/18,2,Haw,a2o41_18,genetic control,
42,orange,MSU,5.918,,9/16/18,10/2/18,9/22/18,2,Haw,a2o42_18,genetic control,
43,orange,MSU,9.589,,9/16/18,10/2/18,9/22/18,2,Haw,a2o43_18,Simulated Overwintering,H5
44,orange,MSU,7.514,,9/16/18,10/2/18,9/22/18,2,Haw,a2o44_18,RT eclosion,F9
45,orange,MSU,6.798,,9/16/18,10/2/18,9/22/18,2,Haw,a2o45_18,genetic control,
46,orange,Blank,NA,,9/16/18,10/2/18,9/22/18,2,Haw,,,
47,orange,Blank,NA,16:38,9/16/18,10/2/18,9/22/18,2,Haw,,,
1,white,MSU,13.917,16:38,9/16/18,10/2/18,9/22/18,2,Haw,a2w1_18,RT eclosion,G8
2,white,MSU,9.073,,9/16/18,10/2/18,9/22/18,2,Haw,a2w2_18,genetic control,
3,white,MSU,11.332,,9/16/18,10/2/18,9/22/18,2,Haw,a2w3_18,RT eclosion,C9
4,white,MSU,8.629,,9/16/18,10/2/18,9/22/18,2,Haw,a2w4_18,genetic control,
5,white,MSU,5.966,,9/16/18,10/2/18,9/22/18,2,Haw,a2w5_18,RT eclosion,E12
6,white,MSU,7.558,,9/16/18,10/2/18,9/22/18,2,Haw,a2w6_18,genetic control,
7,white,MSU,11.357,,9/16/18,10/2/18,9/22/18,2,Haw,a2w7_18,genetic control,
8,white,MSU,12.258,,9/16/18,10/2/18,9/22/18,2,Haw,a2w8_18,RT eclosion,F6
9,white,MSU,11.399,,9/16/18,10/2/18,9/22/18,2,Haw,a2w9_18,genetic control,
10,white,MSU,10.86,,9/16/18,10/2/18,9/22/18,2,Haw,a2w10_18,genetic control,
11,white,MSU,6.422,,9/16/18,10/2/18,9/22/18,2,Haw,a2w11_18,RT eclosion,H3
12,white,MSU,6.83,,9/16/18,10/2/18,9/22/18,2,Haw,a2w12_18,Simulated Overwintering,B2
13,white,MSU,8.418,,9/16/18,10/2/18,9/22/18,2,Haw,a2w13_18,Simulated Overwintering,C8
14,white,MSU,10.134,,9/16/18,10/2/18,9/22/18,2,Haw,a2w14_18,genetic control,
15,white,MSU,8.211,,9/16/18,10/2/18,9/22/18,2,Haw,a2w15_18,Simulated Overwintering,D4
16,white,MSU,5.34,,9/16/18,10/2/18,9/22/18,2,Haw,a2w16_18,RT eclosion,E8
17,white,MSU,6.477,,9/16/18,10/2/18,9/22/18,2,Haw,a2w17_18,RT eclosion,F11
18,white,MSU,8.077,,9/16/18,10/2/18,9/22/18,2,Haw,a2w18_18,Simulated Overwintering,A2
19,white,MSU,9.282,,9/16/18,10/2/18,9/22/18,2,Haw,a2w19_18,RT eclosion,A3
20,white,MSU,9.496,,9/16/18,10/2/18,9/22/18,2,Haw,a2w20_18,RT eclosion,A10
21,white,MSU,10.457,,9/16/18,10/2/18,9/22/18,2,Haw,a2w21_18,Simulated Overwintering,E4
22,white,MSU,8.475,,9/16/18,10/2/18,9/22/18,2,Haw,a2w22_18,Simulated Overwintering,B10
23,white,MSU,6.922,,9/16/18,10/2/18,9/22/18,2,Haw,a2w23_18,RT eclosion,D2
24,white,MSU,9.641,,9/16/18,10/2/18,9/22/18,2,Haw,a2w24_18,genetic control,
25,white,MSU,4.247,,9/16/18,10/2/18,9/22/18,2,Haw,a2w25_18,Simulated Overwintering,C6
26,white,MSU,6.314,,9/16/18,10/2/18,9/22/18,2,Haw,a2w26_18,Simulated Overwintering,A3
27,white,MSU,7.451,,9/16/18,10/2/18,9/22/18,2,Haw,a2w27_18,Simulated Overwintering,B11
