Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
1,white,MSU,6.764,9:44,9/16/18,10/5/18,9/25/18,5,Haw,h5w1_18,genetic control,
2,white,MSU,6.251,,9/16/18,10/5/18,9/25/18,5,Haw,h5w2_18,Simulated Overwintering,G7
3,white,MSU,6.755,,9/16/18,10/5/18,9/25/18,5,Haw,h5w3_18,genetic control,
4,white,MSU,9.104,,9/16/18,10/5/18,9/25/18,5,Haw,h5w4_18,RT eclosion,C6
5,white,MSU,10.004,,9/16/18,10/5/18,9/25/18,5,Haw,h5w5_18,genetic control,
6,white,MSU,7.225,,9/16/18,10/5/18,9/25/18,5,Haw,h5w6_18,Simulated Overwintering,B2
7,white,MSU,6.653,,9/16/18,10/5/18,9/25/18,5,Haw,h5w7_18,RT eclosion,D6
8,white,MSU,8.171,,9/16/18,10/5/18,9/25/18,5,Haw,h5w8_18,RT eclosion,E11
9,white,MSU,4.714,,9/16/18,10/5/18,9/25/18,5,Haw,h5w9_18,genetic control,
10,white,MSU,4.714,,9/16/18,10/5/18,9/25/18,5,Haw,h5w10_18,genetic control,
11,white,MSU,6.224,,9/16/18,10/5/18,9/25/18,5,Haw,h5w11_18,genetic control,
12,white,MSU,4.23,,9/16/18,10/5/18,9/25/18,5,Haw,h5w12_18,Simulated Overwintering,C8
13,white,MSU,8.382,,9/16/18,10/5/18,9/25/18,5,Haw,h5w13_18,genetic control,
14,white,MSU,3.602,,9/16/18,10/5/18,9/25/18,5,Haw,h5w14_18,RT eclosion,C9
15,white,MSU,5.315,,9/16/18,10/5/18,9/25/18,5,Haw,h5w15_18,RT eclosion,C3
16,white,MSU,8.684,,9/16/18,10/5/18,9/25/18,5,Haw,h5w16_18,genetic control,
17,white,MSU,5.069,,9/16/18,10/5/18,9/25/18,5,Haw,h5w17_18,RT eclosion,A6
18,white,MSU,7.835,,9/16/18,10/5/18,9/25/18,5,Haw,h5w18_18,Simulated Overwintering,G3
19,white,MSU,9.823,,9/16/18,10/5/18,9/25/18,5,Haw,h5w19_18,Simulated Overwintering,H9
20,white,MSU,6.131,,9/16/18,10/5/18,9/25/18,5,Haw,h5w20_18,genetic control,
21,white,MSU,10.152,,9/16/18,10/5/18,9/25/18,5,Haw,h5w21_18,RT eclosion,H11
22,white,MSU,8.003,,9/16/18,10/5/18,9/25/18,5,Haw,h5w22_18,genetic control,
23,white,MSU,6.697,,9/16/18,10/5/18,9/25/18,5,Haw,h5w23_18,RT eclosion,D9
24,white,MSU,6.822,,9/16/18,10/5/18,9/25/18,5,Haw,h5w24_18,RT eclosion,D10
25,white,MSU,9.786,,9/16/18,10/5/18,9/25/18,5,Haw,h5w25_18,RT eclosion,H5
26,white,MSU,7.518,,9/16/18,10/5/18,9/25/18,5,Haw,h5w26_18,genetic control,
27,white,MSU,10.137,,9/16/18,10/5/18,9/25/18,5,Haw,h5w27_18,RT eclosion,H9
28,white,MSU,7.855,,9/16/18,10/5/18,9/25/18,5,Haw,h5w28_18,Simulated Overwintering,A11
29,white,MSU,8.518,,9/16/18,10/5/18,9/25/18,5,Haw,h5w29_18,genetic control,
30,white,MSU,9.972,,9/16/18,10/5/18,9/25/18,5,Haw,h5w30_18,Simulated Overwintering,A9
