Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
4,white,MSU,6.747,,9/16/18,10/3/18,9/23/18,3,Haw,h3w4_18,RT eclosion,C7
5,white,MSU,9.362,,9/16/18,10/3/18,9/23/18,3,Haw,h3w5_18,Simulated Overwintering,B5
6,white,MSU,5.052,,9/16/18,10/3/18,9/23/18,3,Haw,h3w6_18,RT eclosion,H1
7,white,MSU,7.812,,9/16/18,10/3/18,9/23/18,3,Haw,h3w7_18,genetic control,
8,white,MSU,11.163,,9/16/18,10/3/18,9/23/18,3,Haw,h3w8_18,genetic control,
9,white,MSU,7.05,,9/16/18,10/3/18,9/23/18,3,Haw,h3w9_18,Simulated Overwintering,B2
10,white,MSU,6.819,,9/16/18,10/3/18,9/23/18,3,Haw,h3w10_18,Simulated Overwintering,C8
11,white,MSU,7.01,,9/16/18,10/3/18,9/23/18,3,Haw,h3w11_18,genetic control,
12,white,MSU,8.435,,9/16/18,10/3/18,9/23/18,3,Haw,h3w12_18,genetic control,
13,white,MSU,6.118,,9/16/18,10/3/18,9/23/18,3,Haw,h3w13_18,RT eclosion,C12
14,white,MSU,7.112,,9/16/18,10/3/18,9/23/18,3,Haw,h3w14_18,Simulated Overwintering,G11
15,white,MSU,7.312,,9/16/18,10/3/18,9/23/18,3,Haw,h3w15_18,RT eclosion,E5
16,white,MSU,7.031,,9/16/18,10/3/18,9/23/18,3,Haw,h3w16_18,RT eclosion,F1
17,white,MSU,6.664,,9/16/18,10/3/18,9/23/18,3,Haw,h3w17_18,RT eclosion,A4
18,white,MSU,10.979,,9/16/18,10/3/18,9/23/18,3,Haw,h3w18_18,RT eclosion,C10
19,white,MSU,12.342,,9/16/18,10/3/18,9/23/18,3,Haw,h3w19_18,Simulated Overwintering,E5
20,white,MSU,9.074,,9/16/18,10/3/18,9/23/18,3,Haw,h3w20_18,Simulated Overwintering,F5
21,white,MSU,8.879,,9/16/18,10/3/18,9/23/18,3,Haw,h3w21_18,RT eclosion,F10
22,white,MSU,11.736,,9/16/18,10/3/18,9/23/18,3,Haw,h3w22_18,genetic control,
23,white,MSU,6.098,,9/16/18,10/3/18,9/23/18,3,Haw,h3w23_18,Simulated Overwintering,F10
24,white,MSU,9.763,,9/16/18,10/3/18,9/23/18,3,Haw,h3w24_18,Simulated Overwintering,F1
25,white,MSU,12.084,,9/16/18,10/3/18,9/23/18,3,Haw,h3w25_18,Simulated Overwintering,D11
26,white,MSU,10.495,,9/16/18,10/3/18,9/23/18,3,Haw,h3w26_18,Simulated Overwintering,A11
27,white,MSU,10.481,,9/16/18,10/3/18,9/23/18,3,Haw,h3w27_18,Simulated Overwintering,G12
28,white,MSU,8.594,,9/16/18,10/3/18,9/23/18,3,Haw,h3w28_18,Simulated Overwintering,E7
