Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host
1,blue,Ferris,4.066,15:17,,2018-08-29,2018-09-18,2018-09-08,9,Apple
2,blue,OG,5.991,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
3,blue,OG,6.598,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
4,blue,OG,2.601,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
5,blue,Ferris,6.345,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
6,blue,OG,8.772,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
7,blue,OG,10.304,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
8,blue,OG,8.777,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
9,blue,OG,5.152,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
10,blue,Ferris,3.199,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
11,blue,OG,7.676,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
12,blue,OG,4.693,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
13,blue,OG,8.227,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
14,blue,Ferris,6.521,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
15,blue,OG,6.406,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
16,blue,OG,6.994,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
17,blue,Ferris,7.653,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
18,blue,OG,6.033,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
19,blue,OG,6.966,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
20,blue,OG,5.392,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
21,blue,OG,7.508,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
22,blue,OG,6.639,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
23,blue,OG,4.428,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
24,blue,OG,7.234,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
25,blue,OG,8.074,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
26,blue,OG,7.067,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
27,blue,OG,6.327,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
28,blue,OG,3.657,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
29,blue,OG,7.2,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
30,blue,OG,7.31,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
31,blue,OG,6.805,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
32,blue,OG,8.768,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
33,blue,OG,7.193,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
34,blue,OG,6.52,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
35,blue,OG,4.027,,,2018-08-16,2018-09-18,2018-09-08,24,Apple
36,blue,OG,6.393,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
37,blue,OG,9.223,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
38,blue,OG,6.425,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
39,blue,Ferris,5.092,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
40,blue,OG,6.17,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
41,blue,OG,4.91,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
42,blue,OG,4.814,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
43,blue,OG,9.534,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
44,blue,OG,4.748,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
45,blue,OG,2.997,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
46,blue,blank,,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
47,blue,blank,,15:27,,2018-08-29,2018-09-18,2018-09-08,9,Apple
1,white,OG,4.012,15:28,,2018-08-29,2018-09-18,2018-09-08,9,Apple
2,white,OG,9.786,,,2018-08-29,2018-09-18,2018-09-08,9,Apple
