,Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
53,6,red,MSU,6.722,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r6_18,Simulated Overwintering,G2
54,7,red,MSU,6.291,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r7_18,Simulated Overwintering,D11
55,8,red,MSU,7.417,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r8_18,Simulated Overwintering,F3
56,9,red,MSU,10.34,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r9_18,Simulated Overwintering,H8
57,10,red,MSU,8.702,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r10_18,Simulated Overwintering,F7
58,11,red,MSU,6.531,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r11_18,genetic control,
59,12,red,MSU,8.882,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r12_18,RT eclosion,G2
60,13,red,MSU,9.838,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r13_18,Simulated Overwintering,E6
61,14,red,MSU,11.355,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r14_18,genetic control,
62,15,red,MSU,9.494,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r15_18,Simulated Overwintering,D3
63,16,red,MSU,7.263,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r16_18,genetic control,
64,17,red,MSU,6.893,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r17_18,RT eclosion,E10
65,18,red,MSU,8.454,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r18_18,Simulated Overwintering,E5
66,19,red,MSU,9.769,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r19_18,Simulated Overwintering,B9
67,20,red,MSU,11.478,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r20_18,RT eclosion,C5
68,21,red,MSU,12.223,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r21_18,Simulated Overwintering,D6
69,22,red,MSU,6.617,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r22_18,RT eclosion,G8
70,23,red,MSU,8.605,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r23_18,RT eclosion,C1
71,24,red,MSU,6.958,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r24_18,Simulated Overwintering,B2
72,25,red,MSU,8.566,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r25_18,Simulated Overwintering,H7
73,26,red,MSU,5.981,,9/16/2018,10/4/2018,9/24/2018,4,Haw,a4r26_18,genetic control,
