Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,orange,OG,9.945,15:05,2018-08-29,2018-09-21,2018-09-11,12,Apple
2,orange,MSU,6.767,,2018-08-29,2018-09-21,2018-09-11,12,Apple
3,orange,MSU,6.288,,2018-08-29,2018-09-21,2018-09-11,12,Apple
4,orange,OG,6.026,,2018-08-29,2018-09-21,2018-09-11,12,Apple
5,orange,Ferris,4.288,,2018-08-29,2018-09-21,2018-09-11,12,Apple
6,orange,OG,10.43,,2018-08-29,2018-09-21,2018-09-11,12,Apple
7,orange,OG,5.851,,2018-08-29,2018-09-21,2018-09-11,12,Apple
8,orange,MSU,6.295,,2018-08-29,2018-09-21,2018-09-11,12,Apple
9,orange,OG,7.622,,2018-08-29,2018-09-21,2018-09-11,12,Apple
10,orange,MSU,8.712,,2018-08-29,2018-09-21,2018-09-11,12,Apple
11,orange,MSU,3.834,,2018-08-29,2018-09-21,2018-09-11,12,Apple
12,orange,MSU,7.471,,2018-08-29,2018-09-21,2018-09-11,12,Apple
13,orange,MSU,9.628,,2018-08-29,2018-09-21,2018-09-11,12,Apple
14,orange,OG,10.476,,2018-08-29,2018-09-21,2018-09-11,12,Apple
15,orange,OG,9.186,,2018-08-29,2018-09-21,2018-09-11,12,Apple
16,orange,OG,6.227,,2018-08-29,2018-09-21,2018-09-11,12,Apple
17,orange,Ferris,6.706,,2018-08-29,2018-09-21,2018-09-11,12,Apple
18,orange,MSU,9.009,,2018-08-29,2018-09-21,2018-09-11,12,Apple
19,orange,MSU,7.736,,2018-08-29,2018-09-21,2018-09-11,12,Apple
20,orange,OG,6.114,,2018-08-29,2018-09-21,2018-09-11,12,Apple
21,orange,OG,8.219,,2018-08-29,2018-09-21,2018-09-11,12,Apple
22,orange,OG,8.39,,2018-08-29,2018-09-21,2018-09-11,12,Apple
23,orange,MSU,6.559,,2018-08-29,2018-09-21,2018-09-11,12,Apple
24,orange,OG,6.939,,2018-08-29,2018-09-21,2018-09-11,12,Apple
25,orange,MSU,4.885,,2018-08-29,2018-09-21,2018-09-11,12,Apple
26,orange,OG,7.597,,2018-08-29,2018-09-21,2018-09-11,12,Apple
27,orange,OG,4.585,,2018-08-29,2018-09-21,2018-09-11,12,Apple
28,orange,MSU,7.591,,2018-08-29,2018-09-21,2018-09-11,12,Apple
29,orange,OG,8.382,,2018-08-29,2018-09-21,2018-09-11,12,Apple
30,orange,OG,6.734,,2018-08-29,2018-09-21,2018-09-11,12,Apple
31,orange,OG,6.301,,2018-08-29,2018-09-21,2018-09-11,12,Apple
32,orange,OG,4.106,,2018-08-29,2018-09-21,2018-09-11,12,Apple
33,orange,MSU,6.729,,2018-08-29,2018-09-21,2018-09-11,12,Apple
34,orange,OG,9.718,,2018-08-29,2018-09-21,2018-09-11,12,Apple
35,orange,OG,6.776,,2018-08-29,2018-09-21,2018-09-11,12,Apple
36,orange,OG,6.346,,2018-08-29,2018-09-21,2018-09-11,12,Apple
37,orange,MSU,7.014,,2018-08-29,2018-09-21,2018-09-11,12,Apple
38,orange,OG,6.009,,2018-08-29,2018-09-21,2018-09-11,12,Apple
39,orange,OG,6.536,,2018-08-29,2018-09-21,2018-09-11,12,Apple
40,orange,OG,4.827,,2018-08-29,2018-09-21,2018-09-11,12,Apple
41,orange,MSU,7.703,,2018-08-29,2018-09-21,2018-09-11,12,Apple
