Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host,uniqueID,rando_assign,wellID
5,white,OG,8.96,,8/29/18,9/18/18,9/8/18,9,Apple,a9w5_18,RT eclosion,H9
6,white,OG,9.885,,8/16/18,9/18/18,9/8/18,24,Apple,a24w6_18,genetic control,
7,white,OG,8.605,,8/29/18,9/18/18,9/8/18,9,Apple,a9w7_18,RT eclosion,A3
8,white,Ferris,4.582,,8/29/18,9/18/18,9/8/18,9,Apple,a9w8_18,Simulated Overwintering,B10
9,white,Ferris,8.575,,8/29/18,9/18/18,9/8/18,9,Apple,a9w9_18,RT eclosion,E4
10,white,OG,6.535,,8/29/18,9/18/18,9/8/18,9,Apple,a9w10_18,genetic control,
11,white,OG,7.577,,8/29/18,9/18/18,9/8/18,9,Apple,a9w11_18,genetic control,
12,white,OG,5.979,,8/29/18,9/18/18,9/8/18,9,Apple,a9w12_18,RT eclosion,E7
13,white,OG,7.555,,8/29/18,9/18/18,9/8/18,9,Apple,a9w13_18,genetic control,
14,white,OG,3.737,,8/29/18,9/18/18,9/8/18,9,Apple,a9w14_18,Simulated Overwintering,D10
15,white,OG,5.43,,8/29/18,9/18/18,9/8/18,9,Apple,a9w15_18,genetic control,
16,white,OG,7.821,,8/29/18,9/18/18,9/8/18,9,Apple,a9w16_18,Simulated Overwintering,C11
17,white,OG,8.699,,8/29/18,9/18/18,9/8/18,9,Apple,a9w17_18,Simulated Overwintering,H8
18,white,OG,4.478,,8/16/18,9/18/18,9/8/18,24,Apple,a24w18_18,RT eclosion,C8
19,white,OG,6.359,,8/29/18,9/18/18,9/8/18,9,Apple,a9w19_18,RT eclosion,C4
20,white,OG,10.448,,8/29/18,9/18/18,9/8/18,9,Apple,a9w20_18,genetic control,
21,white,OG,5.295,,8/29/18,9/18/18,9/8/18,9,Apple,a9w21_18,Simulated Overwintering,B4
22,white,OG,6.46,,8/29/18,9/18/18,9/8/18,9,Apple,a9w22_18,Simulated Overwintering,B11
23,white,OG,7.224,,8/29/18,9/18/18,9/8/18,9,Apple,a9w23_18,Simulated Overwintering,A6
24,white,Ferris,8.3,,8/29/18,9/18/18,9/8/18,9,Apple,a9w24_18,RT eclosion,H1
25,white,OG,5.115,,8/29/18,9/18/18,9/8/18,9,Apple,a9w25_18,RT eclosion,G3
26,white,OG,7.038,,8/29/18,9/18/18,9/8/18,9,Apple,a9w26_18,genetic control,
27,white,OG,8.188,,8/29/18,9/18/18,9/8/18,9,Apple,a9w27_18,RT eclosion,A12
28,white,Ferris,5.741,,8/29/18,9/18/18,9/8/18,9,Apple,a9w28_18,RT eclosion,B5
29,white,OG,4.89,,8/29/18,9/18/18,9/8/18,9,Apple,a9w29_18,genetic control,
30,white,OG,7.021,,8/16/18,9/18/18,9/8/18,24,Apple,a24w30_18,genetic control,
31,white,OG,4.74,,8/29/18,9/18/18,9/8/18,9,Apple,a9w31_18,RT eclosion,D12
32,white,OG,6.154,,8/29/18,9/18/18,9/8/18,9,Apple,a9w32_18,Simulated Overwintering,E1
33,white,OG,6.447,,8/29/18,9/18/18,9/8/18,9,Apple,a9w33_18,Simulated Overwintering,D8
34,white,OG,7.282,,8/29/18,9/18/18,9/8/18,9,Apple,a9w34_18,genetic control,
35,white,OG,8.028,,8/29/18,9/18/18,9/8/18,9,Apple,a9w35_18,Simulated Overwintering,C6
36,white,OG,7.797,,8/29/18,9/18/18,9/8/18,9,Apple,a9w36_18,Simulated Overwintering,D4
37,white,OG,5.962,,8/29/18,9/18/18,9/8/18,9,Apple,a9w37_18,RT eclosion,F11
38,white,OG,7.143,,8/16/18,9/18/18,9/8/18,24,Apple,a24w38_18,RT eclosion,D7
39,white,OG,6.211,,8/29/18,9/18/18,9/8/18,9,Apple,a9w39_18,RT eclosion,H7
40,white,OG,5.462,,8/29/18,9/18/18,9/8/18,9,Apple,a9w40_18,RT eclosion,E8
41,white,OG,7.185,,8/29/18,9/18/18,9/8/18,9,Apple,a9w41_18,Simulated Overwintering,E7
42,white,OG,8.414,,8/29/18,9/18/18,9/8/18,9,Apple,a9w42_18,genetic control,
43,white,OG,8.255,,8/29/18,9/18/18,9/8/18,9,Apple,a9w43_18,RT eclosion,D9
44,white,OG,9.675,,8/29/18,9/18/18,9/8/18,9,Apple,a9w44_18,RT eclosion,E6
45,white,OG,7.015,,8/29/18,9/18/18,9/8/18,9,Apple,a9w45_18,Simulated Overwintering,B6
46,white,blank,NA,,8/29/18,9/18/18,9/8/18,9,Apple,,,
47,white,blank,NA,15:36,8/29/18,9/18/18,9/8/18,9,Apple,,,
