Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,white,MSU,6.764,9:44,2018-09-16,2018-10-05,2018-09-25,5,Haw
2,white,MSU,6.251,,2018-09-16,2018-10-05,2018-09-25,5,Haw
3,white,MSU,6.755,,2018-09-16,2018-10-05,2018-09-25,5,Haw
4,white,MSU,9.104,,2018-09-16,2018-10-05,2018-09-25,5,Haw
5,white,MSU,10.004,,2018-09-16,2018-10-05,2018-09-25,5,Haw
6,white,MSU,7.225,,2018-09-16,2018-10-05,2018-09-25,5,Haw
7,white,MSU,6.653,,2018-09-16,2018-10-05,2018-09-25,5,Haw
8,white,MSU,8.171,,2018-09-16,2018-10-05,2018-09-25,5,Haw
9,white,MSU,4.714,,2018-09-16,2018-10-05,2018-09-25,5,Haw
10,white,MSU,4.714,,2018-09-16,2018-10-05,2018-09-25,5,Haw
11,white,MSU,6.224,,2018-09-16,2018-10-05,2018-09-25,5,Haw
12,white,MSU,4.23,,2018-09-16,2018-10-05,2018-09-25,5,Haw
13,white,MSU,8.382,,2018-09-16,2018-10-05,2018-09-25,5,Haw
14,white,MSU,3.602,,2018-09-16,2018-10-05,2018-09-25,5,Haw
15,white,MSU,5.315,,2018-09-16,2018-10-05,2018-09-25,5,Haw
16,white,MSU,8.684,,2018-09-16,2018-10-05,2018-09-25,5,Haw
17,white,MSU,5.069,,2018-09-16,2018-10-05,2018-09-25,5,Haw
18,white,MSU,7.835,,2018-09-16,2018-10-05,2018-09-25,5,Haw
19,white,MSU,9.823,,2018-09-16,2018-10-05,2018-09-25,5,Haw
20,white,MSU,6.131,,2018-09-16,2018-10-05,2018-09-25,5,Haw
21,white,MSU,10.152,,2018-09-16,2018-10-05,2018-09-25,5,Haw
22,white,MSU,8.003,,2018-09-16,2018-10-05,2018-09-25,5,Haw
23,white,MSU,6.697,,2018-09-16,2018-10-05,2018-09-25,5,Haw
24,white,MSU,6.822,,2018-09-16,2018-10-05,2018-09-25,5,Haw
25,white,MSU,9.786,,2018-09-16,2018-10-05,2018-09-25,5,Haw
26,white,MSU,7.518,,2018-09-16,2018-10-05,2018-09-25,5,Haw
27,white,MSU,10.137,,2018-09-16,2018-10-05,2018-09-25,5,Haw
28,white,MSU,7.855,,2018-09-16,2018-10-05,2018-09-25,5,Haw
