starttime_VCO2_6262_1,area_VCO2_6262_1,n,,,licor
14:29:06,0.278149,1,7,white,7000
14:30:24,0.1589825,2,8,white,7000
14:31:35,8.81E-02,3,9,white,7000
14:32:41,0.1198599,4,10,white,7000
14:33:40,1.12E-02,5,11,white,7000
14:34:27,1.04E-02,6,12,white,7000
14:29:06,-1.81E-03,1,,,6262
14:30:24,-9.96E-04,2,,,6262
14:31:35,3.56E-04,3,,,6262
14:32:41,1.96E-04,4,,,6262
14:33:40,1.21E-03,5,,,6262
14:34:27,1.07E-03,6,,,6262
