starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape,site
17:39:39,0.1648623,1,7000,1,red,Ferris
17:41:12,0.1182086,2,7000,2,red,Ferris
17:43:04,0.1454824,3,7000,3,red,Ferris
17:44:53,5.71E-02,4,7000,4,red,Ferris
17:46:23,0.1027022,5,7000,5,red,Ferris
17:48:07,0.1242238,6,7000,6,red,Ferris
17:50:02,0.5444533,7,7000,7,red,Ferris
17:51:40,0.1132908,8,7000,8,red,Ferris
17:53:39,0.1367334,9,7000,9,red,Ferris
17:55:19,0.7307307,10,7000,10,red,Ferris
17:57:55,0.8103968,11,7000,11,red,Ferris
18:00:22,1.75E-03,12,7000,,,
18:02:54,0.1115156,13,7000,12,red,Ferris
18:04:54,8.76E-02,14,7000,13,red,Ferris
18:06:24,0.1355785,15,7000,14,red,Ferris
18:08:14,0.1336354,16,7000,15,red,Ferris
18:09:45,0.110986,17,7000,16,red,Ferris
18:11:46,0.1753954,18,7000,17,red,Ferris
18:13:19,0.1160972,19,7000,18,red,Ferris
18:15:08,0.9384044,20,7000,19,red,Ferris
18:16:46,0.1196715,21,7000,20,red,Ferris
18:18:40,1.029984,22,7000,21,red,Ferris
18:20:25,2.73E-03,23,7000,,,
18:22:38,0.5454646,24,7000,22,red,Ferris
18:25:08,1.36E-02,25,7000,23,red,Blank
18:27:00,1.21E-02,26,7000,24,red,Blank
17:39:39,0.1730717,1,6262,1,orange,Ferris
17:41:12,2.389091,2,6262,2,orange,Ferris
17:43:04,0.2243357,3,6262,3,orange,Ferris
17:44:53,0.2553465,4,6262,4,orange,Ferris
17:46:23,0.1986244,5,6262,5,orange,Ferris
17:48:07,1.979346,6,6262,6,orange,Ferris
17:50:02,0.155113,7,6262,7,orange,Ferris
17:51:40,0.259176,8,6262,8,orange,Ferris
17:53:39,0.7918683,9,6262,9,orange,Ferris
17:55:19,0.3353144,10,6262,10,orange,Ferris
17:57:55,1.348256,11,6262,11,orange,Ferris
18:00:22,0.1522418,12,6262,,,
18:02:54,1.266232,13,6262,12,orange,Ferris
18:04:54,0.2067454,14,6262,13,orange,Ferris
18:06:24,1.318053,15,6262,14,orange,Ferris
18:08:14,0.2420943,16,6262,15,orange,Ferris
18:09:45,0.2740041,17,6262,16,orange,Ferris
18:11:46,0.2468402,18,6262,17,orange,Ferris
18:13:19,0.2293684,19,6262,18,orange,Ferris
18:15:08,5.97E-02,20,6262,19,orange,Ferris
18:16:46,1.386728,21,6262,20,orange,Ferris
18:18:40,0.2179359,22,6262,21,orange,Ferris
18:20:25,3.96E-03,23,6262,,,
18:22:38,1.765192,24,6262,22,orange,Ferris
18:25:08,2.73E-02,25,6262,23,orange,Blank
18:27:00,2.91E-02,26,6262,24,orange,Blank
