"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","X","X.1","rando_assign","uniqueID"
"54",54,"white","Milford",12.83,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"genetic control","5w54"
"55",55,"white","Ferris",6.887,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w55"
"56",56,"white","Grant",6.639,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w56"
"57",57,"white","Ferris",10.11,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w57"
"58",58,"white","Grant",5.725,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w58"
"59",59,"white","Milford",7.837,"","2017-08-07","2017-08-28",5,"Haw",NA,NA,"genetic control","5w59"
"60",60,"white","Ferris",10.736,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w60"
"61",61,"white","Grant",6.331,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w61"
"62",62,"white","",NA,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w62"
"63",63,"white","Ferris",9.29,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w63"
"64",64,"white","Ferris",6.727,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w64"
"65",65,"white","Grant",9.526,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w65"
"66",66,"white","Ferris",10.449,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w66"
"67",67,"white","Ferris",9.405,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5w67"
"68",68,"white","Grant",7.468,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w68"
"69",69,"white","Ferris",7.486,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w69"
"70",70,"white","",NA,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w70"
"71",71,"white","Ferris",8.518,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5w71"
"72",72,"white","Grant",7.257,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w72"
"73",73,"white","Ferris",9.786,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5w73"
