Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID,wellID
50,red,Ferris,12.337,9:51,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r50,D10
51,red,Ferris,9.22,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r51,
52,red,Ferris,8.228,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r52,D7
53,red,Ferris,8.862,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r53,
54,red,Ferris,4.366,,10/8/17,9/28/17,7,Haw,7000,RT eclosion,h7r54,H9
55,red,Ferris,5.735,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r55,B2
56,red,Ferris,9.266,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r56,
57,red,Ferris,7.85,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r57,
58,red,Ferris,16.09,,10/8/17,9/28/17,7,Haw,7000,RT eclosion,h7r58,B7
59,red,Ferris,11.249,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r59,D11
60,red,Ferris,11.035,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r60,G10
61,red,Ferris,11.191,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r61,B3
62,red,Ferris,10.058,,10/8/17,9/28/17,7,Haw,7000,Simulated Overwintering,h7r62,H6
63,red,Ferris,6.409,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r63,
64,red,Ferris,10.208,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r64,
65,red,Ferris,11.832,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r65,
66,red,Ferris,10.712,,10/8/17,9/28/17,7,Haw,7000,genetic control,h7r66,
50,orange,Ferris,7.641,9:46,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o50,
51,orange,Ferris,8.64,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o51,A11
52,orange,Ferris,10.795,,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o52,
53,orange,Ferris,12.144,,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o53,
54,orange,Ferris,10.4,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o54,B11
55,orange,Ferris,9.113,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o55,F2
56,orange,Ferris,7.627,,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o56,
57,orange,Ferris,8.497,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o57,G8
58,orange,Ferris,5.32,,10/8/17,9/28/17,7,Haw,6262,Simulated Overwintering,h7o58,C10
59,orange,Ferris,8.143,,10/8/17,9/28/17,7,Haw,6262,Simulated Overwintering,h7o59,E2
60,orange,Ferris,12.58,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o60,H1
61,orange,Ferris,4.849,,10/8/17,9/28/17,7,Haw,6262,RT eclosion,h7o61,C10
62,orange,Ferris,8.752,,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o62,
63,orange,Ferris,8.54,,10/8/17,9/28/17,7,Haw,6262,Simulated Overwintering,h7o63,G7
64,orange,Ferris,12.755,,10/8/17,9/28/17,7,Haw,6262,genetic control,h7o64,
65,orange,Ferris,10.115,,10/8/17,9/28/17,7,Haw,6262,Simulated Overwintering,h7o65,F1
