"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","rando_assign","uniqueID"
"1",1,"white","Ferris",8.783,"17:04","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w1"
"2",2,"white","Grant",8.631,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w2"
"3",3,"white","Grant",4.26,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w3"
"4",4,"white","Milford",11.242,"","2017-09-14","2017-09-04",12,"Haw","RT eclosion","12w4"
"5",5,"white","Grant",7.141,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w5"
"6",6,"white","Ferris",7.315,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w6"
"7",7,"white","Grant",7.588,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w7"
"8",8,"white","Milford",8.59,"","2017-09-14","2017-09-04",12,"Haw","Simulated Overwintering","12w8"
"9",9,"white","Grant",5.936,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w9"
"10",10,"white","Grant",9.389,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w10"
"11",11,"white","Ferris",5.841,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w11"
"12",12,"white","Grant",8.69,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w12"
"13",13,"white","MSU",7.368,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w13"
"14",14,"white","Grant",7.631,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w14"
"15",15,"white","Ferris",10.224,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w15"
"16",16,"white","Grant",9.863,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w16"
"17",17,"white","Ferris",9.693,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w17"
"18",18,"white","Grant",5.628,"","2017-09-14","2017-09-04",12,"Apple","RT eclosion","12w18"
"19",19,"white","Grant",4.992,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w19"
"20",20,"white","MSU",8.811,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w20"
"21",21,"white","Grant",3.612,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w21"
"22",22,"white","Grant",5.685,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w22"
"23",23,"white","Grant",6.505,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w23"
"24",24,"white","Ferris",10.222,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w24"
"25",25,"white","Grant",5.966,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w25"
"26",26,"white","Grant",9.691,"","2017-09-14","2017-09-04",12,"Apple","Simulated Overwintering","12w26"
"27",27,"white","Ferris",11.557,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w27"
"28",28,"white","Milford",8.866,"","2017-09-14","2017-09-04",12,"Haw","Simulated Overwintering","12w28"
"29",29,"white","Grant",10.679,"","2017-09-14","2017-09-04",12,"Apple","genetic control","12w29"
