Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host
1,red,Milford,8.097,13:22,2017-09-15,2017-09-05,13,Haw
2,red,Grant,8.738,,2017-09-15,2017-09-05,13,Apple
3,red,Grant,7.423,,2017-09-15,2017-09-05,13,Apple
4,red,Grant,7.931,,2017-09-15,2017-09-05,13,Apple
5,red,Ferris,10.284,,2017-09-15,2017-09-05,13,Apple
6,red,Grant,6.301,,2017-09-15,2017-09-05,13,Apple
7,red,Ferris,7.863,,2017-09-15,2017-09-05,13,Apple
8,red,Grant,5.948,,2017-09-15,2017-09-05,13,Apple
9,red,Grant,9.734,,2017-09-15,2017-09-05,13,Apple
10,red,MSU,8.788,,2017-09-15,2017-09-05,13,Apple
11,red,Grant,3.743,,2017-09-15,2017-09-05,13,Apple
12,red,Grant,6.312,,2017-09-15,2017-09-05,13,Apple
13,red,Grant,5.174,,2017-09-15,2017-09-05,13,Apple
14,red,Grant,6.788,,2017-09-15,2017-09-05,13,Apple
15,red,Grant,5.388,,2017-09-15,2017-09-05,13,Apple
16,red,Ferris,5.201,,2017-09-15,2017-09-05,13,Apple
17,red,Ferris,8.878,,2017-09-15,2017-09-05,13,Apple
18,red,Grant,5.885,,2017-09-15,2017-09-05,13,Apple
19,red,Grant,8.234,,2017-09-15,2017-09-05,13,Apple
20,red,Ferris,7.22,,2017-09-15,2017-09-05,13,Apple
21,red,Ferris,6.96,,2017-09-15,2017-09-05,13,Apple
22,red,Grant,9.116,,2017-09-15,2017-09-05,13,Apple
23,red,Grant,4.339,,2017-09-15,2017-09-05,13,Apple
24,red,Grant,9.176,,2017-09-15,2017-09-05,13,Apple
25,red,Milford,11.519,,2017-09-15,2017-09-05,13,Haw
26,red,Milford,11.27,14:42,2017-09-15,2017-09-05,13,Haw
27,red,,,,2017-09-15,2017-09-05,13,Apple
28,red,Ferris,10.071,,2017-09-15,2017-09-05,13,Apple
29,red,,,,2017-09-15,2017-09-05,13,Apple
30,red,Milford,12.321,,2017-09-15,2017-09-05,13,Haw
31,red,Grant,9.895,,2017-09-15,2017-09-05,13,Apple
32,red,Ferris,6.168,,2017-09-15,2017-09-05,13,Apple
33,red,Grant,8.36,,2017-09-15,2017-09-05,13,Apple
34,red,Ferris,7.05,,2017-09-15,2017-09-05,13,Apple
35,red,Grant,10.354,,2017-09-15,2017-09-05,13,Apple
36,red,Grant,6.168,,2017-09-15,2017-09-05,13,Apple
37,red,Grant,5.759,,2017-09-15,2017-09-05,13,Apple
38,red,Milford,11.825,,2017-09-15,2017-09-05,13,Haw
39,red,Grant,9.559,,2017-09-15,2017-09-05,13,Apple
40,red,Grant,9.352,,2017-09-15,2017-09-05,13,Apple
41,red,Grant,9.182,,2017-09-15,2017-09-05,13,Apple
42,red,Grant,8.918,,2017-09-15,2017-09-05,13,Apple
43,red,Grant,6.174,,2017-09-15,2017-09-05,13,Apple
44,red,Ferris,6.098,,2017-09-15,2017-09-05,13,Apple
45,red,Grant,5.665,,2017-09-15,2017-09-05,13,Apple
46,red,Ferris,6.67,,2017-09-15,2017-09-05,13,Apple
47,red,Grant,9.653,,2017-09-15,2017-09-05,13,Apple
48,red,Grant,10.33,,2017-09-15,2017-09-05,13,Apple
49,red,Ferris,8.466,,2017-09-15,2017-09-05,13,Apple
50,red,MSU,7.152,,2017-09-15,2017-09-05,13,Apple
51,red,MSU,9.475,,2017-09-15,2017-09-05,13,Apple
52,red,Grant,6.223,,2017-09-15,2017-09-05,13,Apple
53,red,Ferris,5.641,,2017-09-15,2017-09-05,13,Apple
54,red,Grant,6.602,,2017-09-15,2017-09-05,13,Apple
55,red,Grant,3.494,,2017-09-15,2017-09-05,13,Apple
56,red,Grant,4.961,,2017-09-15,2017-09-05,13,Apple
57,red,MSU,6.736,,2017-09-15,2017-09-05,13,Apple
58,red,Grant,5.193,,2017-09-15,2017-09-05,13,Apple
59,red,Grant,4.537,,2017-09-15,2017-09-05,13,Apple
60,red,Ferris,8.23,,2017-09-15,2017-09-05,13,Apple
61,red,Grant,4.522,,2017-09-15,2017-09-05,13,Apple
62,red,Grant,6.029,,2017-09-15,2017-09-05,13,Apple
63,red,Grant,10.142,,2017-09-15,2017-09-05,13,Apple
64,red,Ferris,9.758,,2017-09-15,2017-09-05,13,Apple
65,red,Grant,5.369,,2017-09-15,2017-09-05,13,Apple
66,red,Grant,6.256,,2017-09-15,2017-09-05,13,Apple
67,red,Milford,7.26,,2017-09-15,2017-09-05,13,Haw
68,red,Grant,5.008,,2017-09-15,2017-09-05,13,Apple
69,red,Grant,9.712,,2017-09-15,2017-09-05,13,Apple
70,red,Blank,,,2017-09-15,2017-09-05,13,Apple
71,red,Grant,6.265,,2017-09-15,2017-09-05,13,Apple
72,red,Ferris,9.496,,2017-09-15,2017-09-05,13,Apple
73,red,Blank,,,2017-09-15,2017-09-05,13,Apple
74,red,Grant,6.747,,2017-09-15,2017-09-05,13,Apple
75,red,Grant,8.029,,2017-09-15,2017-09-05,13,Apple
76,red,Grant,4.576,,2017-09-15,2017-09-05,13,Apple
77,red,Ferris,7.024,14:53,2017-09-15,2017-09-05,13,Apple
1,orange,Ferris,5.399,,2017-09-15,2017-09-05,13,Apple
2,orange,Grant,9.049,,2017-09-15,2017-09-05,13,Apple
3,orange,Grant,8.705,,2017-09-15,2017-09-05,13,Apple
4,orange,Ferris,6.99,,2017-09-15,2017-09-05,13,Apple
5,orange,Grant,10.695,,2017-09-15,2017-09-05,13,Apple
6,orange,Grant,7.494,,2017-09-15,2017-09-05,13,Apple
7,orange,Ferris,5.387,,2017-09-15,2017-09-05,13,Apple
8,orange,Grant,6.47,,2017-09-15,2017-09-05,13,Apple
9,orange,MSU,6.851,,2017-09-15,2017-09-05,13,Apple
10,orange,Grant,8.747,,2017-09-15,2017-09-05,13,Apple
11,orange,Grant,6.49,,2017-09-15,2017-09-05,13,Apple
12,orange,Ferris,5.145,,2017-09-15,2017-09-05,13,Apple
