Ind_ID,tape,Site_name,mass_day10,purge_time,day10,cohort_date,cohort_day,Host,Li-cor,
21,white,Grant,6.143,17:08,2017-09-05,2017-08-26,3,Apple,6262,
22,white,Grant,9.851,17:08,2017-09-05,2017-08-26,3,Apple,6262,
23,white,Grant,9.798,17:07,2017-09-05,2017-08-26,3,Apple,6262,
24,white,Grant,6.813,17:07,2017-09-05,2017-08-26,3,Apple,6262,
25,white,Grant,5.002,17:06,2017-09-05,2017-08-26,3,Apple,6262,
26,white,Grant,6.16,17:05,2017-09-05,2017-08-26,3,Apple,6262,
27,white,Grant,7.119,17:05,2017-09-05,2017-08-26,3,Apple,6262,
28,white,Grant,5.515,17:04,2017-09-05,2017-08-26,3,Apple,6262,
29,white,Grant,10.139,17:04,2017-09-05,2017-08-26,3,Apple,6262,
30,white,Grant,6.91,17:04,2017-09-05,2017-08-26,3,Apple,6262,
31,white,Grant,8.536,17:04,2017-09-05,2017-08-26,3,Apple,6262,
32,white,Grant,5.865,17:03,2017-09-05,2017-08-26,3,Apple,6262,
33,white,Grant,10.011,17:03,2017-09-05,2017-08-26,3,Apple,6262,
34,white,Grant,7.234,17:02,2017-09-05,2017-08-26,3,Apple,6262,
35,white,Grant,6.539,17:02,2017-09-05,2017-08-26,3,Apple,6262,
36,white,Grant,8.402,17:01,2017-09-05,2017-08-26,3,Apple,6262,
37,white,Grant,5.7,17:01,2017-09-05,2017-08-26,3,Apple,6262,
38,white,Grant,8.529,17:01,2017-09-05,2017-08-26,3,Apple,6262,
39,white,Ferris,7.116,17:00,2017-09-05,2017-08-26,3,Apple,6262,
40,white,Ferris,6.519,17:00,2017-09-05,2017-08-26,3,Apple,6262,
41,white,Ferris,7.863,16:59,2017-09-05,2017-08-26,3,Apple,6262,
42,white,Ferris,6.747,16:59,2017-09-05,2017-08-26,3,Apple,6262,
43,white,Ferris,10.262,16:58,2017-09-05,2017-08-26,3,Apple,6262,
44,white,Ferris,6.406,16:58,2017-09-05,2017-08-26,3,Apple,6262,
45,white,Ferris,6.018,16:58,2017-09-05,2017-08-26,3,Apple,6262,
46,white,Ferris,6.815,16:57,2017-09-05,2017-08-26,3,Apple,6262,
47,white,Ferris,10.985,16:56,2017-09-05,2017-08-26,3,Apple,6262,
48,white,Ferris,8.437,16:55,2017-09-05,2017-08-26,3,Apple,6262,
49,white,Ferris,6.803,16:55,2017-09-05,2017-08-26,3,Apple,6262,
50,white,Ferris,8.009,16:55,2017-09-05,2017-08-26,3,Apple,6262,
51,white,Ferris,5.977,16:49,2017-09-05,2017-08-26,3,Apple,6262,
52,white,Ferris,7.8,16:48,2017-09-05,2017-08-26,3,Apple,6262,
53,white,Ferris,10.017,16:48,2017-09-05,2017-08-26,3,Apple,6262,
54,white,Ferris,8.886,16:47,2017-09-05,2017-08-26,3,Apple,6262,
55,white,Ferris,8.403,16:47,2017-09-05,2017-08-26,3,Apple,6262,
56,white,Ferris,6.346,16:47,2017-09-05,2017-08-26,3,Apple,6262,
57,white,Ferris,9.711,16:46,2017-09-05,2017-08-26,3,Apple,6262,
