Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,blue,Grant,6.759,11:26,9/20/17,9/10/17,18,Apple,RT eclosion,18b1,G11
2,blue,Grant,8.755,,9/20/17,9/10/17,18,Apple,RT eclosion,18b2,A1
3,blue,Grant,9.761,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b3,D5
4,blue,Grant,6.293,,9/20/17,9/10/17,18,Apple,RT eclosion,18b4,F2
5,blue,Grant,6.352,,9/20/17,9/10/17,18,Apple,RT eclosion,18b5,F5
6,blue,Grant,4.26,,9/20/17,9/10/17,18,Apple,genetic control,18b6,
7,blue,Grant,8.733,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b7,C7
8,blue,Grant,5.364,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b8,C3
9,blue,Grant,10.047,,9/20/17,9/10/17,18,Apple,genetic control,18b9,
10,blue,Grant,5.873,,9/20/17,9/10/17,18,Apple,RT eclosion,18b10,H1
11,blue,Grant,7.65,,9/20/17,9/10/17,18,Apple,genetic control,18b11,
12,blue,Grant,11.132,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b12,G9
13,blue,Grant,4.132,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b13,H12
14,blue,Grant,6.312,,9/20/17,9/10/17,18,Apple,RT eclosion,18b14,G5
15,blue,Grant,5.446,,9/20/17,9/10/17,18,Apple,genetic control,18b15,
16,blue,Grant,4.913,,9/20/17,9/10/17,18,Apple,RT eclosion,18b16,D11
17,blue,Grant,6.105,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b17,F1
18,blue,Grant,3.354,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b18,D7
19,blue,Grant,7.519,,9/20/17,9/10/17,18,Apple,RT eclosion,18b19,F9
20,blue,Grant,2.956,,9/20/17,9/10/17,18,Apple,RT eclosion,18b20,F4
21,blue,Grant,1.392,,9/20/17,9/10/17,18,Apple,RT eclosion,18b21,E7
22,blue,Grant,6.271,,9/20/17,9/10/17,18,Apple,genetic control,18b22,
23,blue,Grant,4.989,,9/20/17,9/10/17,18,Apple,RT eclosion,18b23,E2
24,blue,Grant,7.103,,9/20/17,9/10/17,18,Apple,genetic control,18b24,
25,blue,Grant,8.55,,9/20/17,9/10/17,18,Apple,genetic control,18b25,
26,blue,Grant,5.912,,9/20/17,9/10/17,18,Apple,RT eclosion,18b26,C5
27,blue,Grant,7.093,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b27,G2
28,blue,Grant,10.865,,9/20/17,9/10/17,18,Apple,RT eclosion,18b28,E11
29,blue,Grant,4.331,,9/20/17,9/10/17,18,Apple,RT eclosion,18b29,E9
30,blue,Milford,4.007,,9/20/17,9/10/17,18,haw,genetic control,18b30,
31,blue,Grant,9.673,,9/20/17,9/10/17,18,Apple,RT eclosion,18b31,B5
32,blue,blank,NA,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18b32,F11
33,blue,blank,NA,11:45,9/20/17,9/10/17,18,Apple,RT eclosion,18b33,H11
1,white,Grant,6.86,11:08,9/20/17,9/10/17,18,Apple,RT eclosion,18w1,D9
2,white,Grant,10.184,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w2,B7
3,white,Grant,2.874,,9/20/17,9/10/17,18,Apple,genetic control,18w3,
4,white,Grant,6.875,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w4,D2
5,white,Grant,11.154,,9/20/17,9/10/17,18,Apple,genetic control,18w5,
6,white,Grant,8.607,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w6,G11
7,white,Grant,9.677,,9/20/17,9/10/17,18,Apple,RT eclosion,18w7,G11
8,white,Grant,6.127,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w8,H12
9,white,Grant,4.291,,9/20/17,9/10/17,18,Apple,RT eclosion,18w9,A10
10,white,Grant,6.929,,9/20/17,9/10/17,18,Apple,genetic control,18w10,
11,white,Grant,10.213,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w11,G11
12,white,Grant,1.634,,9/20/17,9/10/17,18,Apple,RT eclosion,18w12,F6
13,white,Grant,8.559,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w13,A11
14,white,Grant,4,,9/20/17,9/10/17,18,Apple,RT eclosion,18w14,D11
15,white,Grant,4.11,,9/20/17,9/10/17,18,Apple,genetic control,18w15,
16,white,Grant,7.536,,9/20/17,9/10/17,18,Apple,RT eclosion,18w16,F9
17,white,Grant,5.98,,9/20/17,9/10/17,18,Apple,RT eclosion,18w17,E2
18,white,Grant,7.686,,9/20/17,9/10/17,18,Apple,RT eclosion,18w18,B10
19,white,Grant,9.655,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w19,F8
20,white,Grant,4.956,,9/20/17,9/10/17,18,Apple,RT eclosion,18w20,F7
21,white,Grant,7.097,,9/20/17,9/10/17,18,Apple,genetic control,18w21,
22,white,Grant,5.522,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w22,D10
23,white,Grant,4.466,,9/20/17,9/10/17,18,Apple,genetic control,18w23,
24,white,Grant,6.28,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w24,A12
25,white,Grant,4.193,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w25,E4
26,white,Grant,10.557,,9/20/17,9/10/17,18,Apple,genetic control,18w26,
27,white,Grant,5.145,,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w27,H8
28,white,Grant,6.708,,9/20/17,9/10/17,18,Apple,genetic control,18w28,
29,white,Grant,7.117,,9/20/17,9/10/17,18,Apple,genetic control,18w29,
30,white,Grant,4.965,,9/20/17,9/10/17,18,Apple,genetic control,18w30,
31,white,Grant,6.622,,9/20/17,9/10/17,18,Apple,RT eclosion,18w31,B7
32,white,blank,6.419,,9/20/17,9/10/17,18,Apple,genetic control,18w32,
33,white,blank,NA,,9/20/17,9/10/17,18,Apple,genetic control,18w33,
34,white,Grant,4.758,11:25,9/20/17,9/10/17,18,Apple,Simulated Overwintering,18w34,C6
