Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID,wellID
1,white,Ferris,11.94,8:57,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w1,
2,white,Ferris,8.893,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w2,F11
3,white,Ferris,11.197,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w3,G2
4,white,Ferris,11.859,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w4,
5,white,Ferris,10.181,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w5,
6,white,Ferris,10.654,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w6,C3
7,white,Ferris,8.127,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w7,
8,white,Ferris,8.077,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w8,
9,white,Ferris,6.624,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w9,H1
10,white,Ferris,11.536,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w10,D1
11,white,Ferris,8.382,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w11,
12,white,Ferris,4.192,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w12,E11
13,white,Ferris,7.754,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w13,F7
14,white,Ferris,7.992,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w14,H12
15,white,Ferris,7.155,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w15,
16,white,Ferris,8.01,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w16,G2
17,white,Ferris,10.971,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w17,F8
18,white,Ferris,11.929,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w18,D3
19,white,Ferris,5.291,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w19,A10
20,white,Ferris,8.699,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w20,G8
21,white,Ferris,4.174,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w21,E5
22,white,Ferris,6.159,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w22,G5
23,white,Ferris,5.961,,10/7/17,9/27/17,6,Haw,6262,genetic control,h6w23,
24,white,Ferris,3.04,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w24,E9
25,white,Ferris,10.083,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w25,G4
26,white,Ferris,8.011,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w26,A7
27,white,Ferris,9.974,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w27,G1
28,white,Ferris,8.362,,10/7/17,9/27/17,6,Haw,6262,RT eclosion,h6w28,B12
29,white,Ferris,6.743,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w29,G12
30,white,Ferris,6.334,,10/7/17,9/27/17,6,Haw,6262,Simulated Overwintering,h6w30,H11
1,blue,Ferris,10.603,8:49,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b1,B2
2,blue,Ferris,6.516,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b2,F6
3,blue,Ferris,7.684,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b3,
4,blue,Ferris,7.522,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b4,D1
5,blue,Ferris,7.365,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b5,F10
6,blue,Ferris,10.224,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b6,H2
7,blue,Ferris,7.418,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b7,H8
8,blue,Ferris,4.067,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b8,H11
9,blue,Ferris,3.866,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b9,C10
10,blue,Ferris,6.879,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b10,
11,blue,Ferris,8.096,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b11,C4
12,blue,Ferris,10.236,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b12,
13,blue,Ferris,9.481,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b13,C4
14,blue,Ferris,10.134,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b14,
15,blue,Ferris,7.689,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b15,G10
16,blue,Ferris,11.674,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b16,
17,blue,Ferris,8.912,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b17,B1
18,blue,Ferris,11.402,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b18,
19,blue,Ferris,7.107,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b19,
20,blue,Ferris,10.962,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b20,G9
21,blue,Ferris,8.745,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b21,C10
22,blue,Ferris,7.022,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b22,F5
23,blue,Ferris,5.154,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b23,F6
24,blue,Ferris,7.553,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b24,D8
25,blue,Ferris,11.222,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b25,F2
26,blue,Ferris,11.782,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b26,E2
27,blue,Ferris,8.521,,10/7/17,9/27/17,6,Haw,7000,Simulated Overwintering,h6b27,B9
28,blue,Ferris,10.927,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b28,
29,blue,Ferris,12.37,,10/7/17,9/27/17,6,Haw,7000,genetic control,h6b29,
30,blue,Ferris,5.229,,10/7/17,9/27/17,6,Haw,7000,RT eclosion,h6b30,C3
