Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,rando_assign,uniqueID,wellID
1,orange,Grant,4.547,10:47,9/21/17,9/11/17,19,Apple,RT eclosion,19o1,C12
2,orange,Grant,11.017,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o2,F5
3,orange,Grant,9.777,,9/21/17,9/11/17,19,Apple,RT eclosion,19o3,G3
4,orange,Grant,7.241,,9/21/17,9/11/17,19,Apple,genetic control,19o4,
5,orange,Grant,5.452,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o5,A7
6,orange,Grant,4.877,,9/21/17,9/11/17,19,Apple,RT eclosion,19o6,E5
7,orange,Grant,4.953,,9/21/17,9/11/17,19,Apple,RT eclosion,19o7,B8
8,orange,Grant,6.358,,9/21/17,9/11/17,19,Apple,RT eclosion,19o8,B10
9,orange,Grant,5.888,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o9,G10
10,orange,Grant,8.081,,9/21/17,9/11/17,19,Apple,genetic control,19o10,
11,orange,Grant,6.636,,9/21/17,9/11/17,19,Apple,genetic control,19o11,
12,orange,Grant,6.805,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o12,E12
13,orange,Grant,8.006,,9/21/17,9/11/17,19,Apple,genetic control,19o13,
14,orange,Grant,9.524,,9/21/17,9/11/17,19,Apple,genetic control,19o14,
15,orange,milford,8.486,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o15,H12
16,orange,Grant,3.315,,9/21/17,9/11/17,19,haw,RT eclosion,19o16,A6
17,orange,Grant,6.477,,9/21/17,9/11/17,19,Apple,RT eclosion,19o17,E12
18,orange,Grant,10.535,,9/21/17,9/11/17,19,Apple,RT eclosion,19o18,B3
19,orange,Grant,5.968,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o19,D7
20,orange,Grant,9.332,,9/21/17,9/11/17,19,Apple,genetic control,19o20,
21,orange,Grant,4.768,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o21,A7
22,orange,Grant,6.089,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o22,F9
23,orange,Grant,11.937,,9/21/17,9/11/17,19,Apple,genetic control,19o23,
24,orange,Grant,8.091,,9/21/17,9/11/17,19,Apple,genetic control,19o24,
25,orange,Grant,9.706,,9/21/17,9/11/17,19,Apple,genetic control,19o25,
26,orange,Grant,7.202,,9/21/17,9/11/17,19,Apple,RT eclosion,19o26,B2
27,orange,Grant,6.121,,9/21/17,9/11/17,19,Apple,genetic control,19o27,
28,orange,Grant,8.021,,9/21/17,9/11/17,19,Apple,RT eclosion,19o28,G1
29,orange,Grant,8.658,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o29,E12
30,orange,Grant,6.604,,9/21/17,9/11/17,19,Apple,RT eclosion,19o30,G3
31,orange,Grant,4.807,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o31,D3
32,orange,Grant,7.955,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19o32,E3
33,orange,blank,NA,,9/21/17,9/11/17,19,Apple,genetic control,19o33,
34,orange,blank,NA,11:04,9/21/17,9/11/17,19,Apple,RT eclosion,19o34,A2
1,red,Grant,5.115,11:04,9/21/17,9/11/17,19,Apple,RT eclosion,19r1,B11
2,red,Grant,7.662,,9/21/17,9/11/17,19,Apple,RT eclosion,19r2,A11
3,red,Grant,7.998,,9/21/17,9/11/17,19,Apple,genetic control,19r3,
4,red,Grant,4.043,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r4,G4
5,red,Grant,6.205,,9/21/17,9/11/17,19,Apple,RT eclosion,19r5,B6
6,red,Grant,12.283,,9/21/17,9/11/17,19,Apple,RT eclosion,19r6,B11
7,red,Grant,6.521,,9/21/17,9/11/17,19,Apple,RT eclosion,19r7,D4
8,red,Grant,9.84,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r8,D7
9,red,Grant,8.35,,9/21/17,9/11/17,19,Apple,RT eclosion,19r9,D3
10,red,Grant,8.551,,9/21/17,9/11/17,19,Apple,genetic control,19r10,
11,red,Grant,6.032,,9/21/17,9/11/17,19,Apple,RT eclosion,19r11,D1
12,red,Grant,6.193,,9/21/17,9/11/17,19,Apple,genetic control,19r12,
13,red,Grant,2.732,,9/21/17,9/11/17,19,Apple,genetic control,19r13,
14,red,Grant,12.737,,9/21/17,9/11/17,19,Apple,genetic control,19r14,
15,red,Grant,4.355,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r15,F9
16,red,Grant,7.539,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r16,H8
17,red,Grant,5.837,,9/21/17,9/11/17,19,Apple,genetic control,19r17,
18,red,Grant,5.602,,9/21/17,9/11/17,19,Apple,RT eclosion,19r18,B2
19,red,Grant,6.219,,9/21/17,9/11/17,19,Apple,RT eclosion,19r19,G1
20,red,Grant,7.285,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r20,D10
21,red,Grant,7.592,,9/21/17,9/11/17,19,Apple,genetic control,19r21,
22,red,Grant,4.126,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r22,C2
23,red,Grant,11.145,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r23,F2
24,red,Grant,6.676,,9/21/17,9/11/17,19,Apple,genetic control,19r24,
25,red,Grant,9.283,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r25,A6
26,red,Grant,4.069,,9/21/17,9/11/17,19,Apple,genetic control,19r26,
27,red,Grant,5.743,,9/21/17,9/11/17,19,Apple,RT eclosion,19r27,C10
28,red,Grant,2.54,,9/21/17,9/11/17,19,Apple,genetic control,19r28,
29,red,Grant,6.989,,9/21/17,9/11/17,19,Apple,RT eclosion,19r29,H4
30,red,Grant,4.154,,9/21/17,9/11/17,19,Apple,Simulated Overwintering,19r30,E4
31,red,Grant,5.942,,9/21/17,9/11/17,19,Apple,genetic control,19r31,
32,red,Grant,6.602,,9/21/17,9/11/17,19,Apple,genetic control,19r32,
