Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1
15,orange,Ferris,5.465,,2017-09-13,2017-09-03,11,Apple,6262
16,orange,Grant,10.275,,2017-09-13,2017-09-03,11,Apple,6262
17,orange,Ferris,3.825,,2017-09-13,2017-09-03,11,Apple,6262
18,orange,Ferris,6.4,,2017-09-13,2017-09-03,11,Apple,6262
19,orange,Grant,7.801,,2017-09-13,2017-09-03,11,Apple,6262
20,orange,Milford,5.759,,2017-09-13,2017-09-03,11,Haw,6262
21,orange,Ferris,7.82,,2017-09-13,2017-09-03,11,Apple,6262
22,orange,Grant,4.399,,2017-09-13,2017-09-03,11,Apple,6262
23,orange,Ferris,6.677,,2017-09-13,2017-09-03,11,Apple,6262
24,orange,Ferris,5.067,,2017-09-13,2017-09-03,11,Apple,6262
25,orange,Ferris,6.087,,2017-09-13,2017-09-03,11,Apple,6262
26,orange,Ferris,6.949,,2017-09-13,2017-09-03,11,Apple,6262
27,orange,Milford,10.807,,2017-09-13,2017-09-03,11,Haw,6262
28,orange,Ferris,10.291,,2017-09-13,2017-09-03,11,Apple,6262
29,orange,Grant,6.968,,2017-09-13,2017-09-03,11,Apple,6262
30,orange,Ferris,9.318,,2017-09-13,2017-09-03,11,Apple,6262
31,orange,Milford,8.198,,2017-09-13,2017-09-03,11,Haw,6262
32,orange,Grant,7.467,,2017-09-13,2017-09-03,11,Apple,6262
33,orange,Ferris,7.565,,2017-09-13,2017-09-03,11,Apple,6262
34,orange,Ferris,10.77,,2017-09-13,2017-09-03,11,Apple,6262
35,orange,Grant,7.017,,2017-09-13,2017-09-03,11,Apple,6262
36,orange,Ferris,6.482,,2017-09-13,2017-09-03,11,Apple,6262
37,orange,Milford,12.524,,2017-09-13,2017-09-03,11,Haw,6262
38,orange,Ferris,6.892,,2017-09-13,2017-09-03,11,Apple,6262
39,orange,Grant,9.445,,2017-09-13,2017-09-03,11,Apple,6262
40,orange,Ferris,8.01,,2017-09-13,2017-09-03,11,Apple,6262
41,orange,Grant,7.519,,2017-09-13,2017-09-03,11,Apple,6262
42,orange,Grant,7.582,,2017-09-13,2017-09-03,11,Apple,6262
43,orange,Ferris,7.949,,2017-09-13,2017-09-03,11,Apple,6262
44,orange,Grant,5.463,,2017-09-13,2017-09-03,11,Apple,6262
45,orange,Grant,6.386,,2017-09-13,2017-09-03,11,Apple,6262
46,orange,Milford,7.097,,2017-09-13,2017-09-03,11,Haw,6262
47,orange,Ferris,6.872,,2017-09-13,2017-09-03,11,Apple,6262
48,orange,Ferris,5.737,,2017-09-13,2017-09-03,11,Apple,6262
49,orange,Grant,10.109,,2017-09-13,2017-09-03,11,Apple,6262
50,orange,Ferris,9.79,,2017-09-13,2017-09-03,11,Apple,6262
51,orange,Ferris,4.657,,2017-09-13,2017-09-03,11,Apple,6262
52,orange,Grant,7.702,,2017-09-13,2017-09-03,11,Apple,6262
53,orange,Ferris,6.867,,2017-09-13,2017-09-03,11,Apple,6262
54,orange,Ferris,10.358,,2017-09-13,2017-09-03,11,Apple,6262
55,orange,Grant,6.664,,2017-09-13,2017-09-03,11,Apple,6262
56,orange,Ferris,8.47,,2017-09-13,2017-09-03,11,Apple,6262
57,orange,Ferris,6.735,,2017-09-13,2017-09-03,11,Apple,6262
58,orange,Grant,6.767,,2017-09-13,2017-09-03,11,Apple,6262
59,orange,Grant,9.287,,2017-09-13,2017-09-03,11,Apple,6262
60,orange,Milford,8.044,,2017-09-13,2017-09-03,11,Haw,6262
61,orange,Ferris,12.379,,2017-09-13,2017-09-03,11,Apple,6262
62,orange,Grant,6.298,,2017-09-13,2017-09-03,11,Apple,6262
63,orange,Grant,5.553,,2017-09-13,2017-09-03,11,Apple,6262
64,orange,Ferris,3.234,,2017-09-13,2017-09-03,11,Apple,6262
65,orange,Grant,8.375,,2017-09-13,2017-09-03,11,Apple,6262
66,orange,Grant,4.963,,2017-09-13,2017-09-03,11,Apple,6262
67,orange,Ferris,5.679,,2017-09-13,2017-09-03,11,Apple,6262
68,orange,Grant,8.004,,2017-09-13,2017-09-03,11,Apple,6262
69,orange,Grant,7.088,,2017-09-13,2017-09-03,11,Apple,6262
70,orange,Blank,,,2017-09-13,2017-09-03,11,Apple,6262
71,orange,Blank,,,2017-09-13,2017-09-03,11,Apple,6262
72,orange,,,,2017-09-13,2017-09-03,11,Apple,6262
73,orange,,,,2017-09-13,2017-09-03,11,Apple,6262
74,orange,,,,2017-09-13,2017-09-03,11,Apple,6262
75,orange,Milford,12.08,14:27,2017-09-13,2017-09-03,11,Haw,6262
