"","Ind_ID","tape","Site_name","mass_day10","purge_time_1","day10","cohort_date","cohort_day","Host","Li.cor_1","rando_assign","uniqueID"
"57",57,"white","Milford",9.487,"","2017-09-13","2017-09-03",11,"Haw",7000,"genetic control","11w57"
"58",58,"white","Grant",7.921,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w58"
"59",59,"white","Ferris",7.591,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w59"
"60",60,"white","Grant",7.766,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w60"
"61",61,"white","Grant",5.758,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w61"
"62",62,"white","Milford",14.554,"","2017-09-13","2017-09-03",11,"Haw",7000,"Simulated Overwintering","11w62"
"63",63,"white","Grant",7.662,"","2017-09-13","2017-09-03",11,"Apple",7000,"RT eclosion","11w63"
"64",64,"white","Ferris",3.979,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w64"
"65",65,"white","Grant",6.074,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w65"
"66",66,"white","Grant",7.537,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w66"
"67",67,"white","Grant",9.929,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w67"
"68",68,"white","Grant",5.255,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w68"
"69",69,"white","",NA,"","2017-09-13","2017-09-03",11,"Apple",7000,"Simulated Overwintering","11w69"
"70",70,"white","Ferris",7.062,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w70"
"71",71,"white","",NA,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w71"
"72",72,"white","Milford",11.687,"14:04","2017-09-13","2017-09-03",11,"Haw",7000,"Simulated Overwintering","11w72"
"73",73,"white","",NA,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w73"
"74",74,"white","",NA,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w74"
"75",75,"white","",NA,"","2017-09-13","2017-09-03",11,"Apple",7000,"genetic control","11w75"
"76",1,"orange","Ferris",6.559,"14:04","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o1"
"77",2,"orange","Grant",5.582,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o2"
"78",3,"orange","Milford",10.894,"","2017-09-13","2017-09-03",11,"Haw",6262,"RT eclosion","11o3"
"79",4,"orange","Ferris",10.543,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o4"
"80",5,"orange","Grant",13.039,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o5"
"81",6,"orange","MSU",7.268,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o6"
"82",7,"orange","Grant",5.298,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o7"
"83",8,"orange","Ferris",9.792,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o8"
"84",9,"orange","Grant",8.387,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o9"
"85",10,"orange","Grant",10.258,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o10"
"86",11,"orange","Ferris",6.456,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o11"
"87",12,"orange","Grant",6.899,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o12"
"88",13,"orange","Ferris",10.284,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o13"
"89",14,"orange","Milford",8.958,"","2017-09-13","2017-09-03",11,"Haw",6262,"RT eclosion","11o14"
"90",15,"orange","Ferris",5.465,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o15"
"91",16,"orange","Grant",10.275,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o16"
"92",17,"orange","Ferris",3.825,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o17"
"93",18,"orange","Ferris",6.4,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o18"
"94",19,"orange","Grant",7.801,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o19"
"95",20,"orange","Milford",5.759,"","2017-09-13","2017-09-03",11,"Haw",6262,"genetic control","11o20"
"96",21,"orange","Ferris",7.82,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o21"
"97",22,"orange","Grant",4.399,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o22"
"98",23,"orange","Ferris",6.677,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o23"
"99",24,"orange","Ferris",5.067,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o24"
"100",25,"orange","Ferris",6.087,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o25"
"101",26,"orange","Ferris",6.949,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o26"
"102",27,"orange","Milford",10.807,"","2017-09-13","2017-09-03",11,"Haw",6262,"genetic control","11o27"
"103",28,"orange","Ferris",10.291,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o28"
"104",29,"orange","Grant",6.968,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o29"
"105",30,"orange","Ferris",9.318,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o30"
"106",31,"orange","Milford",8.198,"","2017-09-13","2017-09-03",11,"Haw",6262,"RT eclosion","11o31"
"107",32,"orange","Grant",7.467,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o32"
"108",33,"orange","Ferris",7.565,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o33"
"109",34,"orange","Ferris",10.77,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o34"
"110",35,"orange","Grant",7.017,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o35"
"111",36,"orange","Ferris",6.482,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o36"
"112",37,"orange","Milford",12.524,"","2017-09-13","2017-09-03",11,"Haw",6262,"RT eclosion","11o37"
"113",38,"orange","Ferris",6.892,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o38"
"114",39,"orange","Grant",9.445,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o39"
"115",40,"orange","Ferris",8.01,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o40"
"116",41,"orange","Grant",7.519,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o41"
"117",42,"orange","Grant",7.582,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o42"
"118",43,"orange","Ferris",7.949,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o43"
"119",44,"orange","Grant",5.463,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o44"
"120",45,"orange","Grant",6.386,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o45"
"121",46,"orange","Milford",7.097,"","2017-09-13","2017-09-03",11,"Haw",6262,"Simulated Overwintering","11o46"
"122",47,"orange","Ferris",6.872,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o47"
"123",48,"orange","Ferris",5.737,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o48"
"124",49,"orange","Grant",10.109,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o49"
"125",50,"orange","Ferris",9.79,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o50"
"126",51,"orange","Ferris",4.657,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o51"
"127",52,"orange","Grant",7.702,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o52"
"128",53,"orange","Ferris",6.867,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o53"
"129",54,"orange","Ferris",10.358,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o54"
"130",55,"orange","Grant",6.664,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o55"
"131",56,"orange","Ferris",8.47,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o56"
"132",57,"orange","Ferris",6.735,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o57"
"133",58,"orange","Grant",6.767,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o58"
"134",59,"orange","Grant",9.287,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o59"
"135",60,"orange","Milford",8.044,"","2017-09-13","2017-09-03",11,"Haw",6262,"Simulated Overwintering","11o60"
"136",61,"orange","Ferris",12.379,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o61"
"137",62,"orange","Grant",6.298,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o62"
"138",63,"orange","Grant",5.553,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o63"
"139",64,"orange","Ferris",3.234,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o64"
"140",65,"orange","Grant",8.375,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o65"
"141",66,"orange","Grant",4.963,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o66"
"142",67,"orange","Ferris",5.679,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o67"
"143",68,"orange","Grant",8.004,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o68"
"144",69,"orange","Grant",7.088,"","2017-09-13","2017-09-03",11,"Apple",6262,"RT eclosion","11o69"
"145",70,"orange","Blank",NA,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o70"
"146",71,"orange","Blank",NA,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o71"
"147",72,"orange","",NA,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o72"
"148",73,"orange","",NA,"","2017-09-13","2017-09-03",11,"Apple",6262,"genetic control","11o73"
"149",74,"orange","",NA,"","2017-09-13","2017-09-03",11,"Apple",6262,"Simulated Overwintering","11o74"
"150",75,"orange","Milford",12.08,"14:27","2017-09-13","2017-09-03",11,"Haw",6262,"RT eclosion","11o75"
