Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
69,white,Grant,5.163,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w69
70,white,Ferris,11.415,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w70
71,white,Grant,5.979,,9/12/17,9/2/17,10,Apple,7000,Simulated Overwintering,10w71
72,white,Grant,6.666,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w72
73,white,Grant,7.782,,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w73
74,white,Milford,11.997,,9/12/17,9/2/17,10,Haw,7000,Simulated Overwintering,10w74
75,white,Grant,8.53,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w75
76,white,Grant,7.113,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w76
77,white,blank,NA,,9/12/17,9/2/17,10,Apple,7000,genetic control,10w77
78,white,blank,NA,19:22,9/12/17,9/2/17,10,Apple,7000,RT eclosion,10w78
1,orange,Ferris,7.1,19:23,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o1
2,orange,Grant,7.708,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o2
3,orange,Grant,7.321,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o3
4,orange,Ferris,5.595,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o4
5,orange,Grant,6.767,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o5
6,orange,Ferris,7.02,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o6
7,orange,Milford,10.81,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o7
8,orange,Grant,8.745,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o8
9,orange,Grant,6.8,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o9
10,orange,Milford,7.455,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o10
11,orange,Milford,7.662,,9/12/17,9/2/17,10,Haw,6262,genetic control,10o11
12,orange,Grant,4.612,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o12
13,orange,Grant,7.145,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o13
14,orange,Ferris,5.122,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o14
15,orange,Ferris,9.294,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o15
16,orange,Ferris,10.083,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o16
17,orange,Grant,9.354,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o17
18,orange,Ferris,10.37,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o18
19,orange,Grant,7.387,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o19
20,orange,Ferris,8.431,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o20
21,orange,Grant,11.075,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o21
22,orange,Ferris,6.728,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o22
23,orange,Ferris,7.567,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o23
24,orange,Grant,7.804,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o24
25,orange,Ferris,9.498,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o25
26,orange,Grant,6.348,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o26
27,orange,Grant,4.549,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o27
28,orange,Milford,7.649,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o28
29,orange,Grant,5.549,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o29
30,orange,Grant,6.453,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o30
31,orange,MSU,10.736,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o31
32,orange,Ferris,11.718,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o32
33,orange,Ferris,11.811,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o33
34,orange,Grant,6.584,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o34
35,orange,Ferris,5.763,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o35
36,orange,Milford,8.045,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o36
37,orange,Ferris,8.346,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o37
38,orange,Grant,6.857,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o38
39,orange,Ferris,5.249,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o39
40,orange,Milford,8.343,,9/12/17,9/2/17,10,Haw,6262,Simulated Overwintering,10o40
41,orange,Grant,8.346,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o41
42,orange,Ferris,6.734,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o42
43,orange,Grant,6.668,,9/12/17,9/2/17,10,Apple,6262,Simulated Overwintering,10o43
44,orange,Ferris,9.83,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o44
45,orange,Ferris,5.691,,9/12/17,9/2/17,10,Apple,6262,genetic control,10o45
46,orange,Ferris,3.476,,9/12/17,9/2/17,10,Apple,6262,RT eclosion,10o46
