starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
7:12:06,6.46E-02,1,7000,orange
7:13:16,3.73E-02,2,7000,orange
7:14:16,0.5543608,3,7000,orange
7:15:28,4.75E-02,4,7000,orange
7:16:34,0.3806402,5,7000,orange
7:17:45,0.7329962,6,7000,orange
7:19:01,0.0438454,7,7000,orange
7:20:18,5.56E-02,8,7000,orange
7:21:14,5.88E-03,9,7000,orange
7:22:04,0.5907224,10,7000,orange
7:23:23,0.3254148,11,7000,orange
7:24:38,5.26E-02,12,7000,orange
7:25:42,9.13E-02,13,7000,orange
7:26:59,4.71E-02,14,7000,orange
7:28:07,4.55E-02,15,7000,orange
7:29:12,6.44E-02,16,7000,orange
7:30:31,0.5081294,17,7000,orange
7:31:46,6.14E-02,18,7000,orange
7:32:52,8.03E-02,19,7000,orange
7:34:16,4.09E-02,20,7000,orange
7:12:06,9.97E-02,1,6262,white
7:13:16,7.45E-02,2,6262,white
7:14:16,0.1119403,3,6262,white
7:15:28,0.1440611,4,6262,white
7:16:34,0.1084759,5,6262,white
7:17:45,8.76E-02,6,6262,white
7:19:01,0.5819737,7,6262,white
7:20:18,9.46E-02,8,6262,white
7:22:04,5.55E-02,10,6262,white
7:23:23,9.61E-02,11,6262,white
7:24:38,0.1488509,12,6262,white
7:25:42,0.0902709,13,6262,white
7:26:59,0.1472219,14,6262,white
7:28:07,9.93E-02,15,6262,white
7:29:12,0.6005746,16,6262,white
7:30:31,8.47E-02,17,6262,white
7:31:46,0.135267,18,6262,white
7:32:52,0.7828815,19,6262,white
7:34:16,0.5414175,20,6262,white
