starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
7:41:29,5.41E-02,50,7000,red
7:42:51,6.26E-02,51,7000,red
7:44:05,5.09E-02,52,7000,red
7:45:26,6.56E-02,53,7000,red
7:46:38,0.9035689,54,7000,red
7:48:02,0.5241283,55,7000,red
7:49:15,4.98E-02,56,7000,red
7:50:35,0.1172228,57,7000,red
7:51:44,3.60E-02,58,7000,red
7:52:45,0.6394299,59,7000,red
7:54:13,7.59E-02,60,7000,red
7:55:22,0.5417765,61,7000,red
7:56:38,0.0735293,62,7000,red
7:57:41,8.28E-02,63,7000,red
7:58:57,6.90E-02,64,7000,red
8:00:22,8.53E-02,65,7000,red
8:01:30,2.98E-02,66,7000,red
8:02:32,5.56E-02,67,7000,red
8:03:46,0.8217946,68,7000,red
8:05:25,6.67E-02,69,7000,red
8:06:33,5.21E-02,70,7000,red
8:07:46,5.10E-02,71,7000,red
8:09:10,5.21E-02,72,7000,red
8:10:16,0.5491122,73,7000,red
8:11:43,8.65E-02,74,7000,red
8:12:51,4.84E-03,75,7000,red
8:13:47,6.95E-03,76,7000,red
7:41:29,0.6557495,50,6262,blue
7:42:51,0.5947249,51,6262,blue
7:44:05,1.540566,52,6262,blue
7:45:26,7.61E-02,53,6262,blue
7:46:38,0.8580221,54,6262,blue
7:48:02,0.2113059,55,6262,blue
7:49:15,1.058891,56,6262,blue
7:50:35,2.98E-02,57,6262,blue
7:51:44,2.40E-02,58,6262,blue
7:52:45,0.2507915,59,6262,blue
7:54:13,8.65E-02,60,6262,blue
7:55:22,0.2042176,61,6262,blue
7:56:38,2.29E-02,62,6262,blue
7:57:41,0.1403421,63,6262,blue
7:58:57,0.9835695,64,6262,blue
8:00:22,9.41E-02,65,6262,blue
8:01:30,2.15E-02,66,6262,blue
8:02:32,0.4044208,67,6262,blue
8:03:46,0.7965322,68,6262,blue
8:05:25,0.1230131,69,6262,blue
8:06:33,0.1022102,70,6262,blue
8:07:46,0.7474031,71,6262,blue
8:09:10,0.0977011,72,6262,blue
8:10:16,0.7277839,73,6262,blue
8:11:43,0.1531694,74,6262,blue
8:12:51,1.90E-02,75,6262,blue
8:13:47,1.65E-02,76,6262,blue
