starttime_VCO2_6262_1,area_VCO2_6262_1,n,n,licor,tape color
10:42:18,0.1174973,50,1,7000,red
10:43:30,5.65E-02,51,2,7000,red
10:44:49,3.95E-02,52,3,7000,red
10:45:56,0.0116584,53,4,7000,red
10:47:00,0.8187085,54,5,7000,red
10:48:17,9.06E-03,55,6,7000,red
10:49:35,8.61E-02,56,7,7000,red
10:50:37,3.95E-02,57,8,7000,red
10:51:55,0.4301656,58,9,7000,red
10:53:14,3.31E-02,59,10,7000,red
10:55:52,0.8978101,60,11,7000,red
10:57:10,5.45E-02,61,12,7000,red
10:58:14,9.32E-03,62,13,7000,red
10:59:21,7.04E-02,63,14,7000,red
11:00:31,0.1145499,64,15,7000,red
11:02:01,9.94E-02,65,16,7000,red
11:03:24,0.3950212,66,17,7000,red
11:04:48,0.1096382,67,18,7000,red
11:06:00,7.23E-02,68,19,7000,red
11:07:18,0.230986,69,20,7000,red
11:08:35,4.64E-02,70,21,7000,red
11:09:40,0.4190742,71,22,7000,red
11:10:57,0.6746306,72,23,7000,red
11:12:15,7.07E-02,73,24,7000,red
11:13:42,7.26E-03,74,25,7000,red
11:15:10,6.21E-03,75,26,7000,red
10:42:18,9.32E-02,50,1,6262,orange
10:43:30,0.1359975,51,2,6262,orange
10:44:49,0.1190212,52,3,6262,orange
10:45:56,1.49E-02,53,4,6262,orange
10:47:00,0.1134449,54,5,6262,orange
10:48:17,0.4699189,55,6,6262,orange
10:49:35,6.41E-02,56,7,6262,orange
10:50:37,0.3747797,57,8,6262,orange
10:51:55,1.55E-02,58,9,6262,orange
10:53:14,9.68E-02,59,10,6262,orange
10:55:52,9.09E-02,60,11,6262,orange
10:57:10,6.21E-02,61,12,6262,orange
10:58:14,0.1052681,62,13,6262,orange
10:59:21,0.1244049,63,14,6262,orange
11:00:31,1.117494,64,15,6262,orange
11:02:01,7.78E-02,65,16,6262,orange
11:03:24,0.9872611,66,17,6262,orange
11:04:48,0.2355627,67,18,6262,orange
11:06:00,0.5129768,68,19,6262,orange
11:07:18,5.84E-02,69,20,6262,orange
11:08:35,0.0964671,70,21,6262,orange
11:09:40,1.79E-02,71,22,6262,orange
11:10:57,0.2520657,72,23,6262,orange
11:12:15,1.203004,73,24,6262,orange
11:13:42,0.8487048,74,25,6262,orange
11:15:10,1.26E-02,75,26,6262,orange
