starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
11:20:41,0.1169152,1,7000,red
11:21:43,0.6141065,2,7000,red
11:22:59,7.66E-02,3,7000,red
11:24:04,0.1512398,4,7000,red
11:25:14,3.41E-02,5,7000,red
11:26:20,0.1133282,6,7000,red
11:27:24,0.3026429,7,7000,red
11:28:33,2.55E-02,8,7000,red
11:29:38,3.62E-02,9,7000,red
11:30:37,5.37E-02,10,7000,red
11:31:39,0.5753829,11,7000,red
11:32:54,0.1656702,12,7000,red
11:34:00,9.18E-02,13,7000,red
11:35:04,6.24E-02,14,7000,red
11:36:08,0.5915825,15,7000,red
11:37:23,0.0414089,16,7000,red
11:38:20,4.49E-03,17,7000,red
11:39:14,3.35E-02,18,7000,red
11:40:32,0.1251082,19,7000,red
11:41:44,3.16E-02,20,7000,red
11:42:41,4.31E-02,21,7000,red
11:43:54,8.64E-02,22,7000,red
11:20:41,0.112193,1,6262,orange
11:21:43,7.25E-02,2,6262,orange
11:22:59,6.71E-02,3,6262,orange
11:24:04,0.1784691,4,6262,orange
11:25:14,8.01E-02,5,6262,orange
11:26:20,3.00E-02,6,6262,orange
11:27:24,0.135204,7,6262,orange
11:28:33,5.73E-02,8,6262,orange
11:29:38,6.74E-02,9,6262,orange
11:30:37,0.1035424,10,6262,orange
11:31:39,0.3020603,11,6262,orange
11:32:54,0.1654662,12,6262,orange
11:34:00,0.1381791,13,6262,orange
11:35:04,8.63E-02,14,6262,orange
11:36:08,0.1123879,15,6262,orange
11:37:23,7.29E-02,16,6262,orange
11:38:20,5.73E-02,17,6262,orange
11:39:14,1.59E-03,18,6262,orange
11:40:32,0.6365055,19,6262,orange
11:41:44,0.1041099,20,6262,orange
11:42:41,0.8178477,21,6262,orange
11:43:54,1.28E-02,22,6262,orange
