"","read_day","trik_ID","bins","counts","light_status"
"163",1,"t10","16:30",0,1
"164",1,"t10","16:45",0,1
"165",1,"t10","17:00",0,1
"166",1,"t10","17:15",0,1
"167",1,"t10","17:30",0,1
"168",1,"t10","17:45",0,1
"169",1,"t10","18:00",0,1
"170",1,"t10","18:15",0,1
"171",1,"t10","18:30",0,1
"172",1,"t10","18:45",0,1
"173",1,"t10","19:00",0,1
"174",1,"t10","19:15",0,1
"175",1,"t10","19:30",0,1
"176",1,"t10","19:45",0,1
"177",1,"t10","20:00",0,0.933333333333333
"178",1,"t10","20:15",0,0
"179",1,"t10","20:30",0,0
"180",1,"t10","20:45",0,0
"181",1,"t10","21:00",0,0
"182",1,"t10","21:15",0,0
"183",1,"t10","21:30",0,0
"184",1,"t10","21:45",0,0
"185",1,"t10","22:00",1,0
"186",1,"t10","22:15",0,0
"187",1,"t10","22:30",0,0
"188",1,"t10","22:45",0,0
"189",1,"t10","23:00",0,0
"190",1,"t10","23:15",0,0
"191",1,"t10","23:30",0,0
"192",1,"t10","23:45",0,0
"193",1,"t10","24:00",0,0
"194",1,"t10",NA,0,0
"195",1,"t11","00:15",0,0
"196",1,"t11","00:30",0,0
"197",1,"t11","00:45",0,0
"198",1,"t11","01:00",0,0
"199",1,"t11","01:15",0,0
"200",1,"t11","01:30",0,0
"201",1,"t11","01:45",0,0
"202",1,"t11","02:00",0,0
"203",1,"t11","02:15",0,0
"204",1,"t11","02:30",0,0
"205",1,"t11","02:45",0,0
"206",1,"t11","03:00",0,0
"207",1,"t11","03:15",0,0
"208",1,"t11","03:30",0,0
"209",1,"t11","03:45",0,0
"210",1,"t11","04:00",0,0
"211",1,"t11","04:15",0,0
"212",1,"t11","04:30",15,0
"213",1,"t11","04:45",0,0
"214",1,"t11","05:00",0,0
"215",1,"t11","05:15",5,0
"216",1,"t11","05:30",0,0
"217",1,"t11","05:45",0,0
"218",1,"t11","06:00",0,0
"219",1,"t11","06:15",36,0.933333333333333
"220",1,"t11","06:30",45,1
"221",1,"t11","06:45",42,1
"222",1,"t11","07:00",33,1
"223",1,"t11","07:15",17,1
"224",1,"t11","07:30",24,1
"225",1,"t11","07:45",25,1
"226",1,"t11","08:00",24,1
"227",1,"t11","08:15",26,1
"228",1,"t11","08:30",14,1
"229",1,"t11","08:45",17,1
"230",1,"t11","09:00",16,1
"231",1,"t11","09:15",9,1
"232",1,"t11","09:30",21,1
"233",1,"t11","09:45",8,1
"234",1,"t11","10:00",13,1
"235",1,"t11","10:15",11,1
"236",1,"t11","10:30",7,1
"237",1,"t11","10:45",22,1
"238",1,"t11","11:00",21,1
"239",1,"t11","11:15",20,1
"240",1,"t11","11:30",26,1
"241",1,"t11","11:45",24,1
"242",1,"t11","12:00",24,1
"243",1,"t11","12:15",25,1
"244",1,"t11","12:30",23,1
"245",1,"t11","12:45",25,1
"246",1,"t11","13:00",28,1
"247",1,"t11","13:15",30,1
"248",1,"t11","13:30",24,1
"249",1,"t11","13:45",22,1
"250",1,"t11","14:00",14,1
"251",1,"t11","14:15",26,1
"252",1,"t11","14:30",17,1
"253",1,"t11","14:45",16,1
"254",1,"t11","15:00",19,1
"255",1,"t11","15:15",22,1
"256",1,"t11","15:30",22,1
"257",1,"t11","15:45",19,1
"258",1,"t11","16:00",24,1
"259",1,"t11","16:15",26,1
"260",1,"t11","16:30",24,1
"261",1,"t11","16:45",18,1
"262",1,"t11","17:00",41,1
"263",1,"t11","17:15",26,1
"264",1,"t11","17:30",21,1
"265",1,"t11","17:45",26,1
"266",1,"t11","18:00",30,1
"267",1,"t11","18:15",32,1
"268",1,"t11","18:30",28,1
"269",1,"t11","18:45",24,1
"270",1,"t11","19:00",21,1
"271",1,"t11","19:15",20,1
"272",1,"t11","19:30",20,1
"273",1,"t11","19:45",20,1
"274",1,"t11","20:00",10,0.933333333333333
"275",1,"t11","20:15",2,0
"276",1,"t11","20:30",0,0
"277",1,"t11","20:45",0,0
"278",1,"t11","21:00",0,0
"279",1,"t11","21:15",0,0
"280",1,"t11","21:30",0,0
"281",1,"t11","21:45",0,0
"282",1,"t11","22:00",0,0
"283",1,"t11","22:15",7,0
"284",1,"t11","22:30",0,0
"285",1,"t11","22:45",0,0
"286",1,"t11","23:00",14,0
"287",1,"t11","23:15",0,0
"288",1,"t11","23:30",0,0
"289",1,"t11","23:45",0,0
"290",1,"t11","24:00",0,0
"291",1,"t11",NA,0,0
"292",1,"t12","00:15",0,0
"293",1,"t12","00:30",0,0
"294",1,"t12","00:45",0,0
"295",1,"t12","01:00",0,0
"296",1,"t12","01:15",0,0
"297",1,"t12","01:30",0,0
"298",1,"t12","01:45",0,0
"299",1,"t12","02:00",0,0
"300",1,"t12","02:15",0,0
"301",1,"t12","02:30",0,0
"302",1,"t12","02:45",0,0
"303",1,"t12","03:00",0,0
"304",1,"t12","03:15",0,0
"305",1,"t12","03:30",0,0
"306",1,"t12","03:45",0,0
"307",1,"t12","04:00",0,0
"308",1,"t12","04:15",0,0
"309",1,"t12","04:30",0,0
"310",1,"t12","04:45",0,0
"311",1,"t12","05:00",0,0
"312",1,"t12","05:15",0,0
"313",1,"t12","05:30",0,0
"314",1,"t12","05:45",0,0
"315",1,"t12","06:00",0,0
"316",1,"t12","06:15",4,0.933333333333333
"317",1,"t12","06:30",9,1
"318",1,"t12","06:45",8,1
"319",1,"t12","07:00",10,1
"320",1,"t12","07:15",9,1
"321",1,"t12","07:30",4,1
"322",1,"t12","07:45",6,1
"323",1,"t12","08:00",10,1
"324",1,"t12","08:15",7,1
"325",1,"t12","08:30",0,1
"326",1,"t12","08:45",0,1
"327",1,"t12","09:00",0,1
"328",1,"t12","09:15",0,1
"329",1,"t12","09:30",0,1
"330",1,"t12","09:45",0,1
"331",1,"t12","10:00",0,1
"332",1,"t12","10:15",0,1
"333",1,"t12","10:30",0,1
"334",1,"t12","10:45",0,1
"335",1,"t12","11:00",0,1
"336",1,"t12","11:15",0,1
"337",1,"t12","11:30",0,1
"338",1,"t12","11:45",0,1
"339",1,"t12","12:00",0,1
"340",1,"t12","12:15",0,1
"341",1,"t12","12:30",0,1
"342",1,"t12","12:45",0,1
"343",1,"t12","13:00",0,1
"344",1,"t12","13:15",0,1
"345",1,"t12","13:30",3,1
"346",1,"t12","13:45",0,1
"347",1,"t12","14:00",0,1
"348",1,"t12","14:15",0,1
"349",1,"t12","14:30",0,1
"350",1,"t12","14:45",0,1
"351",1,"t12","15:00",0,1
"352",1,"t12","15:15",0,1
"353",1,"t12","15:30",9,1
"354",1,"t12","15:45",10,1
"355",1,"t12","16:00",3,1
"356",1,"t12","16:15",10,1
"357",1,"t12","16:30",4,1
"358",1,"t12","16:45",7,1
"359",1,"t12","17:00",8,1
"360",1,"t12","17:15",10,1
"361",1,"t12","17:30",3,1
"362",1,"t12","17:45",7,1
"363",1,"t12","18:00",2,1
"364",1,"t12","18:15",9,1
"365",1,"t12","18:30",21,1
"366",1,"t12","18:45",9,1
"367",1,"t12","19:00",8,1
"368",1,"t12","19:15",12,1
"369",1,"t12","19:30",4,1
"370",1,"t12","19:45",0,1
"371",1,"t12","20:00",12,0.933333333333333
"372",1,"t12","20:15",0,0
"373",1,"t12","20:30",0,0
"374",1,"t12","20:45",0,0
"375",1,"t12","21:00",0,0
"376",1,"t12","21:15",0,0
"377",1,"t12","21:30",0,0
"378",1,"t12","21:45",0,0
"379",1,"t12","22:00",0,0
"380",1,"t12","22:15",0,0
"381",1,"t12","22:30",0,0
"382",1,"t12","22:45",0,0
"383",1,"t12","23:00",0,0
"384",1,"t12","23:15",0,0
"385",1,"t12","23:30",0,0
"386",1,"t12","23:45",0,0
"387",1,"t12","24:00",0,0
"388",1,"t12",NA,0,0
"389",1,"t13","00:15",0,0
"390",1,"t13","00:30",0,0
"391",1,"t13","00:45",0,0
"392",1,"t13","01:00",0,0
"393",1,"t13","01:15",0,0
"394",1,"t13","01:30",0,0
"395",1,"t13","01:45",0,0
"396",1,"t13","02:00",0,0
"397",1,"t13","02:15",0,0
"398",1,"t13","02:30",0,0
"399",1,"t13","02:45",2,0
"400",1,"t13","03:00",0,0
"401",1,"t13","03:15",0,0
"402",1,"t13","03:30",0,0
"403",1,"t13","03:45",0,0
"404",1,"t13","04:00",0,0
"405",1,"t13","04:15",0,0
"406",1,"t13","04:30",0,0
"407",1,"t13","04:45",0,0
"408",1,"t13","05:00",0,0
"409",1,"t13","05:15",0,0
"410",1,"t13","05:30",0,0
"411",1,"t13","05:45",0,0
"412",1,"t13","06:00",0,0
"413",1,"t13","06:15",0,0.933333333333333
"414",1,"t13","06:30",20,1
"415",1,"t13","06:45",28,1
"416",1,"t13","07:00",53,1
"417",1,"t13","07:15",68,1
"418",1,"t13","07:30",56,1
"419",1,"t13","07:45",31,1
"420",1,"t13","08:00",26,1
"421",1,"t13","08:15",49,1
"422",1,"t13","08:30",41,1
"423",1,"t13","08:45",46,1
"424",1,"t13","09:00",30,1
"425",1,"t13","09:15",0,1
"426",1,"t13","09:30",24,1
"427",1,"t13","09:45",35,1
"428",1,"t13","10:00",35,1
"429",1,"t13","10:15",50,1
"430",1,"t13","10:30",36,1
"431",1,"t13","10:45",36,1
"432",1,"t13","11:00",47,1
"433",1,"t13","11:15",20,1
"434",1,"t13","11:30",14,1
"435",1,"t13","11:45",34,1
"436",1,"t13","12:00",42,1
"437",1,"t13","12:15",40,1
"438",1,"t13","12:30",29,1
"439",1,"t13","12:45",24,1
"440",1,"t13","13:00",20,1
"441",1,"t13","13:15",39,1
"442",1,"t13","13:30",28,1
"443",1,"t13","13:45",34,1
"444",1,"t13","14:00",41,1
"445",1,"t13","14:15",36,1
"446",1,"t13","14:30",37,1
"447",1,"t13","14:45",37,1
"448",1,"t13","15:00",38,1
"449",1,"t13","15:15",39,1
"450",1,"t13","15:30",39,1
"451",1,"t13","15:45",34,1
"452",1,"t13","16:00",0,1
"453",1,"t13","16:15",22,1
"454",1,"t13","16:30",46,1
"455",1,"t13","16:45",37,1
"456",1,"t13","17:00",36,1
"457",1,"t13","17:15",38,1
"458",1,"t13","17:30",35,1
"459",1,"t13","17:45",36,1
"460",1,"t13","18:00",36,1
"461",1,"t13","18:15",30,1
"462",1,"t13","18:30",33,1
"463",1,"t13","18:45",30,1
"464",1,"t13","19:00",30,1
"465",1,"t13","19:15",36,1
"466",1,"t13","19:30",44,1
"467",1,"t13","19:45",43,1
"468",1,"t13","20:00",36,0.933333333333333
"469",1,"t13","20:15",23,0
"470",1,"t13","20:30",0,0
"471",1,"t13","20:45",0,0
"472",1,"t13","21:00",0,0
"473",1,"t13","21:15",0,0
"474",1,"t13","21:30",0,0
"475",1,"t13","21:45",0,0
"476",1,"t13","22:00",0,0
"477",1,"t13","22:15",0,0
"478",1,"t13","22:30",0,0
"479",1,"t13","22:45",0,0
"480",1,"t13","23:00",0,0
"481",1,"t13","23:15",0,0
"482",1,"t13","23:30",0,0
"483",1,"t13","23:45",0,0
"484",1,"t13","24:00",0,0
"485",1,"t13",NA,0,0
"486",1,"t14","00:15",0,0
"487",1,"t14","00:30",0,0
"488",1,"t14","00:45",0,0
"489",1,"t14","01:00",1,0
"490",1,"t14","01:15",0,0
"491",1,"t14","01:30",0,0
"492",1,"t14","01:45",0,0
"493",1,"t14","02:00",0,0
"494",1,"t14","02:15",0,0
"495",1,"t14","02:30",0,0
"496",1,"t14","02:45",0,0
"497",1,"t14","03:00",0,0
"498",1,"t14","03:15",0,0
"499",1,"t14","03:30",0,0
"500",1,"t14","03:45",0,0
"501",1,"t14","04:00",0,0
"502",1,"t14","04:15",0,0
"503",1,"t14","04:30",0,0
"504",1,"t14","04:45",0,0
"505",1,"t14","05:00",0,0
"506",1,"t14","05:15",0,0
"507",1,"t14","05:30",0,0
"508",1,"t14","05:45",0,0
"509",1,"t14","06:00",0,0
"510",1,"t14","06:15",0,0.933333333333333
"511",1,"t14","06:30",0,1
"512",1,"t14","06:45",0,1
"513",1,"t14","07:00",21,1
"514",1,"t14","07:15",4,1
"515",1,"t14","07:30",58,1
"516",1,"t14","07:45",48,1
"517",1,"t14","08:00",5,1
"518",1,"t14","08:15",17,1
"519",1,"t14","08:30",6,1
"520",1,"t14","08:45",0,1
"521",1,"t14","09:00",0,1
"522",1,"t14","09:15",0,1
"523",1,"t14","09:30",0,1
"524",1,"t14","09:45",0,1
"525",1,"t14","10:00",0,1
"526",1,"t14","10:15",15,1
"527",1,"t14","10:30",0,1
"528",1,"t14","10:45",0,1
"529",1,"t14","11:00",0,1
"530",1,"t14","11:15",0,1
"531",1,"t14","11:30",9,1
"532",1,"t14","11:45",17,1
"533",1,"t14","12:00",0,1
"534",1,"t14","12:15",0,1
"535",1,"t14","12:30",0,1
"536",1,"t14","12:45",21,1
"537",1,"t14","13:00",0,1
"538",1,"t14","13:15",0,1
"539",1,"t14","13:30",0,1
"540",1,"t14","13:45",0,1
"541",1,"t14","14:00",0,1
"542",1,"t14","14:15",0,1
"543",1,"t14","14:30",0,1
