uniqueID,experiment,V1,V2,V3,V4
10o20,entrainment,8,6.06060606060606,6.66666666666667,5.88235294117647
10o20,free run,24.2526315789474,9.76271186440678,10.061135371179,13.7142857142857
10o38,entrainment,6.17142857142857,6.54545454545455,6.75,5.83783783783784
10o38,free run,22.3214285714286,11.4051094890511,11.4889705882353,11.2410071942446
10o46,entrainment,8,21.3333333333333,6.24390243902439,5.95348837209302
10o46,free run,5.37610619469027,12.15,14.8170731707317,19.5967741935484
10o49,entrainment,12,8,6.15384615384615,8.57142857142857
10o49,free run,10.046511627907,18.7826086956522,21.6,19.9384615384615
10o52,entrainment,7.82608695652174,8.18181818181818,6,6.20689655172414
10o52,free run,22.5,20.7692307692308,38.5714285714286,28.4210526315789
10o75,entrainment,8,7.44827586206897,6.54545454545455,7.2
10o75,free run,29.296875,24.6710526315789,33.4821428571429,22.3214285714286
10w12,entrainment,8,8.27586206896552,8.57142857142857,11.4285714285714
10w12,free run,12.2264150943396,8.1,11.2695652173913,8.04968944099379
10w20,entrainment,6.13636363636364,5.95588235294118,7.78846153846154,13.5
10w20,free run,25,20.8333333333333,23.4375,7.6530612244898
10w31,entrainment,21.8181818181818,12,8,12.6315789473684
10w31,free run,23.2727272727273,11.3777777777778,7.87692307692308,6.02352941176471
10w33,entrainment,8,8.30769230769231,6,7.71428571428571
10w33,free run,12.15,11.758064516129,5.74015748031496,9
10w53,entrainment,8.30769230769231,12.7058823529412,8,43.2
10w53,free run,8,6.06060606060606,5.88235294117647,5.45454545454545
10w54,entrainment,8.30769230769231,8,6.54545454545455,10.8
10w54,free run,21.1764705882353,23.2258064516129,20.5714285714286,80
10w56,entrainment,11.7647058823529,6.06060606060606,9.09090909090909,5.88235294117647
10w56,free run,21.7741935483871,5.48780487804878,7.84883720930233,5.44354838709678
11o22,entrainment,12,12.7058823529412,8,6
11o22,free run,6.04026845637584,11.3924050632911,11.25,7.31707317073171
11o30,entrainment,20,11.1111111111111,13.3333333333333,10.5263157894737
11o30,free run,22.8571428571429,17.7777777777778,8.88888888888889,10.24
11o53,entrainment,20,18.4615384615385,12,6.31578947368421
11o53,free run,23.8347457627119,22.6814516129032,24.2456896551724,21.97265625
11w10,entrainment,8,6.15384615384615,6,26.6666666666667
11w10,free run,21.1764705882353,360,22.5,6.58536585365854
11w25,entrainment,12,5.80645161290323,9.47368421052632,9
11w25,free run,22.8571428571429,8.08988764044944,5.92592592592593,5.64705882352941
11w26,entrainment,8.15217391304348,6.04838709677419,7.5,5.20833333333333
11w26,free run,22.7368421052632,24.3380281690141,288,5.83783783783784
11w56,entrainment,8.4375,5.0625,5.19230769230769,6.98275862068966
11w56,free run,15,10.3846153846154,5.29411764705882,5.19230769230769
12b3,entrainment,8,12.5,5.55555555555555,5.71428571428571
12b3,free run,11.9508196721311,5.02758620689655,7.29,5.24460431654676
12b32,entrainment,8,6,9.39130434782609,10.2857142857143
12b32,free run,12,10.9090909090909,8,7.5
12b43,entrainment,12.5,6.06060606060606,8,6.25
12b43,free run,23.2727272727273,22.0689655172414,12.1904761904762,6.21359223300971
12w40,entrainment,8,6.06060606060606,5.71428571428571,5.88235294117647
12w40,free run,24.1935483870968,93.75,78.9473684210526,23.8095238095238
12w43,entrainment,12,7.71428571428571,5.4,6.17142857142857
12w43,free run,11.5384615384615,21.4285714285714,12.2448979591837,5.66037735849057
12w74,entrainment,12,8,7.44827586206897,11.3684210526316
12w74,free run,112.5,100,37.5,33.3333333333333
13o11,entrainment,11.7647058823529,8,5.12820512820513,5.40540540540541
13o11,free run,23.4146341463415,22.8571428571429,5.88957055214724,5.96273291925466
13o28,entrainment,8,6.66666666666667,5.26315789473684,6.25
13o28,free run,21.6,24,8.64,9.19148936170213
13o29,entrainment,6.66666666666667,5.26315789473684,8.33333333333333,6.25
13o29,free run,22.0909090909091,12.15,8.67857142857143,9.34615384615385
13o50,entrainment,11.7647058823529,7.69230769230769,7.40740740740741,5.71428571428571
13o50,free run,6.03540772532189,22.6814516129032,6.0614224137931,6.00961538461539
13r13,entrainment,8,5.88235294117647,11.1111111111111,10.5263157894737
13r13,free run,24.5454545454545,12,25.7142857142857,5.68421052631579
13r17,entrainment,6.06060606060606,11.7647058823529,6.25,7.69230769230769
13r17,free run,23.4375,22.3214285714286,12.0192307692308,5.71646341463415
13r42,entrainment,8,6,5.83783783783784,7.71428571428571
13r42,free run,21.9512195121951,21.4285714285714,20,8.7378640776699
14b3,entrainment,20,28.5714285714286,11.1111111111111,5.55555555555555
14b3,free run,12.1518987341772,12.0754716981132,8.03347280334728,6.23376623376623
14b32,entrainment,8,11.1111111111111,8.33333333333333,10.5263157894737
14b32,free run,8.06451612903226,9.1743119266055,6.04229607250755,5.0251256281407
14b35,entrainment,12,10.8,5.14285714285714,18
14b35,free run,17.3571428571429,28.0384615384615,8.1,5.97540983606557
14r35,entrainment,5.95588235294118,6.13636363636364,13.5,9.20454545454546
14r35,free run,17.6551724137931,30.1176470588235,8.25806451612903,5.06930693069307
14r44,entrainment,11.7647058823529,8,7.40740740740741,10.5263157894737
14r44,free run,17.1428571428571,19.2857142857143,11.4893617021277,21.1764705882353
14r56,entrainment,5.14285714285714,8.18181818181818,5.29411764705882,25.7142857142857
14r56,free run,10.9756097560976,8.54430379746836,5,8.59872611464968
16o15,entrainment,12.8571428571429,6,8.18181818181818,5.80645161290323
16o15,free run,19.5652173913043,5.625,28.125,21.4285714285714
16o32,entrainment,5.88235294117647,6.06060606060606,6.25,5.12820512820513
16o32,free run,6.0377358490566,8.05031446540881,12.1904761904762,11.8518518518519
16o8,entrainment,6.25,5.26315789473684,5.88235294117647,8.69565217391304
16o8,free run,10.8108108108108,5.33333333333333,5.67375886524823,7.69230769230769
