read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
1,18,16:30,22,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.25
1,18,16:45,15,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.5
1,18,17:00,11,1,5w69,9/26/17,32,A7,fly,16:08,1,5,16.75
1,18,17:15,21,1,5w69,9/26/17,32,A7,fly,16:08,1,5,17
1,18,17:30,27,1,5w69,9/26/17,32,A7,fly,16:08,1,5,17.25
1,18,17:45,18,1,5w69,9/26/17,32,A7,fly,16:08,1,5,17.5
1,18,18:00,35,1,5w69,9/26/17,32,A7,fly,16:08,1,5,17.75
1,18,18:15,28,1,5w69,9/26/17,32,A7,fly,16:08,1,5,18
1,18,18:30,18,1,5w69,9/26/17,32,A7,fly,16:08,1,5,18.25
1,18,18:45,12,1,5w69,9/26/17,32,A7,fly,16:08,1,5,18.5
1,18,19:00,11,1,5w69,9/26/17,32,A7,fly,16:08,1,5,18.75
1,18,19:15,17,1,5w69,9/26/17,32,A7,fly,16:08,1,5,19
1,18,19:30,24,1,5w69,9/26/17,32,A7,fly,16:08,1,5,19.25
1,18,19:45,21,1,5w69,9/26/17,32,A7,fly,16:08,1,5,19.5
1,18,20:00,16,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,5,19.75
1,18,20:15,1,0,5w69,9/26/17,32,A7,fly,16:08,1,5,20
1,18,20:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,20.25
1,18,20:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,20.5
1,18,21:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,20.75
1,18,21:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,21
1,18,21:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,21.25
1,18,21:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,21.5
1,18,22:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,21.75
1,18,22:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,22
1,18,22:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,22.25
1,18,22:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,22.5
1,18,23:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,22.75
1,18,23:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,23
1,18,23:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,23.25
1,18,23:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,23.5
1,18,24:00:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,23.75
1,18,NA,0,0,5w69,9/26/17,32,A7,fly,16:08,1,5,24
2,18,0:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,0
2,18,0:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,0.25
2,18,0:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,0.5
2,18,1:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,0.75
2,18,1:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,1
2,18,1:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,1.25
2,18,1:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,1.5
2,18,2:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,1.75
2,18,2:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,2
2,18,2:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,2.25
2,18,2:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,2.5
2,18,3:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,2.75
2,18,3:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,3
2,18,3:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,3.25
2,18,3:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,3.5
