Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death,msmr,dia_class
25,white,Ferris,9.57,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:46:30,0.3096526,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w25_18,,,C10,,,,,,,,,,,,,,,,,0.032356594,Diapause
26,white,Ferris,7.004,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:47:34,0.1730384,,,,,,9/10/2018,,,,,genetic control,h11w26_18,,,,,,,,,,,,,,,,,,,,0.024705654,Diapause
27,white,Ferris,6.43,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:48:36,0.8178748,,,,,,9/10/2018,,,,,genetic control,h11w27_18,,,,,,,,,,,,,,,,,,,,0.127196703,Non-diapause
28,white,OG,10.427,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:49:52,1.138796,,,,,,9/10/2018,,,,,RT eclosion,h11w28_18,,,F4,,,,,,,,,,,,,,,,,0.109216074,Non-diapause
29,white,Ferris,8.069,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:51:06,0.3096876,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w29_18,,,E7,,,,,,,,,,,,,,,,,0.038379923,Diapause
30,white,OG,6.652,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:52:09,1.482758,,,,,,9/10/2018,,,,,genetic control,h11w30_18,,,,,,,,,,,,,,,,,,,,0.222904089,Non-diapause
31,white,Ferris,7.739,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:53:22,0.9280274,,,,,,9/10/2018,,,,,RT eclosion,h11w31_18,,,C4,,,,,,,,,,,,,,,,,0.119915674,Non-diapause
32,white,OG,7.174,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:54:36,0.0711,,,,,,9/10/2018,,,,,genetic control,h11w32_18,,,,,,,,,,,,,,,,,,,,0.009910789,Diapause
33,white,OG,8.402,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:55:54,0.1274011,,,,,,9/10/2018,,,,,genetic control,h11w33_18,,,,,,,,,,,,,,,,,,,,0.015163187,Diapause
34,white,Ferris,6.335,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:56:54,0.9831486,,,,,,9/10/2018,,,,,Simulated Overwintering,h11w34_18,,,D9,,,,,,,,,,,,,,,,,0.155193149,Non-diapause
35,white,OG,7.691,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,11:58:11,1.047761,,,,,,9/10/2018,,,,,RT eclosion,h11w35_18,,,F3,,,,,,,,,,,,,,,,,0.136232089,Non-diapause
36,white,Ferris,6.856,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:20:59,0.109638,,,,,,9/10/2018,,,,,genetic control,h11w36_18,,,,,,,,,,,,,,,,,,,,0.01599154,Diapause
37,white,OG,9.644,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:22:15,1.434551,,,,,,9/10/2018,,,,,RT eclosion,h11w37_18,,,A12,,,,,,,,,,,,,,,,,0.148750622,Non-diapause
38,white,OG,10.043,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:23:37,1.232341,,,,,,9/10/2018,,,,,RT eclosion,h11w38_18,,,H11,,,,,,,,,,,,,,,,,0.122706462,Non-diapause
39,white,Ferris,4.011,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,6262,12:24:53,3.233407,,,,,,9/10/2018,,,,,RT eclosion,h11w39_18,,,H2,,,,,,,,,,,,,,,,,0.806134879,Non-diapause
