starttime_VCO2_6262_1,area_VCO2_6262_1
09:12:15,.1091215
09:13:32,.4870371
09:14:57,7.545591E-02
09:16:11,7.493993E-02
09:17:23,.7479109
09:18:53,.5496135
09:20:28,.8556846
09:22:06,5.987278E-02
09:23:38,.1177236
09:25:05,8.613411E-02
09:26:27,6.355352E-02
09:27:37,.3577054
09:28:45,.1208041
09:30:06,.1344501
09:31:25,.3836159
09:32:48,7.405859E-02
09:34:19,.563097
09:35:44,1.222257
09:37:03,7.513149E-02
09:38:34,.6977664
09:39:55,.806345
09:41:37,.9335825
09:43:00,.5717021
09:44:29,6.407662E-02
09:45:44,.3306405
09:46:57,7.048561E-02
09:49:06,5.093616E-03
09:50:29,.1373951
09:51:51,.7161234
09:53:18,7.323362E-02
09:54:49,6.067123E-02
09:55:55,.1341878
09:57:21,.7558503
09:58:45,.6048005
10:00:02,.5275802
10:01:15,6.486338E-02
10:02:30,9.695964E-02
10:03:38,.2791506
10:04:53,9.899592E-02
10:06:04,.1024346
10:07:33,.1115131
10:08:42,.2423861
10:09:55,.7022233
10:11:11,.1132721
10:12:25,.1117972
10:13:32,9.158345E-02
10:14:36,7.747462E-02
10:15:36,.612756
10:16:49,.6955668
10:18:00,.1052543
10:19:12,.4543417
10:20:42,.1396885
10:22:05,.6907977
10:23:28,.208345
10:24:57,7.163979E-02
10:26:15,.0622309
10:27:37,.1043199
10:28:48,.8371406
10:30:12,7.050713E-02
10:31:33,.980693
10:32:40,5.812925E-02
10:34:06,.3026866
10:37:16,.5114057
09:12:15,.1046098
09:13:32,.6100717
09:14:57,.0831688
09:16:11,.1804283
09:17:23,1.244764
09:18:53,1.290633
09:20:28,1.790188
09:22:06,1.420276
09:23:38,1.217385
09:25:05,.5007271
09:26:27,.1676801
09:27:37,.1323866
09:28:45,1.244359
09:30:06,.2335564
09:31:25,.1245674
09:32:48,1.624472
09:34:19,.8524294
09:35:44,.1756792
09:37:03,1.231782
09:38:34,.1485897
09:39:55,1.684562
09:41:37,3.699794E-02
09:43:00,.1211116
09:44:29,.2046276
09:45:44,.1784057
09:46:57,1.89636
09:49:06,.1370084
09:50:29,.1058031
09:51:51,.161168
09:53:18,.1625316
09:54:49,6.415429E-02
09:55:55,1.165649
09:57:21,.1882105
09:58:45,5.702133E-02
10:00:02,.4738911
10:01:15,.2101363
10:02:30,.1139422
10:03:38,.395359
10:04:53,.2635708
10:06:04,2.094729
10:07:33,.153683
10:08:42,.1751252
10:09:55,.1020405
10:11:11,9.840456E-02
10:12:25,.1214549
10:13:32,.1859383
10:14:36,.1649
10:15:36,.139059
10:16:49,.1115402
10:18:00,.1187005
10:19:12,1.286177
10:20:42,1.221004
10:22:05,.1051074
10:23:28,.9536007
10:24:57,.1580312
10:26:15,.1384309
10:27:37,.1529636
10:28:48,1.34201
10:30:12,.8135575
10:31:33,.1440515
10:32:40,1.243895
10:34:06,.7599244
10:37:16,.2076498
