starttime_VCO2_6262_1,area_VCO2_6262_1,
7:49:59,3.42E-02,1
7:51:36,3.45E-02,2
7:53:10,0.483076,3
7:54:52,0.2802091,4
7:56:39,5.15E-02,5
7:58:23,0.787016,6
8:00:42,5.40E-02,7
8:02:05,5.63E-02,8
8:03:15,0.363935,9
8:04:34,0.5568005,10
8:05:53,5.14E-02,11
8:07:09,3.64E-02,12
8:08:23,9.18E-02,13
8:09:39,8.25E-02,14
8:10:56,3.98E-02,15
8:12:21,0.5492268,16
8:13:38,0.1010693,17
8:14:39,0.5810983,18
8:15:56,8.22E-02,19
8:17:16,5.84E-02,20
8:20:09,0.7263911,21
8:22:05,4.46E-02,22
8:23:24,4.88E-02,23
8:24:32,6.82E-02,24
8:25:52,0.3236653,25
8:27:45,0.588869,26
8:28:56,5.52E-02,27
8:30:04,0.6912003,28
8:31:12,4.77E-02,29
8:32:30,6.58E-02,30
8:33:55,5.63E-02,31
8:35:00,8.41E-02,32
8:36:07,4.44E-02,33
8:37:14,9.20E-02,34
8:38:19,5.52E-02,35
8:40:19,5.06E-02,36
8:42:36,5.13E-02,37
8:44:07,3.73E-02,38
8:45:32,0.1208888,39
8:46:48,5.17E-02,40
8:47:55,8.59E-02,41
8:49:05,0.1105348,42
8:50:12,2.66E-02,43
8:51:58,4.34E-02,44
8:53:23,5.08E-02,45
8:54:39,6.74E-02,46
8:55:40,6.98E-02,47
8:56:58,4.41E-02,48
8:58:49,0.0605445,49
8:59:55,1.57E-02,50
9:01:15,4.62E-02,51
9:02:26,7.86E-02,52
9:03:37,7.47E-02,53
9:05:03,4.43E-02,54
9:06:14,7.95E-02,55
9:07:22,4.42E-02,56
9:08:39,8.88E-03,57
9:09:54,8.81E-03,58
7:49:59,0.4589144,1
7:51:36,0.1167935,2
7:53:10,8.39E-02,3
7:54:52,0.7750984,4
7:56:39,5.07E-02,5
7:58:23,5.58E-02,6
8:00:42,6.71E-02,7
8:02:05,8.54E-02,8
8:03:15,0.1468936,9
8:04:34,0.1256033,10
8:05:53,0.5917418,11
8:07:09,0.120402,12
8:08:23,5.63E-02,13
8:09:39,9.18E-02,14
8:10:56,0.0798962,15
8:12:21,0.1645447,16
8:13:38,0.1315416,17
8:14:39,0.2251637,18
8:15:56,0.7049561,19
8:17:16,0.1139723,20
8:20:09,7.62E-02,21
8:22:05,0.2279589,22
8:23:24,0.1403352,23
8:24:32,0.1175357,24
8:25:52,0.5410966,25
8:27:45,0.3986581,26
8:28:56,0.1727652,27
8:30:04,0.7933757,28
8:31:12,1.237783,29
8:32:30,0.6226395,30
8:33:55,0.2313992,31
8:35:00,0.1595003,32
8:36:07,0.6900791,33
8:37:14,0.0875603,34
8:38:19,0.8807317,35
8:40:19,1.330835,36
8:42:36,0.9266564,37
8:44:07,0.1380371,38
8:45:32,0.1283924,39
8:46:48,0.1061887,40
8:47:55,0.1125032,41
8:49:05,5.34E-02,42
8:50:12,8.12E-02,43
8:51:58,8.73E-02,44
8:53:23,0.1153871,45
8:54:39,6.09E-02,46
8:55:40,1.219327,47
8:56:58,0.3894625,48
8:58:49,8.41E-02,49
8:59:55,0.1483143,50
9:01:15,0.8837259,51
9:02:26,0.1741527,52
9:03:37,0.0177549,53
9:05:03,9.66E-02,54
9:06:14,5.88E-02,55
9:07:22,0.1102193,56
9:08:39,0.1278913,57
9:09:54,2.79E-02,
