starttime_VCO2_6262_1,area_VCO2_6262_1
10:13:15,.1084468
10:14:47,1.128008
10:16:43,.7774939
10:18:41,.1644776
10:20:19,.117531
10:22:07,9.511568E-02
10:23:42,.1353478
10:25:39,6.933849E-02
10:27:14,1.227601
10:28:45,.1395353
10:30:30,.6957083
10:32:10,2.850107E-02
10:33:40,.7573033
10:35:22,.1351661
10:37:13,.620687
10:39:06,6.679483E-02
10:40:45,5.752905E-02
10:42:26,.1183399
10:43:58,.0957594
10:45:43,.1284057
10:47:22,.1130436
10:48:50,.1624387
10:50:26,.148969
10:52:09,.0835773
10:53:43,8.067652E-02
10:55:05,.1302926
10:56:34,.4231303
10:58:05,.7524838
10:59:41,.8244834
11:01:17,.7690679
11:02:43,.1225375
11:04:01,.185331
11:05:17,.121804
11:06:44,.2059923
11:08:06,.8512057
11:09:27,.124314
11:11:09,.1557878
11:12:28,.167069
11:13:50,1.256254E-02
11:15:31,.2296043
11:17:08,7.388896E-02
11:18:48,1.062197E-02
11:20:10,1.767587E-03
11:21:10,2.389794E-03
11:22:33,1.937139E-03
11:24:04,2.339154E-03
11:25:45,3.764036E-03
11:27:25,1.64017E-03
10:13:15,.29411
10:14:47,.1052925
10:16:43,1.344538
10:18:41,.1492267
10:20:19,1.420216
10:22:07,.1365561
10:23:42,1.308291
10:25:39,.1591373
10:27:14,.1027624
10:28:45,1.20172
10:30:30,.757944
10:32:10,.1368973
10:33:40,.1880669
10:35:22,1.502617
10:37:13,.2178388
10:39:06,.1248178
10:40:45,.4268785
10:42:26,.1487401
10:43:58,1.159581
10:45:43,.3258733
10:47:22,.2104131
10:48:50,1.635986
10:50:26,.3594282
10:52:09,.2026112
10:53:43,.1626993
10:55:05,.228367
10:56:34,.1397819
10:58:05,.1773156
10:59:41,.1525609
11:01:17,.5566694
11:02:43,.2076913
11:04:01,.1874205
11:05:17,.186035
11:06:44,.1834659
11:08:06,.1618572
11:09:27,1.854639
11:11:09,.1684614
11:12:28,.1465091
11:13:50,1.063376
11:15:31,1.409138
11:17:08,.1930951
11:18:48,.2052575
11:20:10,2.041682E-02
11:21:10,.1600273
11:22:33,.2947912
11:24:04,.8659102
11:25:45,1.820698
11:27:25,1.795468E-02
