starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
8:54:42,6.44E-02,1,7000,blue
8:56:42,0.3080763,2,7000,blue
8:59:28,5.62E-02,3,7000,blue
9:00:41,0.0550979,4,7000,blue
9:01:51,0.7746917,5,7000,blue
9:03:17,0.1855857,6,7000,blue
9:04:32,0.4684821,7,7000,blue
9:05:53,3.55E-02,8,7000,blue
9:07:01,0.8518854,9,7000,blue
9:08:35,3.66E-02,10,7000,blue
9:09:50,4.51E-02,11,7000,blue
9:11:08,3.15E-02,12,7000,blue
9:12:17,0.0540265,13,7000,blue
9:13:24,5.64E-02,14,7000,blue
9:14:52,0.6450602,15,7000,blue
9:16:19,5.53E-02,16,7000,blue
9:17:36,0.1334159,17,7000,blue
9:18:47,0.6779953,18,7000,blue
9:20:12,0.1050982,19,7000,blue
9:21:31,7.99E-02,20,7000,blue
9:22:44,1.024544,21,7000,blue
9:24:04,0.6281565,22,7000,blue
9:25:28,9.49E-02,23,7000,blue
9:26:55,0.8943948,24,7000,blue
9:28:25,0.0507753,25,7000,blue
9:29:52,0.9756994,26,7000,blue
9:31:16,0.2791857,27,7000,blue
9:32:39,0.616626,28,7000,blue
9:34:10,8.92E-02,29,7000,blue
9:35:17,4.62E-02,30,7000,blue
9:36:30,0.8968316,31,7000,blue
9:38:05,0.1022187,32,7000,blue
9:39:22,4.31E-02,33,7000,blue
9:40:41,0.0482402,34,7000,blue
9:42:02,4.12E-02,35,7000,blue
9:43:31,0.5637217,36,7000,blue
9:44:55,0.545957,37,7000,blue
9:46:22,7.51E-02,38,7000,blue
9:47:30,0.2003268,39,7000,blue
9:49:06,1.05E-02,40,7000,blue
9:50:21,0.1943667,41,7000,blue
9:51:43,8.86E-02,42,7000,blue
9:53:18,3.88E-02,43,7000,blue
9:54:44,6.68E-02,44,7000,blue
9:56:17,0.7219684,45,7000,blue
9:57:49,9.41E-03,46,7000,blue
9:59:00,8.71E-03,47,7000,blue
8:54:42,7.53E-02,1,6262,white
8:56:42,7.23E-02,2,6262,white
8:59:28,0.0708816,3,6262,white
9:00:41,0.1333715,4,6262,white
9:01:51,0.136219,5,6262,white
9:03:17,0.1128435,6,6262,white
9:04:32,0.1314985,7,6262,white
9:05:53,8.11E-02,8,6262,white
9:07:01,0.6680334,9,6262,white
9:08:35,0.153526,10,6262,white
9:09:50,0.1256371,11,6262,white
9:11:08,0.101847,12,6262,white
9:12:17,8.41E-02,13,6262,white
9:13:24,0.9627797,14,6262,white
9:14:52,0.8275741,15,6262,white
9:16:19,0.2036237,16,6262,white
9:17:36,4.06E-02,17,6262,white
9:18:47,0.1335547,18,6262,white
9:20:12,0.1048749,19,6262,white
9:21:31,7.03E-02,20,6262,white
9:22:44,0.1258001,21,6262,white
9:24:04,9.69E-02,22,6262,white
9:25:28,0.2360199,23,6262,white
9:26:55,5.49E-02,24,6262,white
9:28:25,0.1270503,25,6262,white
9:29:52,0.1466118,26,6262,white
9:31:16,9.07E-02,27,6262,white
9:32:39,1.254147,28,6262,white
9:34:10,7.10E-02,29,6262,white
9:35:17,0.1069777,30,6262,white
9:36:30,1.151165,31,6262,white
9:38:05,4.47E-02,32,6262,white
9:39:22,7.52E-02,33,6262,white
9:40:41,0.1204284,34,6262,white
9:42:02,0.1639768,35,6262,white
9:43:31,0.6336644,36,6262,white
9:44:55,0.1067751,37,6262,white
9:46:22,9.57E-02,38,6262,white
9:47:30,5.78E-02,39,6262,white
9:49:06,7.65E-02,40,6262,white
9:50:21,0.13595,41,6262,white
9:51:43,1.044697,42,6262,white
9:53:18,0.1667032,43,6262,white
9:54:44,0.1021098,44,6262,white
9:56:17,0.167275,45,6262,white
9:57:49,1.17E-02,46,6262,white
9:59:00,1.10E-02,47,6262,white
