starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
10:08:46,0.1165257,1,7000,blue
10:10:14,0.1275127,2,7000,blue
10:11:25,0.1271449,3,7000,blue
10:12:44,8.80E-02,4,7000,blue
10:13:47,0.5936205,5,7000,blue
10:14:58,0.1529463,6,7000,blue
10:16:21,1.10721,7,7000,blue
10:17:35,8.32E-02,8,7000,blue
10:18:44,0.1022561,9,7000,blue
10:19:50,0.1176883,10,7000,blue
10:20:51,0.1798944,11,7000,blue
10:21:53,0.1623885,12,7000,blue
10:23:03,7.39E-02,13,7000,blue
10:24:03,8.10E-02,14,7000,blue
10:25:08,0.1574935,15,7000,blue
10:26:33,8.66E-02,16,7000,blue
10:27:44,0.1194299,17,7000,blue
10:28:54,8.57E-02,18,7000,blue
10:30:02,0.1009174,19,7000,blue
10:31:11,0.1247344,20,7000,blue
10:32:12,0.1470783,21,7000,blue
10:33:32,0.1233785,22,7000,blue
10:34:45,0.1044876,23,7000,blue
10:35:51,0.1453584,24,7000,blue
10:37:20,0.9036663,25,7000,blue
10:38:33,0.0839569,26,7000,blue
10:39:45,7.12E-04,27,7000,blue
10:40:50,5.89E-02,28,7000,blue
10:41:53,0.8203515,29,7000,blue
10:43:10,8.18E-02,30,7000,blue
10:44:25,0.1033313,31,7000,blue
10:45:31,0.104456,32,7000,blue
10:46:29,7.07E-02,33,7000,blue
10:47:35,6.50E-02,34,7000,blue
10:48:48,0.1311958,35,7000,blue
10:50:16,9.10E-02,36,7000,blue
10:51:43,0.0843817,37,7000,blue
10:52:54,9.92E-02,38,7000,blue
10:54:01,7.78E-02,39,7000,blue
10:55:11,0.7165946,40,7000,blue
10:56:23,0.5747874,41,7000,blue
10:57:47,7.21E-02,42,7000,blue
10:58:57,0.0479057,43,7000,blue
11:00:34,0.124524,44,7000,blue
11:02:00,6.77E-02,45,7000,blue
11:03:14,7.03E-03,46,7000,blue
11:04:22,8.73E-03,47,7000,blue
10:08:46,1.1509,1,6262,white
10:10:14,0.1901053,2,6262,white
10:11:25,0.1796069,3,6262,white
10:12:44,0.1107112,4,6262,white
10:13:47,0.2766023,5,6262,white
10:14:58,0.9785148,6,6262,white
10:16:21,0.1468813,7,6262,white
10:17:35,0.191481,8,6262,white
10:18:44,8.33E-02,9,6262,white
10:19:50,0.1325629,10,6262,white
10:20:51,0.1620864,11,6262,white
10:21:53,0.1707666,12,6262,white
10:23:03,0.1330548,13,6262,white
10:24:03,0.1760815,14,6262,white
10:25:08,0.6669397,15,6262,white
10:26:33,0.1912531,16,6262,white
10:27:44,0.1457486,17,6262,white
10:28:54,0.2216351,18,6262,white
10:30:02,0.1958687,19,6262,white
10:31:11,9.94E-02,20,6262,white
10:32:12,0.1783974,21,6262,white
10:33:32,0.3085053,22,6262,white
10:34:45,0.1274591,23,6262,white
10:35:51,1.422972,24,6262,white
10:37:20,0.180404,25,6262,white
10:38:33,0.1642883,26,6262,white
10:39:45,0.1196665,27,6262,white
10:40:50,0.0886102,28,6262,white
10:41:53,0.20347,29,6262,white
10:43:10,0.1695656,30,6262,white
10:44:25,0.1105862,31,6262,white
10:45:31,7.11E-02,32,6262,white
10:46:29,0.120201,33,6262,white
10:47:35,0.1924998,34,6262,white
10:48:48,0.8926474,35,6262,white
10:50:16,0.1626882,36,6262,white
10:51:43,0.225339,37,6262,white
10:52:54,0.1488636,38,6262,white
10:54:01,0.1324896,39,6262,white
10:55:11,0.1798615,40,6262,white
10:56:23,0.2568863,41,6262,white
10:57:47,0.1290161,42,6262,white
10:58:57,1.245742,43,6262,white
11:00:34,0.2168547,44,6262,white
11:02:00,0.1859007,45,6262,white
11:03:14,9.49E-03,46,6262,white
11:04:22,1.23E-02,47,6262,white
