starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color
10:58:04,1.97E-02,1,7000,blue
10:59:35,2.82E-02,2,7000,blue
11:00:50,6.36E-02,3,7000,blue
11:02:01,4.78E-02,4,7000,blue
11:03:14,6.63E-02,5,7000,blue
11:04:31,0.1076091,6,7000,blue
11:05:46,0.3043606,7,7000,blue
11:07:04,7.24E-02,8,7000,blue
11:08:17,2.76E-02,9,7000,blue
11:09:26,4.05E-02,10,7000,blue
11:10:35,9.88E-02,11,7000,blue
11:11:45,0.1419876,12,7000,blue
11:13:02,2.02E-02,13,7000,blue
11:14:15,1.74E-02,14,7000,blue
11:15:32,3.34E-02,15,7000,blue
11:16:41,1.13E-02,16,7000,blue
11:17:54,4.35E-02,17,7000,blue
11:19:03,3.87E-02,18,7000,blue
11:20:30,3.24E-02,19,7000,blue
11:21:56,3.49E-02,20,7000,blue
11:23:24,0.0962725,21,7000,blue
11:24:35,4.86E-02,22,7000,blue
11:26:13,0.0431218,23,7000,blue
11:27:32,0.1247913,24,7000,blue
11:29:02,0.8273039,25,7000,blue
11:30:22,6.36E-02,26,7000,blue
11:31:38,1.283606,27,7000,blue
11:33:11,0.1516524,28,7000,blue
11:34:19,0.7157103,29,7000,blue
11:35:48,2.75E-02,30,7000,blue
11:37:56,7.47E-02,31,7000,blue
11:39:07,6.18E-02,32,7000,blue
11:40:20,3.96E-02,33,7000,blue
11:41:33,1.55E-02,34,7000,blue
11:42:57,0.0861989,35,7000,blue
11:44:39,4.49E-02,36,7000,blue
11:45:47,4.24E-02,37,7000,blue
11:47:40,6.57E-02,38,7000,blue
11:48:56,2.82E-02,39,7000,blue
11:50:06,0.6392125,40,7000,blue
11:51:37,0.5239928,41,7000,blue
11:52:53,9.04E-02,42,7000,blue
11:54:11,2.64E-02,43,7000,blue
11:55:40,4.98E-02,44,7000,blue
11:57:00,3.72E-02,45,7000,blue
11:58:20,6.99E-03,46,7000,blue
11:59:40,9.91E-03,47,7000,blue
10:58:04,0.3936836,1,6262,white
10:59:35,0.1233834,2,6262,white
11:00:50,6.68E-02,3,6262,white
11:02:01,6.37E-02,4,6262,white
11:03:14,0.2030404,5,6262,white
11:04:31,0.1976237,6,6262,white
11:05:46,0.1034147,7,6262,white
11:07:04,7.35E-02,8,6262,white
11:08:17,0.0721008,9,6262,white
11:09:26,5.46E-02,10,6262,white
11:10:35,0.1239386,11,6262,white
11:11:45,8.82E-02,12,6262,white
11:13:02,8.98E-02,13,6262,white
11:14:15,0.1099863,14,6262,white
11:15:32,2.21E-02,15,6262,white
11:16:41,8.06E-02,16,6262,white
11:17:54,7.47E-02,17,6262,white
11:19:03,0.0994436,18,6262,white
11:20:30,0.1172791,19,6262,white
11:21:56,0.139732,20,6262,white
11:23:24,0.1033276,21,6262,white
11:24:35,0.2551685,22,6262,white
11:26:13,0.1168548,23,6262,white
11:27:32,1.23725,24,6262,white
11:29:02,0.1130306,25,6262,white
11:30:22,0.1253703,26,6262,white
11:31:38,9.94E-02,27,6262,white
11:33:11,5.82E-02,28,6262,white
11:34:19,9.54E-02,29,6262,white
11:35:48,0.1532949,30,6262,white
11:37:56,0.140774,31,6262,white
11:39:07,6.79E-02,32,6262,white
11:40:20,6.19E-02,33,6262,white
11:41:33,0.1181936,34,6262,white
11:42:57,0.8164365,35,6262,white
11:44:39,0.1130806,36,6262,white
11:45:47,0.1530705,37,6262,white
11:47:40,8.34E-02,38,6262,white
11:48:56,7.13E-02,39,6262,white
11:50:06,0.1431815,40,6262,white
11:51:37,0.1456181,41,6262,white
11:52:53,8.26E-02,42,6262,white
11:54:11,1.192681,43,6262,white
11:55:40,0.1491617,44,6262,white
11:57:00,0.1676185,45,6262,white
11:58:20,1.06E-02,46,6262,white
11:59:40,1.30E-02,47,6262,white
