starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,,
9:06:38,7.16E-04,1,7000,,
9:07:06,0.1352604,2,7000,1,blue
9:08:36,0.7235807,3,7000,2,blue
9:10:19,4.97E-02,4,7000,3,blue
9:11:59,6.27E-02,5,7000,4,blue
9:13:21,8.98E-02,6,7000,5,blue
9:14:44,4.48E-02,7,7000,6,blue
9:16:21,0.0386848,8,7000,7,blue
9:17:44,0.4573728,9,7000,8,blue
9:19:22,6.03E-02,10,7000,9,blue
9:20:41,0.167771,11,7000,10,blue
9:22:12,0.5170934,12,7000,11,blue
9:24:02,0.1124663,13,7000,12,blue
9:25:49,0.3152317,14,7000,13,blue
9:27:19,3.98E-02,15,7000,14,blue
9:28:45,0.3975487,16,7000,15,blue
9:30:10,0.0621588,17,7000,16,blue
9:31:39,3.18E-02,18,7000,17,blue
9:32:54,5.51E-02,19,7000,18,blue
9:34:15,0.4952469,20,7000,19,blue
9:36:03,9.58E-02,21,7000,20,blue
9:37:36,5.83E-02,22,7000,21,blue
9:38:58,4.77E-02,23,7000,22,blue
9:40:13,0.3863011,24,7000,23,blue
9:41:35,3.30E-02,25,7000,24,blue
9:44:07,4.87E-02,26,7000,25,blue
9:45:41,0.1431281,27,7000,26,blue
9:47:15,7.53E-02,28,7000,27,blue
9:48:46,2.49E-02,29,7000,28,blue
9:50:10,0.0425173,30,7000,29,blue
9:51:41,8.32E-02,31,7000,30,blue
9:52:55,4.74E-02,32,7000,31,blue
9:54:01,2.18E-02,33,7000,32,blue
9:55:24,0.1337934,34,7000,33,blue
9:56:35,1.29E-02,35,7000,34,blue
9:58:01,1.30E-02,36,7000,35,blue
9:06:38,9.20E-04,1,6262,,
9:07:06,0.1164296,2,6262,1,red
9:08:36,5.92E-02,3,6262,2,red
9:10:19,9.03E-02,4,6262,3,red
9:11:59,0.1532668,5,6262,4,red
9:13:21,9.26E-02,6,6262,5,red
9:14:44,0.6117479,7,6262,6,red
9:16:21,0.1095926,8,6262,7,red
9:17:44,8.78E-02,9,6262,8,red
9:19:22,7.21E-02,10,6262,9,red
9:20:41,0.111793,11,6262,10,red
9:22:12,8.76E-02,12,6262,11,red
9:24:02,0.9077801,13,6262,12,red
9:25:49,5.50E-02,14,6262,13,red
9:27:19,0.1045273,15,6262,14,red
9:28:45,9.51E-02,16,6262,15,red
9:30:10,0.6959037,17,6262,16,red
9:31:39,0.1417594,18,6262,17,red
9:32:54,0.1239396,19,6262,18,red
9:34:15,0.3358715,20,6262,19,red
9:36:03,0.7727905,21,6262,20,red
9:37:36,0.1010524,22,6262,21,red
9:38:58,8.75E-02,23,6262,22,red
9:40:13,6.43E-02,24,6262,23,red
9:41:35,0.9212366,25,6262,24,red
9:44:07,0.8152881,26,6262,25,red
9:45:41,0.7874705,27,6262,26,red
9:47:15,0.7527652,28,6262,27,red
9:48:46,0.1514041,29,6262,28,red
9:50:10,0.6591215,30,6262,29,red
9:51:41,0.0816492,31,6262,30,red
9:52:55,6.88E-02,32,6262,31,red
9:54:01,9.92E-02,33,6262,32,red
9:55:24,2.33E-02,34,6262,33,red
9:56:35,2.15E-02,35,6262,34,red
9:58:01,1.60E-03,36,6262,35,red
