starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape
9:35:09,0.6921493,1,7000,1,blue
9:36:50,1.397079,2,7000,2,blue
9:38:38,0.0783759,3,7000,3,blue
9:44:55,0.1420783,4,7000,4,blue
9:46:45,0.1821803,5,7000,5,blue
9:48:14,0.10714,6,7000,6,blue
9:49:44,6.02E-02,7,7000,7,blue
9:51:10,0.7675437,8,7000,8,blue
9:52:36,0.1629043,9,7000,9,blue
9:54:00,0.5922799,10,7000,10,blue
9:55:32,0.1228143,11,7000,11,blue
9:57:11,0.6322609,12,7000,12,blue
9:58:48,0.5893537,13,7000,13,blue
10:00:27,0.1706449,14,7000,14,blue
10:01:52,0.6255368,15,7000,15,blue
10:03:19,8.54E-02,16,7000,16,blue
10:04:56,6.89E-02,17,7000,17,blue
10:06:15,9.48E-02,18,7000,18,blue
10:07:44,0.7172696,19,7000,19,blue
10:09:10,0.180665,20,7000,20,blue
10:10:40,0.1371702,21,7000,21,blue
10:12:10,7.30E-02,22,7000,22,blue
10:13:33,0.6885768,23,7000,23,blue
10:14:55,0.1004752,24,7000,24,blue
10:16:09,7.97E-02,25,7000,25,blue
10:17:44,0.9351721,26,7000,26,blue
10:19:16,0.394223,27,7000,27,blue
10:20:48,7.80E-02,28,7000,28,blue
10:22:18,9.58E-02,29,7000,29,blue
10:23:51,0.1346486,30,7000,30,blue
10:25:21,0.118759,31,7000,31,blue
10:26:39,0.2502252,32,7000,32,blue
10:27:56,0.7581469,33,7000,33,blue
10:29:18,1.49E-02,34,7000,34,blue
10:30:26,1.27E-02,35,7000,35,blue
9:35:09,0.3277086,1,6262,1,red
9:36:50,9.54E-02,2,6262,2,red
9:38:38,5.070808,3,6262,3,red
9:44:55,0.7198915,4,6262,4,red
9:46:45,0.2068476,5,6262,5,red
9:48:14,0.7775224,6,6262,6,red
9:49:44,0.2155528,7,6262,7,red
9:51:10,0.1791101,8,6262,8,red
9:52:36,0.1468133,9,6262,9,red
9:54:00,0.1952691,10,6262,10,red
9:55:32,0.1354764,11,6262,11,red
9:57:11,1.522838,12,6262,12,red
9:58:48,2.024637,13,6262,13,red
10:00:27,0.1159819,14,6262,14,red
10:01:52,0.1447016,15,6262,15,red
10:03:19,1.041351,16,6262,16,red
10:04:56,0.164958,17,6262,17,red
10:06:15,0.5621437,18,6262,18,red
10:07:44,0.2165338,19,6262,19,red
10:09:10,1.795423,20,6262,20,red
10:10:40,1.438319,21,6262,21,red
10:12:10,0.2254359,22,6262,22,red
10:13:33,0.164487,23,6262,23,red
10:14:55,0.2197166,24,6262,24,red
10:16:09,1.701253,25,6262,25,red
10:17:44,1.034339,26,6262,26,red
10:19:16,1.512593,27,6262,27,red
10:20:48,1.529388,28,6262,28,red
10:22:18,1.44075,29,6262,29,red
10:23:51,1.012606,30,6262,30,red
10:25:21,0.207454,31,6262,31,red
10:26:39,0.1821775,32,6262,32,red
10:27:56,0.125583,33,6262,33,red
10:29:18,1.96E-02,34,6262,34,red
10:30:26,3.40E-02,35,6262,35,red
